timestamp,euler1,euler2
183804901165,"(0.76153564453125, 0.09613037109375, 0.64093017578125, -0.0023193359375)","(0.0, 0.0, 0.0, 0.0)"
183804911374,"(0.76116943359375, 0.0970458984375, 0.6412353515625, -0.002685546875)","(0.0, 0.0, 0.0, 0.0)"
183804921576,"(0.76171875, 0.09527587890625, 0.640869140625, -0.00335693359375)","(0.0, 0.0, 0.0, 0.0)"
183804931386,"(0.76177978515625, 0.0946044921875, 0.640869140625, -0.00335693359375)","(0.0, 0.0, 0.0, 0.0)"
183804942942,"(0.7613525390625, 0.09600830078125, 0.64117431640625, -0.00299072265625)","(0.0, 0.0, 0.0, 0.0)"
183804952381,"(0.76123046875, 0.09619140625, 0.64129638671875, -0.00323486328125)","(1.0, 0.00048828125, 0.00054931640625, -0.0009765625)"
183804961955,"(0.76141357421875, 0.09613037109375, 0.64105224609375, -0.00323486328125)","(1.0078125, 0.00048828125, 0.00054931640625, -0.0009765625)"
183804970234,"(0.76165771484375, 0.095458984375, 0.64093017578125, -0.00341796875)","(1.0078125, 0.0003662109375, 0.0008544921875, -0.0009765625)"
183804978896,"(0.7615966796875, 0.095703125, 0.64093017578125, -0.00341796875)","(1.0078125, 0.0001220703125, 0.0008544921875, -0.00067138671875)"
183804987810,"(0.76129150390625, 0.09637451171875, 0.6412353515625, -0.00299072265625)","(1.0078125, -6.103515625e-05, 0.00091552734375, -0.000244140625)"
183804995568,"(0.76129150390625, 0.09637451171875, 0.6412353515625, -0.00299072265625)","(1.0078125, -0.00018310546875, 0.00079345703125, 6.103515625e-05)"
183805005370,"(0.7613525390625, 0.09674072265625, 0.64111328125, -0.00286865234375)","(0.66912841796875, -0.00494384765625, 0.7431640625, 0.00018310546875)"
183805012319,"(0.7615966796875, 0.09674072265625, 0.64080810546875, -0.002685546875)","(0.66912841796875, -0.00494384765625, 0.7431640625, 0.00018310546875)"
183805020658,"(0.76190185546875, 0.09661865234375, 0.64044189453125, -0.00262451171875)","(0.6690673828125, -0.00506591796875, 0.7431640625, 0.00030517578125)"
183805028077,"(0.76220703125, 0.09674072265625, 0.64007568359375, -0.00286865234375)","(0.669189453125, -0.005126953125, 0.74310302734375, 6.103515625e-05)"
183805036962,"(0.76220703125, 0.09674072265625, 0.64007568359375, -0.00286865234375)","(0.6693115234375, -0.00531005859375, 0.74298095703125, 0.00018310546875)"
183805044720,"(0.76239013671875, 0.0970458984375, 0.63983154296875, -0.002685546875)","(0.669677734375, -0.0052490234375, 0.74261474609375, 0.00048828125)"
183805053892,"(0.76214599609375, 0.09686279296875, 0.64013671875, -0.0025634765625)","(0.669677734375, -0.0052490234375, 0.74261474609375, 0.00048828125)"
183805061351,"(0.76214599609375, 0.0966796875, 0.64013671875, -0.00244140625)","(0.6695556640625, -0.0054931640625, 0.74273681640625, 0.00018310546875)"
183805070054,"(0.7620849609375, 0.0968017578125, 0.64019775390625, -0.00274658203125)","(0.6695556640625, -0.0057373046875, 0.74273681640625, 0.0003662109375)"
183805077120,"(0.7620849609375, 0.0968017578125, 0.64019775390625, -0.00274658203125)","(0.66973876953125, -0.00579833984375, 0.7425537109375, 0.000732421875)"
183805084110,"(0.7618408203125, 0.09686279296875, 0.6405029296875, -0.00286865234375)","(0.66943359375, -0.0054931640625, 0.74285888671875, 0.000732421875)"
183805092685,"(0.76141357421875, 0.09674072265625, 0.6409912109375, -0.00286865234375)","(0.66943359375, -0.0054931640625, 0.74285888671875, 0.000732421875)"
183805100096,"(0.7611083984375, 0.0970458984375, 0.64129638671875, -0.0028076171875)","(0.6689453125, -0.005615234375, 0.7432861328125, 0.0003662109375)"
183805106133,"(0.7611083984375, 0.0970458984375, 0.64129638671875, -0.0028076171875)","(0.66876220703125, -0.005859375, 0.74346923828125, 0.0)"
183805112997,"(0.76080322265625, 0.09722900390625, 0.64166259765625, -0.00286865234375)","(0.66876220703125, -0.005859375, 0.74346923828125, 0.0)"
183805120790,"(0.76092529296875, 0.096435546875, 0.64166259765625, -0.0030517578125)","(0.6688232421875, -0.005615234375, 0.74334716796875, -0.0003662109375)"
183805126512,"(0.76092529296875, 0.096435546875, 0.64166259765625, -0.0030517578125)","(0.6688232421875, -0.00579833984375, 0.74334716796875, -0.00067138671875)"
183805134155,"(0.76092529296875, 0.0960693359375, 0.6417236328125, -0.0035400390625)","(0.6688232421875, -0.00579833984375, 0.74334716796875, -0.00067138671875)"
183805142223,"(0.76068115234375, 0.0972900390625, 0.64178466796875, -0.00311279296875)","(0.6690673828125, -0.00592041015625, 0.7431640625, -0.00079345703125)"
183805149190,"(0.76055908203125, 0.0972900390625, 0.6419677734375, -0.00323486328125)","(0.66949462890625, -0.00616455078125, 0.7427978515625, -0.0010986328125)"
183805156133,"(0.76055908203125, 0.0972900390625, 0.6419677734375, -0.00323486328125)","(0.66949462890625, -0.00616455078125, 0.7427978515625, -0.0010986328125)"
183805162837,"(0.76080322265625, 0.09686279296875, 0.64166259765625, -0.0032958984375)","(0.66961669921875, -0.0062255859375, 0.74267578125, -0.00067138671875)"
183805171321,"(0.7611083984375, 0.096435546875, 0.64141845703125, -0.0032958984375)","(0.66937255859375, -0.00628662109375, 0.74285888671875, -0.0009765625)"
183805179457,"(0.7608642578125, 0.09808349609375, 0.6414794921875, -0.00286865234375)","(0.66937255859375, -0.0067138671875, 0.74285888671875, -0.0008544921875)"
183805187345,"(0.7608642578125, 0.09808349609375, 0.6414794921875, -0.00286865234375)","(0.66949462890625, -0.00677490234375, 0.7427978515625, -0.00091552734375)"
183805195172,"(0.7608642578125, 0.09820556640625, 0.6414794921875, -0.00262451171875)","(0.66973876953125, -0.0067138671875, 0.7425537109375, -0.0008544921875)"
183805204315,"(0.7611083984375, 0.097900390625, 0.64117431640625, -0.00225830078125)","(0.66973876953125, -0.0067138671875, 0.7425537109375, -0.0008544921875)"
183805212904,"(0.76129150390625, 0.09820556640625, 0.64093017578125, -0.00213623046875)","(0.66986083984375, -0.0067138671875, 0.742431640625, -0.0008544921875)"
