scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,950.18915,792.35443,0.4348394,882.4377,647.0212,0.9131719,869.0027,452.6378,0.7013881,858.81616,296.85245,1.0,837.9977,70.67875,0.5731401
1,949.963,791.9596,0.32933688,882.52185,646.76556,0.86743736,868.93536,452.6692,0.60296553,859.0306,296.79553,1.0,838.77966,70.21745,0.5476553
2,949.966,791.92633,0.33329344,882.46674,646.897,0.8968156,868.887,452.67514,0.59971946,858.9543,296.72256,1.0,838.75836,70.15361,0.55017984
3,950.0551,791.9496,0.30230248,882.71027,646.7515,0.8720039,868.90656,452.69275,0.59953654,858.9911,296.98248,1.0,838.74744,70.15422,0.5136813
4,949.9727,791.9618,0.33493823,882.5069,646.8068,0.8596442,868.88684,452.6645,0.5922598,858.941,296.74933,1.0,838.7569,70.17164,0.5088767
5,949.9778,792.0954,0.35064092,882.6777,646.9337,0.88098794,869.0486,452.56934,0.58323604,858.8033,296.82224,1.0,838.77625,70.66129,0.56082326
6,950.1194,792.3588,0.37659517,882.5216,647.01276,0.8706054,868.9818,452.60132,0.67079586,858.8911,296.88754,1.0,838.62476,70.725624,0.5566941
7,950.14966,792.3685,0.37288922,882.5701,646.9437,0.88083196,868.9561,452.72403,0.71657765,858.8135,296.90005,1.0,838.5549,70.89128,0.5365465
8,950.2166,792.293,0.3634386,882.62213,646.94507,0.89443374,868.6788,453.066,0.7407791,858.81775,297.03485,1.0,838.54736,71.00078,0.54731745
9,950.1195,792.36365,0.3591222,882.6496,646.9548,0.86979145,869.0248,452.46176,0.7138453,858.77124,296.86398,1.0,838.8167,70.65874,0.548665
10,950.1419,792.34607,0.36123723,882.66003,646.87115,0.8819228,869.0116,452.4739,0.6998852,858.74365,296.8631,1.0,838.7275,70.74517,0.5258673
11,950.1295,792.34845,0.3668368,882.7139,646.79016,0.87368566,868.80206,452.8213,0.7441493,858.70557,296.82803,1.0,838.7487,70.72412,0.5248266
12,950.08514,792.3721,0.3783169,882.7402,646.75323,0.8711863,868.5868,453.12665,0.8140479,858.6993,296.6966,1.0,838.75366,70.66342,0.52836883
13,950.0924,792.3566,0.37987486,882.59845,646.74225,0.8992,868.62897,453.10364,0.8368486,858.75433,296.80615,1.0,838.47626,70.63115,0.51912916
14,950.0858,792.3634,0.38046762,882.58374,646.72534,0.8911623,868.6501,453.0671,0.8274693,858.7506,296.82584,1.0,838.24396,70.59709,0.50327396
15,950.1483,792.3598,0.37390524,882.6163,646.693,0.9060103,868.67926,453.07092,0.8376891,858.73706,296.8584,1.0,838.2605,70.625984,0.5131001
16,950.0326,792.38916,0.40233245,882.5864,646.6946,0.88386905,868.606,453.05334,0.80749744,858.72015,296.86597,1.0,837.9312,70.53689,0.52842534
17,950.0048,792.4317,0.40265077,882.5895,646.62665,0.87026125,868.66064,453.17282,0.7941226,858.6699,296.91833,1.0,838.0352,70.5958,0.52471787
