scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,972.7858,787.6208,0.56616175,813.39905,617.76807,0.9243439,801.03033,427.59442,0.7677517,799.7649,279.0318,1.0,795.46265,55.94613,0.5158722
1,972.77454,787.6075,0.57064813,813.57043,617.8547,0.9443312,801.32886,427.56384,0.7892302,799.92175,279.17764,1.0,795.3995,56.14292,0.5163112
2,972.69604,787.4738,0.5714112,813.6151,617.9107,0.9634297,801.5805,427.5103,0.775592,800.0396,279.11108,1.0,795.5718,56.384304,0.5168955
3,972.66925,787.48517,0.5716657,813.6226,617.97076,0.95176,801.5878,427.51505,0.77452004,800.03766,279.1524,1.0,795.5168,56.375942,0.5202681
4,972.69086,787.4703,0.57378495,813.5064,618.0715,0.94771177,801.56854,427.51584,0.76392007,799.9708,279.05017,1.0,795.566,56.37908,0.51513976
5,972.6979,787.6063,0.555999,813.637,617.9046,0.9327253,801.6442,427.73752,0.79013646,799.91205,279.0297,1.0,795.5516,56.265896,0.55021
6,972.66235,787.5914,0.55728185,813.5722,617.66425,0.94021964,801.67377,427.66666,0.7859263,799.80164,279.05313,1.0,795.5486,56.239754,0.5475413
7,972.5919,787.56415,0.5591747,813.48846,617.77094,0.9361542,801.6071,427.6245,0.7948835,799.90283,279.10382,1.0,795.44617,56.16238,0.55111974
8,972.79266,787.91406,0.53704286,813.45197,617.8238,0.93362474,801.51904,427.4972,0.7870141,799.8962,279.18655,1.0,795.5154,56.13945,0.5559918
9,972.63904,787.80005,0.5176145,813.514,617.9633,0.9416105,801.83215,427.66196,0.8310428,799.8154,279.21695,1.0,795.6022,56.184883,0.53613514
10,972.7117,787.638,0.5329784,813.54663,618.0664,0.9327033,801.721,427.6473,0.8236069,799.7766,279.2467,1.0,795.5525,56.250313,0.50972
11,972.7973,787.6486,0.53176236,813.5261,618.0648,0.92885303,801.81757,427.7989,0.8242004,799.7896,279.18573,1.0,795.6371,56.287605,0.5240656
12,972.81006,787.534,0.53860855,813.5148,618.0432,0.92041075,801.76465,427.61246,0.8355446,799.69116,279.24036,1.0,795.6924,56.32371,0.5226478
13,972.68365,787.49963,0.5434991,813.6178,618.0597,0.93586713,801.8408,427.79648,0.8390813,799.9002,279.32336,1.0,795.6647,56.43734,0.51877975
14,972.686,787.48584,0.55157447,813.525,618.10077,0.9266911,801.8673,427.81152,0.85312784,799.8131,279.2689,1.0,795.642,56.47338,0.5270412
15,972.6581,787.4712,0.55034506,813.61505,618.04407,0.91188353,801.8739,427.83585,0.84650314,799.82385,279.2836,1.0,795.57806,56.45295,0.51942366
16,972.6693,787.89734,0.5575085,813.63794,618.09454,0.90750515,801.8389,427.807,0.8359754,799.95056,279.28363,1.0,795.51904,56.51128,0.5137503
17,972.8626,788.05945,0.51689833,813.6324,618.0617,0.91447014,801.83167,427.94998,0.8484904,799.8408,279.31677,1.0,795.6032,56.621857,0.5154202
