scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,863.80304,765.6422,0.60909396,800.3728,617.6762,0.8521521,791.6463,427.74768,0.7735129,787.9056,280.96442,1.0,779.1474,58.184776,0.47480735
1,863.4983,765.731,0.6562582,800.22095,617.45667,0.85426056,791.6861,427.61755,0.81150347,787.7103,280.74863,1.0,779.1974,58.297897,0.45782182
2,863.06757,765.3987,0.68768275,799.97595,617.3077,0.8587588,791.4073,427.48822,0.83777857,787.6385,280.6354,1.0,779.044,58.290688,0.4584049
3,863.15546,765.59503,0.65213704,799.46106,617.43317,0.8862313,791.15845,427.94995,0.82291985,787.48413,280.99536,0.9856492,778.91327,58.292984,0.45764172
4,862.69666,765.48303,0.64556557,798.9643,617.4106,0.8866583,790.04663,428.09357,0.83550304,786.9188,281.14395,0.99677545,778.3219,58.44206,0.4793082
5,862.1133,764.9223,0.635062,797.6077,617.45636,0.8266376,789.02954,428.37463,0.8407811,785.12354,281.51004,0.9855148,778.1003,58.929134,0.48624203
6,861.43445,763.7733,0.6583142,795.98645,618.2399,0.818973,787.4463,428.0087,0.7941648,783.55914,281.87012,0.97327775,776.7479,59.43623,0.49248874
7,860.8357,763.579,0.6619891,793.6283,618.7567,0.7680465,785.6071,429.20444,0.75541896,782.4223,282.0484,1.0,776.215,59.528778,0.49175557
8,859.95624,763.60425,0.731338,791.69977,619.76855,0.81016487,782.9191,430.05157,0.6924471,779.6081,282.2603,1.0,773.8834,59.84851,0.48477292
9,859.51086,763.4411,0.71581835,789.72455,620.5877,0.80826557,780.1702,430.9915,0.7552687,776.86145,282.20035,1.0,772.659,60.41665,0.4492091
10,859.3187,763.749,0.7116095,787.7612,620.9523,0.759614,778.3998,430.72083,0.79361016,775.15295,282.9127,1.0,771.33624,60.369934,0.41577238
11,858.6322,763.7152,0.71465576,786.54944,621.0096,0.81653196,777.87823,431.37772,0.74508375,774.4162,283.20834,1.0,770.8353,60.43544,0.4031803
12,858.00604,763.0639,0.68850857,785.7473,621.03876,0.82668597,777.353,430.95514,0.7321949,774.09424,283.16376,1.0,770.53015,60.6057,0.4201682
13,858.27106,763.29254,0.70126456,785.7087,621.18524,0.812282,777.66516,431.4099,0.7130947,774.3818,283.79984,1.0,770.7094,61.373924,0.3925487
14,858.3952,763.55115,0.72776717,786.0338,621.23883,0.82278585,777.8549,431.78552,0.7011722,775.0357,284.18088,1.0,771.6197,61.92897,0.46207747
15,858.0572,764.5702,0.7252004,786.12695,621.41595,0.81681025,778.30206,431.43597,0.77075005,775.08905,284.20804,1.0,771.6416,62.052723,0.4692186
16,858.4727,764.6123,0.737764,786.24744,621.70764,0.79799294,778.24884,431.84314,0.70400786,775.2131,284.5607,1.0,771.51025,62.294888,0.46451336
17,858.29333,764.61945,0.72742206,786.0996,621.72943,0.82412755,777.5436,432.56052,0.71336746,775.2123,284.60764,1.0,771.51184,62.253246,0.46567568
