scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,889.14233,676.3583,0.5999952,875.1792,511.48376,0.86521286,856.5982,321.55978,0.74577236,841.2177,177.78632,1.0,956.6977,474.9867,0.21169111
1,888.8998,676.2474,0.58129156,875.1468,511.37552,0.8652451,856.3868,321.1656,0.6600761,840.90106,177.39734,1.0,955.7196,474.941,0.22924136
2,888.9153,676.1986,0.589736,875.03314,511.2178,0.8558151,856.52246,320.75183,0.669878,840.90186,177.52924,1.0,955.404,472.64633,0.18111657
3,888.9278,676.1055,0.58528453,875.116,511.27875,0.860257,856.55084,321.21094,0.6883822,840.8333,177.51266,1.0,955.5206,472.22852,0.18117708
4,889.1011,676.07434,0.5966009,875.202,512.23346,0.8523008,856.47986,320.7955,0.68056506,840.7567,177.67947,1.0,857.3732,320.0136,0.15785123
5,889.17206,676.1042,0.586012,875.28485,512.2057,0.8475584,856.4473,321.12256,0.63194096,841.07324,177.40752,1.0,857.409,320.25342,0.1790044
6,889.07544,676.1799,0.5879715,875.2766,512.38855,0.8558836,856.5512,321.05856,0.6488444,840.9517,177.4113,1.0,857.4542,320.20645,0.19530094
7,888.90247,676.4803,0.60836565,875.25586,512.3525,0.84873325,856.67816,321.25504,0.6579948,840.9258,177.52498,1.0,857.5799,320.43283,0.18332203
8,888.8744,676.5395,0.60570276,875.2577,512.2665,0.8471978,856.73126,321.51505,0.65298134,841.0165,177.27379,1.0,857.67456,320.57907,0.17930956
9,888.94055,676.6089,0.5983471,875.3485,512.3742,0.8705604,856.5736,321.45895,0.67086166,840.9665,177.29073,1.0,857.52496,320.53522,0.18190345
10,888.93756,676.6034,0.6013635,875.31476,512.3938,0.8821732,856.54736,321.4122,0.6569486,840.95197,177.30165,1.0,857.4656,320.51028,0.18458416
11,888.95966,676.6351,0.6037783,875.3146,512.35846,0.89141047,856.31226,321.276,0.6741684,840.7246,177.42595,1.0,857.3132,320.49142,0.16325094
12,888.94617,676.6478,0.59576577,875.24115,512.5216,0.89243406,856.3253,321.54694,0.6645175,840.53973,177.48198,1.0,857.32465,320.6742,0.16485496
13,889.01,676.6222,0.5952567,875.22644,512.3613,0.8972279,856.45264,321.3551,0.6668429,840.5078,177.5023,1.0,955.4545,472.83926,0.2128485
14,889.0211,676.69037,0.5884394,875.28345,512.3848,0.9093149,856.30585,321.4797,0.65671796,840.5776,177.6154,1.0,955.5567,472.66025,0.22004041
15,888.9969,676.5898,0.60569197,875.2802,512.3102,0.9044693,856.37134,321.56076,0.6496607,840.49384,177.59935,1.0,955.33,472.66867,0.20041129
16,888.98755,676.6323,0.6047664,875.24274,512.2834,0.88388944,856.35077,321.53403,0.673481,840.5753,177.44989,1.0,955.31854,472.48972,0.23867983
17,889.02106,676.443,0.5712238,875.074,512.37494,0.90105903,856.382,321.7205,0.7283736,840.3222,177.66734,1.0,955.32056,472.90936,0.19897416
