scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,933.7281,675.10895,0.4502487,925.0669,508.98303,0.7998559,903.3816,320.31992,0.6772771,881.77905,179.81876,1.0,904.5515,319.36868,0.20951793
1,932.9831,675.3203,0.5428268,924.44305,508.4426,0.7729907,902.9982,320.53516,0.6828039,881.7032,179.58896,1.0,880.9697,180.51868,0.22005178
2,932.3956,675.39026,0.5492619,924.49896,509.1779,0.8277019,902.5917,320.79962,0.7332075,881.7615,180.30249,1.0,903.9366,319.68597,0.18645683
3,931.6758,675.2135,0.57049936,923.9945,508.80316,0.8039935,902.5546,320.72025,0.7235035,881.9968,179.8025,1.0,881.0779,180.64577,0.189997
4,931.5863,675.22986,0.5737284,923.9963,508.8228,0.79169184,902.35297,320.66345,0.72021127,881.66425,180.06938,1.0,903.6718,319.54236,0.19027342
5,931.55554,675.545,0.5547398,924.05164,509.21167,0.8363205,902.2216,320.61148,0.7372852,881.6322,180.46584,1.0,1006.2066,472.57,0.20865275
6,930.1934,674.7382,0.5749651,923.81616,508.7603,0.82373977,902.18915,320.56262,0.71956795,881.9315,179.97287,1.0,903.59106,319.47998,0.19282158
7,929.79376,674.13654,0.6138026,923.29175,508.4352,0.78138727,902.1356,320.4781,0.73366266,882.0315,180.07153,1.0,1005.2552,472.87686,0.22115853
8,930.05133,674.57776,0.5273937,922.9699,508.63287,0.7870265,900.6218,321.00153,0.70798665,881.3566,181.22723,1.0,1006.65704,473.4586,0.23233931
9,928.9866,674.0142,0.6731399,921.8956,507.82773,0.7861121,900.6086,320.62204,0.7583841,881.25726,181.12898,1.0,1006.7711,473.15646,0.1976274
10,928.099,673.5478,0.77201027,921.9501,507.87433,0.7823493,900.5369,320.60928,0.7777116,881.20703,181.15826,1.0,1006.02496,471.83218,0.22276361
11,929.0484,673.95087,0.6760704,921.93335,507.8263,0.78988266,900.62537,320.36847,0.7808558,881.20917,181.02505,1.0,1006.86084,472.93356,0.18440342
12,929.97845,674.36475,0.55397815,922.4969,507.7817,0.7879375,900.5166,320.39502,0.7691343,880.9649,180.93596,1.0,1005.4745,472.0514,0.17039181
13,930.1028,674.8517,0.4664172,923.13306,508.44547,0.7760248,900.4604,320.74527,0.7492265,880.9545,180.74548,1.0,1004.5361,471.78763,0.24246623
14,930.1835,674.6443,0.5211188,922.73,508.4411,0.76352507,900.7974,320.35724,0.73289055,881.0149,180.5839,1.0,1005.472,470.69333,0.21534832
15,929.6971,674.6325,0.58267105,922.5747,508.37033,0.77311575,900.1626,320.68643,0.7237913,880.9725,180.47499,1.0,1004.72107,471.2043,0.24886997
16,928.9407,674.41705,0.6426943,922.33185,508.5209,0.78341347,900.2227,321.16058,0.72576123,880.88324,180.76756,1.0,1004.61206,471.95255,0.26364824
17,929.0695,674.33923,0.55424786,922.521,508.28915,0.7914951,900.5212,320.76538,0.7399189,881.10474,180.18701,1.0,1003.96106,472.33664,0.27461645
