scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,914.3696,1036.0498,0.6560058,869.33826,800.2747,0.80042285,853.05426,600.5924,0.75970185,842.2761,450.32227,1.0,817.75476,223.17012,0.5704841
1,914.0263,1036.1987,0.67976195,869.3804,800.1571,0.8202048,853.0323,600.37445,0.7011077,842.1943,450.22903,1.0,817.62134,223.14075,0.5697825
2,914.3049,1035.6277,0.69959193,869.4046,800.16113,0.84075177,852.991,600.30347,0.7667636,841.83954,450.379,1.0,817.5917,223.12439,0.586947
3,913.89056,1035.6515,0.664444,869.2715,800.2109,0.8278935,853.32916,600.1337,0.7404604,841.70886,450.19122,1.0,817.6056,223.17996,0.5900408
4,914.0574,1036.0997,0.69470876,869.4111,800.1446,0.8336892,853.2981,600.1386,0.7281309,841.7763,450.03635,1.0,817.5741,223.15935,0.57917196
5,914.4279,1035.8582,0.7213218,869.4303,800.19183,0.8093025,853.5263,600.08264,0.71311975,842.0526,449.873,0.9960144,817.6936,223.07089,0.54547304
6,914.4316,1035.8431,0.7243094,869.49066,800.1719,0.8227755,853.7858,599.9235,0.7010713,842.0251,449.9099,0.991889,817.8231,223.18362,0.54284024
7,914.60785,1035.7262,0.74439806,869.5333,800.1715,0.82398367,853.9213,599.8657,0.70490503,842.0076,449.91876,1.0,817.7439,223.2498,0.56134534
8,914.18506,1036.1412,0.7694007,869.6523,800.17957,0.7886291,853.96246,600.15564,0.6222701,842.0292,449.90082,1.0,817.6814,223.3027,0.5865492
9,914.60645,1036.0604,0.71486115,869.7406,800.255,0.81773925,853.9261,600.0058,0.71215963,841.97595,449.9841,1.0,817.5075,223.28949,0.552614
10,914.3931,1036.2552,0.7826846,869.7592,800.31177,0.8376643,853.87805,600.08386,0.72348976,841.97943,450.07837,1.0,817.41284,223.37424,0.5177279
11,914.35004,1036.2843,0.77359617,869.83075,800.34595,0.8439813,853.845,599.9006,0.7354761,841.9747,450.13934,1.0,817.3601,223.50703,0.50635874
12,914.432,1036.3003,0.74153787,869.8329,800.40015,0.8303912,853.7424,599.9916,0.7425506,841.72644,450.22247,1.0,817.42804,223.54547,0.5062445
13,914.70337,1035.6705,0.7078172,869.7679,800.4093,0.83454394,853.67834,600.17554,0.76778215,841.71735,450.26385,1.0,817.16705,223.59909,0.5117758
14,914.93555,1035.208,0.68520916,869.7172,800.4849,0.8329273,853.582,600.26514,0.78151727,841.7379,450.40323,1.0,817.2658,223.53175,0.52264774
15,915.10956,1035.2744,0.7189298,869.686,800.5753,0.83858246,853.4827,600.2699,0.7971226,841.7467,450.43732,1.0,789.59155,24.1591,0.54133487
16,915.3474,1035.3112,0.72870064,869.6843,800.58594,0.8478667,853.197,600.5013,0.7292848,841.8047,450.31644,1.0,817.0642,223.65448,0.51654404
17,915.2595,1035.4523,0.7146545,869.6942,800.61584,0.8651418,853.66724,600.55536,0.6427967,841.6791,450.34894,1.0,790.0858,23.62781,0.6203496
