timestamp,euler1,euler2
193313313165,"(0.79241943359375, 0.10235595703125, 0.601318359375, -0.00140380859375)","(0.0, 0.0, 0.0, 0.0)"
193313325144,"(0.79248046875, 0.10260009765625, 0.6011962890625, -0.00164794921875)","(0.0, 0.0, 0.0, 0.0)"
193313337038,"(0.79217529296875, 0.10272216796875, 0.6015625, -0.0015869140625)","(0.0, 0.0, 0.0, 0.0)"
193313349009,"(0.792724609375, 0.1019287109375, 0.60101318359375, -0.0018310546875)","(0.0, 0.0, 0.0, 0.0)"
193313362836,"(0.7928466796875, 0.101318359375, 0.6009521484375, -0.0018310546875)","(0.0, 0.0, 0.0, 0.0)"
193313372868,"(0.7928466796875, 0.10113525390625, 0.6009521484375, -0.00201416015625)","(1.0, 0.0001220703125, -0.00018310546875, -0.00018310546875)"
193313382940,"(0.79278564453125, 0.10113525390625, 0.60107421875, -0.00225830078125)","(1.0078125, 0.00042724609375, -0.00018310546875, -0.00030517578125)"
193313390893,"(0.7930908203125, 0.10113525390625, 0.60064697265625, -0.00189208984375)","(1.0078125, 0.0006103515625, -0.0006103515625, -0.000244140625)"
193313398242,"(0.7930908203125, 0.10113525390625, 0.60064697265625, -0.00189208984375)","(1.0078125, 0.0003662109375, -0.00067138671875, -0.00048828125)"
193313405814,"(0.7930908203125, 0.10113525390625, 0.60064697265625, -0.002197265625)","(1.0078125, 0.00054931640625, -0.00042724609375, -0.00079345703125)"
193313414193,"(0.7930908203125, 0.1014404296875, 0.6005859375, -0.0020751953125)","(1.0078125, 0.00054931640625, -0.00042724609375, -0.00079345703125)"
193313421673,"(0.79315185546875, 0.1016845703125, 0.6004638671875, -0.002197265625)","(1.0078125, 0.0008544921875, -6.103515625e-05, -0.00103759765625)"
193313428627,"(0.79315185546875, 0.1016845703125, 0.6004638671875, -0.002197265625)","(0.6666259765625, 0.18475341796875, 0.72930908203125, -0.0013427734375)"
193313434658,"(0.79315185546875, 0.1016845703125, 0.60052490234375, -0.0018310546875)","(0.6666259765625, 0.18475341796875, 0.72930908203125, -0.0013427734375)"
193313442507,"(0.7933349609375, 0.1014404296875, 0.6002197265625, -0.00177001953125)","(0.6666259765625, 0.1846923828125, 0.72930908203125, -0.00128173828125)"
193313450313,"(0.79339599609375, 0.100830078125, 0.60028076171875, -0.00189208984375)","(0.66656494140625, 0.18475341796875, 0.72930908203125, -0.0010986328125)"
193313457518,"(0.79339599609375, 0.100830078125, 0.60028076171875, -0.00189208984375)","(0.6663818359375, 0.18505859375, 0.7293701171875, -0.0010986328125)"
193313465180,"(0.793212890625, 0.10064697265625, 0.6005859375, -0.00201416015625)","(0.6663818359375, 0.18505859375, 0.7293701171875, -0.0010986328125)"
193313473054,"(0.7933349609375, 0.1005859375, 0.60040283203125, -0.00201416015625)","(0.66607666015625, 0.18487548828125, 0.729736328125, -0.00115966796875)"
193313480616,"(0.7933349609375, 0.1005859375, 0.60040283203125, -0.00201416015625)","(0.65789794921875, 0.18475341796875, 0.7301025390625, -0.00115966796875)"
193313486011,"(0.79327392578125, 0.10107421875, 0.60040283203125, -0.0015869140625)","(None, None, None, None)"
193313489165,"(0.79327392578125, 0.10107421875, 0.60040283203125, -0.0015869140625)","(0.6578369140625, 0.18487548828125, 0.7301025390625, -0.0008544921875)"
193313494564,"(0.79302978515625, 0.1016845703125, 0.60064697265625, -0.001708984375)","(0.6578369140625, 0.18487548828125, 0.7301025390625, -0.0086669921875)"
193313498614,"(0.79302978515625, 0.1016845703125, 0.60064697265625, -0.001708984375)","(0.65789794921875, 0.1849365234375, 0.73004150390625, -0.0009765625)"
193313504658,"(None, None, None, None)","(0.65789794921875, 0.1849365234375, 0.73004150390625, -0.0009765625)"
193313507387,"(0.79266357421875, 0.10162353515625, 0.60113525390625, -0.001953125)","(0.65789794921875, 0.1849365234375, 0.73004150390625, -0.0009765625)"
193313513852,"(0.79254150390625, 0.10113525390625, 0.60137939453125, -0.00201416015625)","(None, None, None, None)"
193313516089,"(0.79254150390625, 0.10113525390625, 0.60137939453125, -0.00201416015625)","(0.65728759765625, 0.18505859375, 0.7305908203125, -0.00128173828125)"
193313521846,"(0.7926025390625, 0.10101318359375, 0.601318359375, -0.00140380859375)","(0.65679931640625, 0.1854248046875, 0.73089599609375, -0.00140380859375)"
193313525542,"(0.7926025390625, 0.10101318359375, 0.601318359375, -0.00140380859375)","(0.65679931640625, 0.1854248046875, 0.73089599609375, -0.00140380859375)"
193313530613,"(0.7926025390625, 0.10101318359375, 0.601318359375, -0.00140380859375)","(0.65673828125, 0.1854248046875, 0.73101806640625, -0.00177001953125)"
193313534695,"(0.79266357421875, 0.1011962890625, 0.6011962890625, -0.0009765625)","(0.65673828125, 0.1854248046875, 0.73101806640625, -0.00177001953125)"
193313538465,"(0.79266357421875, 0.1011962890625, 0.6011962890625, -0.0009765625)","(None, None, None, None)"
193313541729,"(0.79296875, 0.101318359375, 0.60076904296875, -0.00103759765625)","(0.65667724609375, 0.18548583984375, 0.73101806640625, -0.0020751953125)"
193313545749,"(0.79296875, 0.101318359375, 0.60076904296875, -0.00103759765625)","(0.65667724609375, 0.18548583984375, 0.73101806640625, -0.0020751953125)"
193313551336,"(0.79345703125, 0.100341796875, 0.60028076171875, -0.001708984375)","(0.6566162109375, 0.18524169921875, 0.73114013671875, -0.00213623046875)"
193313555610,"(0.79345703125, 0.100341796875, 0.60028076171875, -0.001708984375)","(None, None, None, None)"
193313558248,"(0.79345703125, 0.100341796875, 0.60028076171875, -0.001708984375)","(None, None, None, None)"
193313562633,"(0.7939453125, 0.100341796875, 0.59967041015625, -0.00213623046875)","(None, None, None, None)"
193313565203,"(0.7939453125, 0.100341796875, 0.59967041015625, -0.00213623046875)","(0.656982421875, 0.18511962890625, 0.7308349609375, -0.00225830078125)"
193313569270,"(0.7939453125, 0.100341796875, 0.59967041015625, -0.00213623046875)","(None, None, None, None)"
193313571959,"(0.7940673828125, 0.10015869140625, 0.59954833984375, -0.0020751953125)","(0.6572265625, 0.185302734375, 0.73052978515625, -0.001953125)"
193313575668,"(0.7940673828125, 0.10015869140625, 0.59954833984375, -0.0020751953125)","(None, None, None, None)"
193313577981,"(0.7940673828125, 0.10015869140625, 0.59954833984375, -0.0020751953125)","(None, None, None, None)"
193313580968,"(0.7940673828125, 0.10015869140625, 0.59954833984375, -0.0020751953125)","(0.65740966796875, 0.185546875, 0.7303466796875, -0.00189208984375)"
193313585529,"(0.794189453125, 0.10003662109375, 0.599365234375, -0.0020751953125)","(0.65740966796875, 0.185546875, 0.7303466796875, -0.00189208984375)"
