timestamp,euler1,euler2
193635224509,"(0.7899169921875, 0.0943603515625, 0.60589599609375, -0.00079345703125)","(None, None, None, None)"
193635227942,"(0.7899169921875, 0.0943603515625, 0.60589599609375, -0.00079345703125)","(None, None, None, None)"
193635231935,"(0.7899169921875, 0.0943603515625, 0.60589599609375, -0.00079345703125)","(None, None, None, None)"
193635236250,"(0.79010009765625, 0.093994140625, 0.60577392578125, -0.00054931640625)","(None, None, None, None)"
193635239331,"(0.79010009765625, 0.093994140625, 0.60577392578125, -0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
193635244092,"(0.7901611328125, 0.0938720703125, 0.605712890625, -0.00079345703125)","(0.0, 0.0, 0.0, 0.0)"
193635249355,"(0.7901611328125, 0.0938720703125, 0.605712890625, -0.00079345703125)","(None, None, None, None)"
193635252295,"(0.7901611328125, 0.0938720703125, 0.605712890625, -0.00079345703125)","(None, None, None, None)"
193635254479,"(0.79010009765625, 0.0941162109375, 0.60565185546875, -0.0009765625)","(0.0, 0.0, 0.0, 0.0)"
193635259700,"(0.79010009765625, 0.0941162109375, 0.60565185546875, -0.0009765625)","(0.0, 0.0, 0.0, 0.0)"
193635265408,"(0.7901611328125, 0.09423828125, 0.6055908203125, -0.001220703125)","(None, None, None, None)"
193635267988,"(0.7901611328125, 0.09423828125, 0.6055908203125, -0.001220703125)","(None, None, None, None)"
193635270840,"(0.7901611328125, 0.09423828125, 0.6055908203125, -0.001220703125)","(None, None, None, None)"
193635275487,"(0.7904052734375, 0.09417724609375, 0.60528564453125, -0.00140380859375)","(0.0, 0.0, 0.0, 0.0)"
193635280313,"(0.7904052734375, 0.09417724609375, 0.60528564453125, -0.00140380859375)","(None, None, None, None)"
193635284674,"(0.79071044921875, 0.094482421875, 0.6048583984375, -0.0008544921875)","(None, None, None, None)"
193635287484,"(0.79071044921875, 0.094482421875, 0.6048583984375, -0.0008544921875)","(None, None, None, None)"
193635290042,"(0.79071044921875, 0.094482421875, 0.6048583984375, -0.0008544921875)","(1.0, -0.00018310546875, -0.0003662109375, -0.0015869140625)"
193635295050,"(0.79071044921875, 0.09442138671875, 0.6048583984375, -0.00067138671875)","(None, None, None, None)"
