scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1024.8301,1189.4833,0.12316494,365.67368,255.98102,0.09502064,566.6364,1018.9443,0.04730282,364.25015,262.35452,0.046000388,566.9082,1018.4632,0.04855604
1,1025.068,1189.8135,0.1646607,1023.0681,1190.0,0.051013086,566.4797,1019.3535,0.04513459,1023.20386,1187.5592,0.05425989,566.7559,1018.7521,0.06944463
2,1025.0736,1189.91,0.1540769,1022.97363,1190.1388,0.049492553,566.3723,1019.33435,0.04670496,1023.1273,1187.5814,0.052651867,566.69116,1018.73944,0.072991766
3,1025.0938,1190.0189,0.14867662,365.8688,255.86461,0.0738963,566.30994,1019.4407,0.04742481,1023.0911,1187.6227,0.051123634,566.52954,1018.89075,0.060161024
4,1025.1206,1190.1301,0.13837911,1022.8465,1190.4126,0.053331327,566.51904,1019.3542,0.047425196,1022.94604,1191.2408,0.043439914,566.82806,1018.78217,0.070008524
5,1024.9893,1189.7537,0.16244671,1023.03937,1189.8494,0.0525418,566.3571,1019.4418,0.04106685,1023.23676,1187.5247,0.050469466,565.8774,1019.5513,0.049699884
6,1025.011,1189.5272,0.16622362,365.98575,256.11273,0.10476531,566.5109,1019.5173,0.042658474,1023.3761,1187.4684,0.052752797,566.42676,1019.5842,0.055995997
7,1024.9987,1189.5034,0.15928428,366.06467,255.51956,0.06769655,566.52277,1019.53656,0.047664132,1023.39355,1187.4683,0.050341327,566.83417,1018.9073,0.05261735
8,1024.8987,1189.3043,0.15562831,1023.32086,1189.2196,0.067977645,566.3742,1019.5279,0.052446112,1023.43695,1187.3976,0.055650715,568.97363,1018.7143,0.08392498
9,1024.9888,1189.6572,0.14584869,1023.16144,1189.7579,0.06426158,566.2636,1019.5104,0.04132149,1023.3239,1187.5388,0.047662124,566.5464,1018.8746,0.064626716
10,1024.9391,1190.1288,0.12965049,583.21576,1181.557,0.06683788,566.0142,1019.52167,0.04427663,1022.96674,1187.6573,0.044371977,566.237,1018.9372,0.059099972
11,1024.91,1190.1969,0.13239694,366.09998,255.77339,0.05769818,566.29626,1019.5545,0.039930593,1022.9077,1187.6554,0.044071086,566.5454,1018.93506,0.05295927
12,1025.0106,1190.3676,0.11905646,1022.5145,1190.8096,0.043556254,566.26324,1019.545,0.036930375,1022.6407,1191.6201,0.038363136,565.4852,1019.55023,0.049287196
13,1025.2185,1188.5841,0.11073817,1022.82135,1190.1923,0.058181137,566.2251,1019.4057,0.04114027,1022.9512,1191.0464,0.039698113,566.49023,1018.8986,0.041051224
14,1025.2316,1188.5682,0.10926281,1022.7329,1190.2836,0.054541595,566.3823,1019.37024,0.048784163,1022.9991,1187.5769,0.039872695,566.65894,1018.8006,0.067806706
15,1025.213,1188.5265,0.11185726,1022.76,1190.2133,0.054300804,566.4231,1019.3695,0.044791438,1023.02,1187.5477,0.04065812,566.7171,1018.8057,0.06749572
