timestamp,quat1,quat2
195121007409,"(0.97869873046875, 0.0440673828125, 0.200439453125, -0.00421142578125)","(0.0, 0.0, 0.0, 0.0)"
195121019481,"(0.9786376953125, 0.04425048828125, 0.20074462890625, -0.00390625)","(0.0, 0.0, 0.0, 0.0)"
195121029460,"(0.978515625, 0.04437255859375, 0.20123291015625, -0.00408935546875)","(0.0, 0.0, 0.0, 0.0)"
195121040371,"(0.97845458984375, 0.0443115234375, 0.2015380859375, -0.00445556640625)","(0.0, 0.0, 0.0, 0.0)"
195121052345,"(0.97845458984375, 0.0443115234375, 0.2015380859375, -0.0042724609375)","(0.0, 0.0, 0.0, 0.0)"
195121063534,"(0.978515625, 0.04425048828125, 0.20123291015625, -0.00421142578125)","(1.0, -0.00164794921875, 0.0001220703125, -0.0008544921875)"
195121074014,"(0.97869873046875, 0.0438232421875, 0.200439453125, -0.0047607421875)","(1.0, -0.0020751953125, 0.0, -0.00067138671875)"
195121086615,"(0.97869873046875, 0.043701171875, 0.200439453125, -0.00445556640625)","(1.0, -0.0023193359375, 0.000244140625, -0.00067138671875)"
195121096930,"(0.978759765625, 0.0433349609375, 0.2003173828125, -0.0048828125)","(1.0, -0.0023193359375, 0.00054931640625, -0.00103759765625)"
195121105650,"(0.978759765625, 0.04327392578125, 0.20037841796875, -0.005126953125)","(1.0, -0.00250244140625, 0.00091552734375, -0.00152587890625)"
195121111468,"(0.978759765625, 0.04327392578125, 0.20037841796875, -0.005126953125)","(0.971435546875, 0.16632080078125, 0.16937255859375, -0.0009765625)"
195121117993,"(0.978759765625, 0.04339599609375, 0.20025634765625, -0.00543212890625)","(0.971435546875, 0.16632080078125, 0.16937255859375, -0.0009765625)"
195121124813,"(0.9788818359375, 0.0430908203125, 0.1998291015625, -0.0052490234375)","(0.971435546875, 0.1663818359375, 0.16925048828125, -0.0008544921875)"
195121130674,"(0.9788818359375, 0.0430908203125, 0.1998291015625, -0.0052490234375)","(0.97137451171875, 0.16656494140625, 0.16937255859375, -0.00091552734375)"
195121137899,"(0.97894287109375, 0.0426025390625, 0.199462890625, -0.00531005859375)","(0.97137451171875, 0.16656494140625, 0.16937255859375, -0.00091552734375)"
195121145160,"(0.97894287109375, 0.04266357421875, 0.199462890625, -0.004638671875)","(0.971435546875, 0.166748046875, 0.16900634765625, -0.00079345703125)"
195121151196,"(0.97894287109375, 0.04266357421875, 0.199462890625, -0.004638671875)","(0.971435546875, 0.166748046875, 0.16888427734375, -0.00067138671875)"
195121158984,"(0.97894287109375, 0.04302978515625, 0.199462890625, -0.00421142578125)","(0.971435546875, 0.166748046875, 0.16888427734375, -0.00067138671875)"
195121166022,"(0.97900390625, 0.04290771484375, 0.19940185546875, -0.004150390625)","(0.9713134765625, 0.1671142578125, 0.16912841796875, -0.00054931640625)"
195121172762,"(0.97900390625, 0.04290771484375, 0.19940185546875, -0.004150390625)","(0.97125244140625, 0.16741943359375, 0.16912841796875, -0.00048828125)"
195121179180,"(0.97900390625, 0.04290771484375, 0.19927978515625, -0.0042724609375)","(0.97125244140625, 0.16741943359375, 0.16912841796875, -0.00048828125)"
195121186020,"(0.97900390625, 0.0430908203125, 0.1990966796875, -0.0045166015625)","(0.97137451171875, 0.167236328125, 0.168701171875, -0.00054931640625)"
195121192158,"(0.97900390625, 0.0430908203125, 0.1990966796875, -0.0045166015625)","(0.97918701171875, 0.16754150390625, 0.16845703125, -0.00030517578125)"
195121200733,"(0.97906494140625, 0.04290771484375, 0.198974609375, -0.00408935546875)","(0.97918701171875, 0.16741943359375, 0.16845703125, -0.00030517578125)"
195121209699,"(0.97900390625, 0.04302978515625, 0.19915771484375, -0.004150390625)","(0.97918701171875, 0.16741943359375, 0.16845703125, -0.00030517578125)"
195121217920,"(0.97906494140625, 0.043212890625, 0.19891357421875, -0.00439453125)","(0.97918701171875, 0.16741943359375, 0.16851806640625, -0.00042724609375)"
195121226802,"(0.97906494140625, 0.04376220703125, 0.1988525390625, -0.004150390625)","(0.9791259765625, 0.16796875, 0.16845703125, -0.00054931640625)"
