Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.81,-295.0,514.0
70.0,-3.88,-295.0,515.0
70.0,-3.94,-296.0,515.0
70.0,-3.94,-296.0,514.0
70.0,-4.0,-297.0,515.0
70.0,-4.0,-297.0,515.0
70.0,-4.06,-297.0,515.0
70.0,-4.06,-297.0,515.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-298.0,515.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-298.0,514.0
70.0,-4.06,-299.0,514.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,514.0
70.0,-4.06,-299.0,514.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,514.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,515.0
70.0,-4.06,-299.0,514.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,514.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
70.0,-4.06,-300.0,515.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,478.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,478.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-308.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,478.0
60.0,-16.37,-309.0,478.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,478.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
60.0,-16.37,-309.0,477.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,432.0
50.0,-29.56,-324.0,436.0
50.0,-28.69,-324.0,433.0
50.0,-29.37,-324.0,433.0
50.0,-29.44,-324.0,432.0
50.0,-29.5,-324.0,433.0
50.0,-29.5,-324.0,433.0
50.0,-29.56,-324.0,433.0
50.0,-29.56,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-325.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-324.0,433.0
50.0,-29.62,-325.0,433.0
