timestamp,euler1,euler2
142738117784,"(0.80352783203125, 0.08380126953125, 0.58929443359375, -0.0040283203125)","(0.0, 0.0, 0.0, 0.0)"
142738128478,"(0.8035888671875, 0.08367919921875, 0.58929443359375, -0.00384521484375)","(0.0, 0.0, 0.0, 0.0)"
142738139942,"(0.803466796875, 0.08349609375, 0.5894775390625, -0.00396728515625)","(0.0, 0.0, 0.0, 0.0)"
142738151427,"(0.8035888671875, 0.08392333984375, 0.5892333984375, -0.003662109375)","(0.0, 0.0, 0.0, 0.0)"
142738163799,"(0.8040771484375, 0.0833740234375, 0.588623046875, -0.0037841796875)","(0.0, 0.0, 0.0, 0.0)"
142738176386,"(0.80426025390625, 0.08294677734375, 0.58843994140625, -0.00396728515625)","(1.0, 0.0006103515625, 0.00030517578125, 0.00042724609375)"
142738187864,"(0.80419921875, 0.082763671875, 0.58856201171875, -0.00384521484375)","(1.0, 0.00054931640625, 0.0008544921875, -0.00048828125)"
142738197976,"(0.80426025390625, 0.0821533203125, 0.5885009765625, -0.00408935546875)","(1.0, 0.00091552734375, 0.0008544921875, -0.00067138671875)"
142738208499,"(0.80401611328125, 0.08197021484375, 0.58892822265625, -0.00421142578125)","(1.0, 0.0006103515625, 0.00079345703125, -0.0008544921875)"
142738218853,"(0.80401611328125, 0.0819091796875, 0.58892822265625, -0.0047607421875)","(1.0, 0.0006103515625, 0.00079345703125, -0.0008544921875)"
142738226983,"(0.8040771484375, 0.08172607421875, 0.5888671875, -0.00506591796875)","(0.67803955078125, -0.05523681640625, 0.73291015625, -0.00115966796875)"
142738230921,"(0.8040771484375, 0.08172607421875, 0.5888671875, -0.00506591796875)","(None, None, None, None)"
142738233572,"(0.8040771484375, 0.08172607421875, 0.5888671875, -0.00506591796875)","(0.67816162109375, -0.05499267578125, 0.73284912109375, -0.00103759765625)"
142738237736,"(0.80389404296875, 0.08172607421875, 0.589111328125, -0.00531005859375)","(None, None, None, None)"
142738240006,"(0.80389404296875, 0.08172607421875, 0.589111328125, -0.00531005859375)","(0.67816162109375, -0.05499267578125, 0.73284912109375, -0.00103759765625)"
142738245726,"(0.80364990234375, 0.08209228515625, 0.58941650390625, -0.00518798828125)","(0.67828369140625, -0.0545654296875, 0.7327880859375, -0.0013427734375)"
142738249560,"(0.80364990234375, 0.08209228515625, 0.58941650390625, -0.00518798828125)","(0.67828369140625, -0.0545654296875, 0.7327880859375, -0.0013427734375)"
142738255935,"(0.80364990234375, 0.08184814453125, 0.58941650390625, -0.0050048828125)","(None, None, None, None)"
142738258656,"(0.80364990234375, 0.08184814453125, 0.58941650390625, -0.0050048828125)","(None, None, None, None)"
142738261310,"(0.80364990234375, 0.08184814453125, 0.58941650390625, -0.0050048828125)","(None, None, None, None)"
142738265709,"(0.80352783203125, 0.081787109375, 0.58953857421875, -0.005126953125)","(None, None, None, None)"
142738268796,"(0.80352783203125, 0.081787109375, 0.58953857421875, -0.005126953125)","(None, None, None, None)"
142738271649,"(0.80352783203125, 0.081787109375, 0.58953857421875, -0.005126953125)","(None, None, None, None)"
142738274269,"(0.80352783203125, 0.081787109375, 0.58953857421875, -0.005126953125)","(0.6783447265625, -0.05340576171875, 0.7327880859375, -0.0013427734375)"
142738278302,"(0.80377197265625, 0.0816650390625, 0.58929443359375, -0.0050048828125)","(0.6783447265625, -0.05340576171875, -1.2672119140625, -0.0013427734375)"
142738282527,"(0.80377197265625, 0.0816650390625, 0.58929443359375, -0.0050048828125)","(None, None, None, None)"
142738285265,"(0.80377197265625, 0.0816650390625, 0.58929443359375, -0.0050048828125)","(None, None, None, None)"
142738287815,"(0.80413818359375, 0.08123779296875, 0.5888671875, -0.00543212890625)","(None, None, None, None)"
142738290501,"(0.80413818359375, 0.08123779296875, 0.5888671875, -0.00543212890625)","(None, None, None, None)"
142738293298,"(0.80413818359375, 0.08123779296875, 0.5888671875, -0.00543212890625)","(0.6781005859375, -0.0540771484375, 0.73297119140625, -0.00189208984375)"
142738298662,"(0.80426025390625, 0.0809326171875, 0.5887451171875, -0.0054931640625)","(None, None, None, None)"
142738301445,"(0.80426025390625, 0.0809326171875, 0.5887451171875, -0.0054931640625)","(None, None, None, None)"
142738305736,"(0.8043212890625, 0.08062744140625, 0.588623046875, -0.00555419921875)","(0.67779541015625, -0.05517578125, 0.73321533203125, -0.00189208984375)"
142738309808,"(0.8043212890625, 0.08062744140625, 0.588623046875, -0.00555419921875)","(None, None, None, None)"
142738314386,"(0.8043212890625, 0.08062744140625, 0.588623046875, -0.00555419921875)","(None, None, None, None)"
142738318231,"(0.8045654296875, 0.08056640625, 0.58831787109375, -0.00579833984375)","(None, None, None, None)"
142738321249,"(0.8045654296875, 0.08056640625, 0.58831787109375, -0.00579833984375)","(0.6776123046875, -0.05462646484375, 0.7333984375, -0.001708984375)"
142738326576,"(0.8048095703125, 0.08050537109375, 0.5880126953125, -0.0054931640625)","(0.67755126953125, -0.05413818359375, 0.7335205078125, -0.00177001953125)"
142738330314,"(0.8048095703125, 0.08050537109375, 0.5880126953125, -0.0054931640625)","(0.67755126953125, -0.05413818359375, 0.7335205078125, -0.00177001953125)"
142738335888,"(0.8048095703125, 0.08050537109375, 0.5880126953125, -0.0054931640625)","(0.677490234375, -0.054443359375, 0.7335205078125, -0.00146484375)"
142738339631,"(0.804931640625, 0.08062744140625, 0.58782958984375, -0.0050048828125)","(0.677490234375, -0.054443359375, 0.7335205078125, -0.00146484375)"
142738344338,"(0.804931640625, 0.08062744140625, 0.58782958984375, -0.0050048828125)","(None, None, None, None)"
142738348120,"(0.804931640625, 0.08013916015625, 0.587890625, -0.005126953125)","(0.677734375, -0.0543212890625, 0.73333740234375, -0.00140380859375)"
142738352124,"(0.804931640625, 0.08013916015625, 0.587890625, -0.005126953125)","(None, None, None, None)"
142738356508,"(0.80535888671875, 0.0799560546875, 0.58734130859375, -0.0045166015625)","(None, None, None, None)"
142738359327,"(0.80535888671875, 0.0799560546875, 0.58734130859375, -0.0045166015625)","(0.6776123046875, -0.05462646484375, 0.7333984375, -0.001220703125)"
142738363066,"(0.80535888671875, 0.0799560546875, 0.58734130859375, -0.0045166015625)","(0.6771240234375, -0.0550537109375, 0.7337646484375, -0.0013427734375)"
142738369070,"(0.80548095703125, 0.0797119140625, 0.58721923828125, -0.00445556640625)","(None, None, None, None)"
142738371830,"(0.80548095703125, 0.0797119140625, 0.58721923828125, -0.00445556640625)","(None, None, None, None)"
142738374425,"(0.80548095703125, 0.0797119140625, 0.58721923828125, -0.00445556640625)","(None, None, None, None)"
142738377037,"(0.805419921875, 0.07940673828125, 0.58740234375, -0.00445556640625)","(None, None, None, None)"
142738379475,"(0.805419921875, 0.07940673828125, 0.58740234375, -0.00445556640625)","(0.67718505859375, -0.0546875, 0.7337646484375, -0.00140380859375)"
142738383197,"(0.805419921875, 0.07940673828125, 0.58740234375, -0.00445556640625)","(None, None, None, None)"
142738385855,"(0.805419921875, 0.07940673828125, 0.58740234375, -0.00445556640625)","(None, None, None, None)"
142738388698,"(0.8052978515625, 0.0791015625, 0.5875244140625, -0.00439453125)","(None, None, None, None)"
142738391364,"(0.8052978515625, 0.0791015625, 0.5875244140625, -0.00439453125)","(None, None, None, None)"
