timestamp,euler1,euler2
142815009022,"(0.80340576171875, 0.0908203125, 0.58843994140625, -0.0037841796875)","(0.0, 0.0, 0.0, 0.0)"
142815019463,"(0.80328369140625, 0.09100341796875, 0.588623046875, -0.00372314453125)","(0.0, 0.0, 0.0, 0.0)"
142815030209,"(0.803466796875, 0.0904541015625, 0.58843994140625, -0.00372314453125)","(0.0, 0.0, 0.0, 0.0)"
142815042496,"(0.80316162109375, 0.0906982421875, 0.5887451171875, -0.00372314453125)","(0.0, 0.0, 0.0, 0.0)"
142815054639,"(0.802978515625, 0.09002685546875, 0.589111328125, -0.00396728515625)","(0.0, 0.0, 0.0, 0.0)"
142815065585,"(0.8031005859375, 0.0897216796875, 0.58905029296875, -0.00433349609375)","(1.0, -0.00054931640625, 6.103515625e-05, -0.00115966796875)"
142815075486,"(0.8031005859375, 0.09002685546875, 0.58905029296875, -0.00408935546875)","(1.0, -0.00067138671875, 0.00054931640625, -0.001708984375)"
142815085201,"(0.8031005859375, 0.08953857421875, 0.58905029296875, -0.00439453125)","(1.0, -0.00042724609375, 0.0008544921875, -0.001953125)"
142815096277,"(0.802978515625, 0.0894775390625, 0.5892333984375, -0.0045166015625)","(1.0, -0.0008544921875, 0.00054931640625, -0.0023193359375)"
142815105578,"(0.80291748046875, 0.08935546875, 0.58935546875, -0.00457763671875)","(1.0, -0.00146484375, 0.000732421875, -0.00323486328125)"
142815115261,"(0.80291748046875, 0.08935546875, 0.58935546875, -0.00457763671875)","(1.0, -0.00152587890625, 0.00054931640625, -0.00360107421875)"
142815119277,"(0.80279541015625, 0.08953857421875, 0.5894775390625, -0.0047607421875)","(None, None, None, None)"
142815122044,"(0.80279541015625, 0.08953857421875, 0.5894775390625, -0.0047607421875)","(1.0, -0.00152587890625, 0.00054931640625, -0.00360107421875)"
142815127298,"(0.80279541015625, 0.08984375, 0.58941650390625, -0.0047607421875)","(None, None, None, None)"
142815129576,"(0.80279541015625, 0.08984375, 0.58941650390625, -0.0047607421875)","(None, None, None, None)"
142815132164,"(0.80279541015625, 0.08984375, 0.58941650390625, -0.0047607421875)","(None, None, None, None)"
142815134851,"(0.80279541015625, 0.08984375, 0.58941650390625, -0.0047607421875)","(0.68292236328125, -0.06805419921875, 0.727294921875, -0.0013427734375)"
142815139708,"(0.8026123046875, 0.0902099609375, 0.589599609375, -0.004638671875)","(None, None, None, None)"
142815142444,"(0.8026123046875, 0.0902099609375, 0.589599609375, -0.004638671875)","(None, None, None, None)"
142815146842,"(0.8023681640625, 0.0904541015625, 0.58990478515625, -0.004638671875)","(None, None, None, None)"
142815149777,"(0.8023681640625, 0.0904541015625, 0.58990478515625, -0.004638671875)","(0.6829833984375, -0.06842041015625, 0.72723388671875, -0.00115966796875)"
142815153502,"(0.8023681640625, 0.0904541015625, 0.58990478515625, -0.004638671875)","(0.6829833984375, -0.06817626953125, 0.727294921875, -0.00103759765625)"
142815159334,"(0.8023681640625, 0.091064453125, 0.58978271484375, -0.0042724609375)","(0.6829833984375, -0.06817626953125, 0.727294921875, -0.00103759765625)"
142815163408,"(0.8023681640625, 0.091064453125, 0.58978271484375, -0.0042724609375)","(0.6829833984375, -0.06817626953125, 0.727294921875, -0.00103759765625)"
142815168546,"(0.802734375, 0.0909423828125, 0.58929443359375, -0.00457763671875)","(0.6822509765625, -0.06927490234375, 0.72784423828125, -0.00128173828125)"
142815172121,"(0.802734375, 0.0909423828125, 0.58929443359375, -0.00457763671875)","(None, None, None, None)"
142815174963,"(0.802734375, 0.0909423828125, 0.58929443359375, -0.00457763671875)","(0.6822509765625, -0.06927490234375, 0.72784423828125, -0.00128173828125)"
142815179341,"(0.80316162109375, 0.09149169921875, 0.58868408203125, -0.0042724609375)","(0.68212890625, -0.077392578125, 0.7279052734375, -0.0013427734375)"
142815183215,"(0.80316162109375, 0.09149169921875, 0.58868408203125, -0.0042724609375)","(0.68212890625, -0.069580078125, 0.7279052734375, -0.0013427734375)"
142815189152,"(0.80303955078125, 0.09173583984375, 0.58880615234375, -0.00445556640625)","(0.68170166015625, -0.07000732421875, 0.728271484375, -0.001708984375)"
