timestamp,euler1,euler2
143351703846,"(0.784912109375, 0.09844970703125, 0.61175537109375, -0.0020751953125)","(0.0, 0.0, 0.0, 0.0)"
143351715409,"(0.784912109375, 0.09832763671875, 0.61175537109375, -0.002197265625)","(0.0, 0.0, 0.0, 0.0)"
143351730204,"(0.78509521484375, 0.0980224609375, 0.61163330078125, -0.002197265625)","(0.0078125, 0.0, 0.0, 0.0)"
143351740835,"(0.7928466796875, 0.09808349609375, 0.61163330078125, -0.00225830078125)","(0.0078125, 0.0, 0.0, 0.0)"
143351751453,"(0.79290771484375, 0.0980224609375, 0.611572265625, -0.00238037109375)","(0.0, 0.0, 0.0, 0.0)"
143351760961,"(0.7928466796875, 0.09796142578125, 0.61163330078125, -0.002685546875)","(1.0, -0.0008544921875, -0.00091552734375, 0.0)"
143351769994,"(0.7928466796875, 0.09796142578125, 0.61163330078125, -0.002685546875)","(1.0078125, -0.00103759765625, -0.0010986328125, -0.00030517578125)"
143351778783,"(0.7850341796875, 0.09796142578125, 0.61163330078125, -0.00286865234375)","(1.0, -0.000732421875, -0.00054931640625, -0.00042724609375)"
143351789300,"(0.7852783203125, 0.097900390625, 0.611328125, -0.002685546875)","(1.0078125, -0.00042724609375, -0.00067138671875, -0.00054931640625)"
143351798269,"(0.79296875, 0.09820556640625, 0.6114501953125, -0.002685546875)","(1.0078125, -0.000732421875, -0.00018310546875, -0.00030517578125)"
143351806754,"(0.79302978515625, 0.09857177734375, 0.611328125, -0.00299072265625)","(0.6826171875, -0.07733154296875, 0.73394775390625, 0.0008544921875)"
143351814777,"(0.79296875, 0.09912109375, 0.611328125, -0.0025634765625)","(0.6748046875, -0.07733154296875, 0.73394775390625, 0.0008544921875)"
143351823941,"(0.7926025390625, 0.09930419921875, 0.6116943359375, -0.00244140625)","(0.6746826171875, -0.0775146484375, 0.7340087890625, 0.0008544921875)"
143351833319,"(0.78472900390625, 0.0992431640625, 0.61181640625, -0.00244140625)","(0.6749267578125, -0.0775146484375, 0.73382568359375, 0.00091552734375)"
143351837310,"(0.78472900390625, 0.0992431640625, 0.61181640625, -0.00244140625)","(None, None, None, None)"
143351841458,"(0.78472900390625, 0.0992431640625, 0.61181640625, -0.00244140625)","(0.67498779296875, -0.0775146484375, 0.73370361328125, 0.00091552734375)"
143351846054,"(0.784912109375, 0.099365234375, 0.611572265625, -0.002197265625)","(0.67498779296875, -0.0775146484375, 0.73370361328125, 0.00091552734375)"
143351849745,"(0.784912109375, 0.099365234375, 0.611572265625, -0.002197265625)","(0.67486572265625, -0.07684326171875, 0.73394775390625, 0.00067138671875)"
143351855367,"(0.7847900390625, 0.09942626953125, 0.61175537109375, -0.0023193359375)","(0.67486572265625, -0.07684326171875, 0.73394775390625, 0.00067138671875)"
143351860605,"(0.7847900390625, 0.09942626953125, 0.61175537109375, -0.0023193359375)","(0.67474365234375, -0.07684326171875, 0.7340087890625, 0.0006103515625)"
143351864614,"(0.78466796875, 0.09991455078125, 0.61181640625, -0.00274658203125)","(None, None, None, None)"
