timestamp,euler1,euler2
144248577092,"(0.78631591796875, 0.0557861328125, 0.61529541015625, 0.001220703125)","(0.0, 0.0, 0.0, 0.0)"
144248587509,"(0.7864990234375, 0.05560302734375, 0.6151123046875, 0.00140380859375)","(0.0, 0.0, 0.0, 0.0)"
144248600099,"(0.78656005859375, 0.05584716796875, 0.614990234375, 0.001220703125)","(0.0, 0.0, 0.0, 0.0)"
144248611900,"(0.78662109375, 0.05584716796875, 0.61492919921875, 0.00140380859375)","(0.0, 0.0, 0.0, 0.0)"
144248625175,"(0.786865234375, 0.0557861328125, 0.61456298828125, 0.00164794921875)","(0.0, 0.0, 0.0, 0.0)"
144248636092,"(0.7864990234375, 0.05645751953125, 0.614990234375, 0.00140380859375)","(1.0, 0.0001220703125, -0.00042724609375, -0.0001220703125)"
144248646981,"(0.78631591796875, 0.05670166015625, 0.61517333984375, 0.00146484375)","(1.0, 0.0001220703125, -0.00042724609375, -0.0001220703125)"
144248653875,"(0.78631591796875, 0.05694580078125, 0.615234375, 0.001708984375)","(1.0, 0.000244140625, -0.000732421875, 0.0001220703125)"
144248660392,"(0.78631591796875, 0.05694580078125, 0.615234375, 0.001708984375)","(1.0, 0.0, -0.0008544921875, 0.0)"
144248668348,"(0.78631591796875, 0.0567626953125, 0.61517333984375, 0.00115966796875)","(1.0, 0.0, -0.0008544921875, 0.0)"
144248675461,"(0.78662109375, 0.055908203125, 0.61492919921875, 0.00091552734375)","(1.0, -0.00048828125, -0.0009765625, -0.00042724609375)"
144248682062,"(0.78662109375, 0.055908203125, 0.61492919921875, 0.00091552734375)","(0.6636962890625, -0.06243896484375, 0.74542236328125, 6.103515625e-05)"
144248688844,"(0.7862548828125, 0.05548095703125, 0.6153564453125, 0.00048828125)","(0.6636962890625, -0.06243896484375, 0.74542236328125, 6.103515625e-05)"
144248695630,"(0.7860107421875, 0.05523681640625, 0.61572265625, 0.000244140625)","(0.66357421875, -0.062255859375, 0.7454833984375, -0.0003662109375)"
144248701615,"(0.7860107421875, 0.05523681640625, 0.61572265625, 0.000244140625)","(0.6636962890625, -0.06231689453125, 0.74542236328125, -0.00048828125)"
144248708432,"(0.78594970703125, 0.05511474609375, 0.6158447265625, 6.103515625e-05)","(0.6636962890625, -0.06231689453125, 0.74542236328125, -0.00048828125)"
144248716981,"(0.78564453125, 0.0550537109375, 0.6162109375, 0.0)","(0.6632080078125, -0.062255859375, 0.745849609375, -0.00115966796875)"
144248722672,"(0.78564453125, 0.0550537109375, 0.6162109375, 0.0)","(0.6630859375, -0.06219482421875, 0.7459716796875, -0.0013427734375)"
144248729338,"(0.785400390625, 0.0550537109375, 0.6165771484375, 6.103515625e-05)","(0.6630859375, -0.06219482421875, 0.7459716796875, -0.0013427734375)"
144248736668,"(0.78533935546875, 0.0552978515625, 0.6165771484375, 0.0003662109375)","(0.6629638671875, -0.06195068359375, 0.74609375, -0.00140380859375)"
144248744003,"(0.78533935546875, 0.0552978515625, 0.6165771484375, 0.0003662109375)","(0.6632080078125, -0.06207275390625, 0.745849609375, -0.001220703125)"
144248749461,"(0.7852783203125, 0.05523681640625, 0.61669921875, 0.000244140625)","(0.6632080078125, -0.06207275390625, 0.745849609375, -0.001220703125)"
144248757103,"(0.78497314453125, 0.05517578125, 0.6170654296875, -6.103515625e-05)","(0.66314697265625, -0.061767578125, 0.7459716796875, -0.0013427734375)"
144248762972,"(0.78497314453125, 0.05517578125, 0.6170654296875, -6.103515625e-05)","(0.6627197265625, -0.06170654296875, 0.74627685546875, -0.00140380859375)"
144248769800,"(0.7850341796875, 0.05487060546875, 0.61700439453125, -6.103515625e-05)","(0.6627197265625, -0.06170654296875, 0.74627685546875, -0.00140380859375)"
144248777736,"(0.784912109375, 0.05517578125, 0.6171875, -0.00018310546875)","(0.66229248046875, -0.06195068359375, 0.74664306640625, -0.00177001953125)"
