scorer,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,713.5079,579.83386,0.48834944,998.3477,493.2313,0.59974396,995.87854,330.9421,0.8900646,984.56226,184.0865,0.71005356,999.04626,493.83194,0.2425873
1,713.4771,579.8151,0.48626888,998.3642,493.2312,0.60186327,995.89655,330.97318,0.8915298,984.5598,184.11656,0.7074178,999.05365,493.82236,0.24247098
2,796.87384,687.2435,0.36512437,998.3303,493.16788,0.6028665,995.7536,330.75162,0.87724555,984.48413,183.93387,0.67842925,999.0228,493.76163,0.25000048
3,1119.5817,498.39395,0.36766747,998.3706,493.16177,0.59675115,995.92413,330.8466,0.8813014,984.45184,183.92064,0.6779622,999.0267,493.7411,0.24915083
4,796.71924,687.57935,0.31062013,998.5075,493.12305,0.6025795,995.4501,330.70694,0.8760401,984.409,183.91422,0.66119045,999.09503,493.70505,0.24467373
5,797.2919,687.8077,0.36282256,998.5118,493.13916,0.65313214,995.29626,330.88406,0.90312964,984.35364,183.98238,0.67283314,999.03687,493.69885,0.24967715
6,797.2249,687.6966,0.38847765,998.46936,493.18668,0.67016625,995.2848,330.8769,0.9050545,984.3528,183.92772,0.68012786,999.0105,493.71506,0.25676352
7,796.9516,687.98083,0.38634863,998.349,493.21298,0.67744553,995.09454,330.91592,0.8934062,984.2429,183.86307,0.69956,998.9077,493.75162,0.25180045
8,796.13873,687.712,0.43056107,998.32684,493.19055,0.7045498,994.8171,331.0511,0.89656323,984.1835,183.89072,0.682627,998.87555,493.71277,0.25122008
9,795.68304,687.6125,0.3827596,998.4326,493.12482,0.6711311,994.86145,331.07965,0.8835418,984.2022,183.87366,0.6866234,998.9458,493.7058,0.2567858
10,1119.2537,499.26862,0.3848427,998.5567,493.05276,0.6737921,994.9364,331.0824,0.8767337,984.16815,183.8523,0.68301046,999.0725,493.615,0.2553048
11,1119.1167,498.40125,0.33534023,998.6206,493.1203,0.6615195,995.24097,331.09326,0.8678363,984.1978,183.86607,0.67617685,999.13824,493.6935,0.25393897
12,794.57043,686.7765,0.35909224,998.6522,492.9149,0.6318499,995.2613,331.01556,0.8734135,984.25977,183.80421,0.6810806,999.1934,493.50668,0.25772607
13,1118.6516,498.96344,0.27934536,998.65076,493.01733,0.6444058,995.3642,331.0536,0.87176776,984.349,183.8749,0.67123514,999.2711,493.57434,0.25743103
14,736.47107,522.9517,0.30246374,998.55914,492.99173,0.640311,995.38586,330.99475,0.8664459,984.44025,183.88385,0.6273856,999.23834,493.52682,0.25628552
15,795.45886,686.9525,0.2978826,998.565,493.06766,0.6363416,995.34,330.98642,0.84989345,984.48737,183.96503,0.63418674,999.26324,493.5891,0.2574202
16,736.71765,522.9384,0.31830144,998.58563,493.0753,0.6455139,995.43,330.999,0.8231854,984.5655,183.9601,0.6473637,999.23895,493.61197,0.26014346
17,1118.9193,498.46414,0.3177731,998.5612,492.97067,0.64338756,995.05035,330.99454,0.89807403,984.56793,183.9283,0.62912685,999.1923,493.47662,0.2617369
