timestamp,euler1,euler2
151246920390,"(0.978759765625, 0.04718017578125, 0.19952392578125, 0.00091552734375)","(0.0, 0.0, 0.0, 0.0)"
151246930976,"(0.978759765625, 0.047607421875, 0.19952392578125, 0.00079345703125)","(0.0, 0.0, 0.0, 0.0)"
151246940920,"(0.978759765625, 0.0477294921875, 0.19940185546875, 0.00091552734375)","(0.0, 0.0, 0.0, 0.0)"
151246949922,"(0.97882080078125, 0.047607421875, 0.198974609375, 0.000732421875)","(0.0, 0.0, 0.0, 0.0)"
151246960114,"(0.97894287109375, 0.04742431640625, 0.19854736328125, 0.000732421875)","(0.0, 0.0, 0.0, 0.0)"
151246970459,"(0.97894287109375, 0.04742431640625, 0.19854736328125, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
151246980277,"(0.97900390625, 0.04779052734375, 0.19830322265625, 0.0003662109375)","(1.0, 0.000732421875, 0.0001220703125, -0.00164794921875)"
151246990318,"(0.97894287109375, 0.04803466796875, 0.19842529296875, 6.103515625e-05)","(1.0, 0.0003662109375, -0.0003662109375, -0.0015869140625)"
151247000200,"(0.9788818359375, 0.0482177734375, 0.19879150390625, -6.103515625e-05)","(1.0, 0.00018310546875, -0.0003662109375, -0.0013427734375)"
151247010608,"(0.9788818359375, 0.04852294921875, 0.19873046875, -0.000732421875)","(1.0, 0.00067138671875, 6.103515625e-05, -0.001953125)"
151247022687,"(0.97894287109375, 0.04876708984375, 0.19830322265625, -0.00054931640625)","(0.98248291015625, -0.12274169921875, 0.14019775390625, -0.0023193359375)"
151247032222,"(0.97900390625, 0.0489501953125, 0.197998046875, -0.00042724609375)","(0.98248291015625, -0.12274169921875, 0.14019775390625, -0.0023193359375)"
151247040168,"(0.97906494140625, 0.04901123046875, 0.18975830078125, -0.00030517578125)","(0.98248291015625, -0.1224365234375, 0.14068603515625, -0.00274658203125)"
151247046543,"(0.97906494140625, 0.04901123046875, 0.19757080078125, -0.00030517578125)","(0.982421875, -0.12274169921875, 0.140625, -0.00299072265625)"
151247053746,"(0.97918701171875, 0.04888916015625, 0.19696044921875, -0.00030517578125)","(0.982421875, -0.1229248046875, 0.140625, -0.003173828125)"
151247061434,"(0.97930908203125, 0.04876708984375, 0.1964111328125, -0.0003662109375)","(0.982421875, -0.1229248046875, 0.140625, -0.003173828125)"
151247068179,"(0.9794921875, 0.04833984375, 0.19549560546875, -0.00042724609375)","(0.982421875, -0.12286376953125, 0.14056396484375, -0.00335693359375)"
151247075552,"(0.9794921875, 0.04833984375, 0.19549560546875, -0.00042724609375)","(0.9822998046875, -0.12286376953125, 0.14117431640625, -0.00390625)"
151247081351,"(0.9796142578125, 0.04815673828125, 0.1949462890625, -0.0006103515625)","(0.9822998046875, -0.12286376953125, 0.14117431640625, -0.00390625)"
151247089024,"(0.97967529296875, 0.04815673828125, 0.194580078125, -0.0006103515625)","(0.98236083984375, -0.1229248046875, 0.14080810546875, -0.00396728515625)"
151247094543,"(0.97967529296875, 0.04815673828125, 0.194580078125, -0.0006103515625)","(0.98236083984375, -0.12255859375, 0.1409912109375, -0.00372314453125)"
151247102303,"(0.97967529296875, 0.04852294921875, 0.1947021484375, -0.00042724609375)","(0.98236083984375, -0.12255859375, 0.1409912109375, -0.00372314453125)"
151247110951,"(0.9796142578125, 0.04864501953125, 0.19476318359375, -0.00054931640625)","(0.98236083984375, -0.1224365234375, 0.14154052734375, -0.00347900390625)"
151247117099,"(0.9796142578125, 0.04864501953125, 0.19476318359375, -0.00054931640625)","(0.98236083984375, -0.12237548828125, 0.14129638671875, -0.003662109375)"
151247123928,"(0.979736328125, 0.04827880859375, 0.19427490234375, -0.00054931640625)","(0.98236083984375, -0.12237548828125, 0.14129638671875, -0.003662109375)"
151247131969,"(0.97979736328125, 0.0482177734375, 0.19415283203125, -0.000244140625)","(0.982421875, -0.122314453125, 0.14117431640625, -0.00347900390625)"
151247139631,"(0.979736328125, 0.048095703125, 0.1943359375, -0.00048828125)","(0.982421875, -0.12261962890625, 0.140869140625, -0.00311279296875)"
151247146556,"(0.979736328125, 0.048095703125, 0.1943359375, -0.00048828125)","(0.98236083984375, -0.12261962890625, 0.14105224609375, -0.0032958984375)"
151247154638,"(0.97967529296875, 0.0484619140625, 0.19464111328125, -0.0006103515625)","(0.98236083984375, -0.12255859375, 0.14117431640625, -0.00341796875)"
151247163164,"(0.97967529296875, 0.04840087890625, 0.19476318359375, -0.00067138671875)","(0.98236083984375, -0.12255859375, 0.14117431640625, -0.00341796875)"
151247171071,"(0.9796142578125, 0.048583984375, 0.19500732421875, -0.0006103515625)","(0.9822998046875, -0.12255859375, 0.14154052734375, -0.00347900390625)"
151247178879,"(0.9796142578125, 0.048583984375, 0.19500732421875, -0.0006103515625)","(0.98223876953125, -0.122802734375, 0.1417236328125, -0.003662109375)"
151247185635,"(0.97955322265625, 0.04864501953125, 0.1953125, -0.0006103515625)","(0.98223876953125, -0.122802734375, 0.1417236328125, -0.003662109375)"
151247192559,"(0.97955322265625, 0.0487060546875, 0.195068359375, -0.000732421875)","(0.9822998046875, -0.12298583984375, 0.14117431640625, -0.00299072265625)"
151247201157,"(0.9794921875, 0.049072265625, 0.1953125, -0.00054931640625)","(0.98223876953125, -0.123291015625, 0.1412353515625, -0.0025634765625)"
151247208643,"(0.9794921875, 0.04876708984375, 0.195556640625, -0.00067138671875)","(0.98223876953125, -0.1234130859375, 0.14117431640625, -0.0029296875)"
151247215157,"(0.9794921875, 0.04876708984375, 0.195556640625, -0.00067138671875)","(0.9822998046875, -0.1236572265625, 0.14068603515625, -0.00299072265625)"
151247223438,"(0.97943115234375, 0.04876708984375, 0.19573974609375, -0.00054931640625)","(0.9822998046875, -0.1236572265625, 0.14068603515625, -0.00299072265625)"
151247231440,"(0.9794921875, 0.04888916015625, 0.19537353515625, -0.0006103515625)","(0.9822998046875, -0.1239013671875, 0.1405029296875, -0.0029296875)"
151247237749,"(0.9794921875, 0.04888916015625, 0.19537353515625, -0.0006103515625)","(0.98236083984375, -0.12396240234375, 0.14007568359375, -0.00262451171875)"
151247244471,"(0.9794921875, 0.04876708984375, 0.19537353515625, -0.00067138671875)","(0.98236083984375, -0.12396240234375, 0.14007568359375, -0.00262451171875)"
151247252655,"(0.97955322265625, 0.048583984375, 0.19537353515625, -0.00079345703125)","(0.98236083984375, -0.1239013671875, 0.13983154296875, -0.002197265625)"
151247259873,"(0.9796142578125, 0.0482177734375, 0.19500732421875, -0.0010986328125)","(0.98236083984375, -0.123779296875, 0.1402587890625, -0.00238037109375)"
151247266406,"(0.9796142578125, 0.0482177734375, 0.19500732421875, -0.0010986328125)","(0.98223876953125, -0.123779296875, 0.14093017578125, -0.00250244140625)"
151247275094,"(0.9796142578125, 0.0479736328125, 0.195068359375, -0.00128173828125)","(0.98223876953125, -0.123779296875, 0.14093017578125, -0.00250244140625)"
151247282307,"(0.9794921875, 0.0484619140625, 0.1954345703125, -0.00177001953125)","(0.98223876953125, -0.12371826171875, 0.14117431640625, -0.0020751953125)"
151247290649,"(0.97943115234375, 0.0489501953125, 0.19573974609375, -0.002197265625)","(0.98223876953125, -0.12335205078125, 0.1412353515625, -0.001708984375)"
151247297187,"(0.97943115234375, 0.0489501953125, 0.19573974609375, -0.002197265625)","(0.98223876953125, -0.1234130859375, 0.14129638671875, -0.001708984375)"
151247305010,"(0.9793701171875, 0.04931640625, 0.19598388671875, -0.00152587890625)","(0.98223876953125, -0.1234130859375, 0.14129638671875, -0.001708984375)"
151247314392,"(0.97918701171875, 0.0498046875, 0.1966552734375, -0.0009765625)","(0.982177734375, -0.12384033203125, 0.1414794921875, -0.0018310546875)"
151247322093,"(0.97918701171875, 0.04986572265625, 0.1966552734375, -0.00128173828125)","(0.98211669921875, -0.12432861328125, 0.14154052734375, -0.00177001953125)"
151247328548,"(0.97918701171875, 0.04986572265625, 0.1966552734375, -0.00128173828125)","(0.98211669921875, -0.12408447265625, 0.14166259765625, -0.0018310546875)"
