scorer,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,822.0721,877.09924,0.9520663,809.3167,725.0809,0.6587742,803.59625,561.4057,0.7746324,777.5142,396.19656,0.8978783,725.1624,158.4648,0.68236846
1,821.84,875.82965,1.0,809.15765,723.9446,0.63706946,804.1896,560.7473,0.69413775,777.8461,395.28198,0.8678573,725.7936,157.19565,0.6561373
2,821.9103,876.9687,0.99525625,809.3252,724.89435,0.66619414,803.99036,561.4773,0.7326499,777.82874,396.26465,0.8807817,725.5536,158.20187,0.66554517
3,821.7361,876.673,1.0,809.13184,724.5488,0.66526544,804.13885,560.9177,0.7327666,777.6966,395.74237,0.87321585,725.78455,157.81238,0.6778018
4,821.4882,876.38806,0.995768,809.0562,724.16895,0.64928967,804.0522,560.83496,0.7133044,777.9683,395.36496,0.87819254,725.8742,157.4339,0.65312093
5,821.73096,876.4527,0.9914278,809.3001,724.7642,0.6598845,804.0328,561.2623,0.7310377,777.764,396.15088,0.89977396,725.7475,157.88068,0.66718644
6,822.0302,876.6509,1.0,809.1635,724.4512,0.65717703,804.10986,561.10596,0.731897,777.83813,395.74905,0.9107397,725.84,157.7964,0.6675457
7,822.03204,876.722,1.0,809.1953,724.6259,0.67078507,804.1706,561.15936,0.7657815,777.8293,395.77252,0.8999484,725.8354,157.83644,0.6584387
8,822.00116,876.7509,0.98741454,809.32214,724.7991,0.68278927,804.2402,561.58856,0.79670256,777.86884,396.11057,0.91279423,725.8241,158.00098,0.6633728
9,821.9064,876.5782,1.0,809.2929,724.6222,0.68052787,804.3104,561.09174,0.75954974,778.1624,395.75137,0.9005683,725.8528,157.88484,0.6645815
10,821.94617,876.5831,1.0,809.2493,724.4823,0.6844874,804.2279,560.8725,0.7313903,777.94324,395.75027,0.88475156,726.032,157.82265,0.6665517
11,821.9245,876.61395,1.0,809.2406,724.5038,0.6830057,804.41425,560.89905,0.7515413,778.01294,395.78748,0.88671494,726.13916,157.63773,0.6281175
12,821.9842,876.53894,1.0,809.2709,724.40735,0.6682426,804.2059,560.9761,0.75392354,778.09204,395.6181,0.89205056,726.1778,157.64978,0.6404862
13,822.13416,876.51886,1.0,809.0873,724.38556,0.6710251,804.2694,560.9536,0.75474685,777.9987,395.72122,0.8553352,726.2448,157.80145,0.65410864
14,822.2868,876.4986,0.9578896,809.1865,724.72845,0.69265693,804.31744,560.9193,0.79346544,777.95337,395.7609,0.8875417,726.09247,157.94965,0.63509953
15,821.9772,875.9743,0.98382473,809.3432,724.4447,0.6848107,804.21204,560.7869,0.77406734,777.89856,395.6961,0.84950393,726.1607,157.65247,0.66826576
16,822.0089,875.93524,0.99005824,809.338,724.3446,0.6843847,804.1259,560.8163,0.78132284,777.8477,395.69504,0.86459875,726.24304,157.44028,0.6728663
17,822.0791,876.26746,0.9853236,809.3334,724.62085,0.67722106,804.36884,560.54846,0.77524126,777.91846,395.67865,0.87223244,726.254,157.50171,0.6717227
