scorer,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010,DLC_Resnet50_SOR4_11_02Nov3shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,935.3387,654.4269,0.40060976,949.9419,519.6492,0.62334067,948.65875,357.8665,0.8997659,937.67456,202.91965,0.6491188,951.0337,520.50494,0.1791108
1,934.1235,654.12463,0.39492527,950.0791,519.66003,0.62258446,948.68256,357.8619,0.9026937,937.32135,202.79752,0.6737855,951.1603,520.4829,0.18477088
2,841.8241,645.62854,0.5599939,949.9501,519.6233,0.6522349,948.7822,357.65744,0.90394455,937.2727,202.888,0.69191504,951.04,520.43506,0.17014126
3,841.53796,645.90906,0.5113767,949.9552,519.6539,0.65746367,948.91547,357.70618,0.90581816,937.64014,202.67183,0.6748101,951.0396,520.47455,0.1740966
4,842.0897,646.3056,0.3596517,949.9743,519.6475,0.671589,949.04126,357.54095,0.8820772,937.6386,202.57855,0.6896101,951.0454,520.3739,0.17287503
5,911.8992,654.22345,0.22641025,949.92523,519.612,0.6667566,949.13544,357.6776,0.85300636,937.5468,202.57736,0.66448754,951.01685,520.32214,0.1740823
6,841.6794,646.38055,0.3063463,949.94885,519.6067,0.6659841,949.137,357.7084,0.87358385,937.58,202.83003,0.67228913,951.02057,520.2941,0.1731293
7,824.18494,753.1673,0.37485033,950.04724,519.71313,0.658834,949.19794,357.70084,0.86679095,937.5972,202.69049,0.66839844,951.11285,520.44775,0.17117383
8,908.6886,655.52295,0.2030452,950.2434,519.8513,0.6562261,949.2572,357.70322,0.88586885,937.5416,202.72617,0.6755373,951.2383,520.58887,0.16771705
9,933.77625,653.6208,0.32603967,950.1907,519.78436,0.66889966,949.21387,357.79947,0.88051945,937.5506,202.52715,0.6548446,951.1882,520.5063,0.18002318
10,935.7244,653.7965,0.39312446,950.3006,519.6707,0.64945614,949.21686,357.71964,0.87163776,937.6093,202.53049,0.6506842,951.28015,520.46515,0.18169366
11,934.94525,654.04425,0.30448928,950.28436,519.76434,0.6360419,949.41766,357.92963,0.85972023,937.62286,202.47939,0.6692401,951.2746,520.51776,0.17459352
12,933.1502,653.70575,0.2617,950.26373,519.7404,0.6344394,949.3257,357.96777,0.8490796,937.412,202.72018,0.64738864,951.2615,520.4675,0.17116833
13,840.41705,646.1571,0.26280764,950.48944,519.8339,0.6444481,949.2415,357.62527,0.87774605,937.7042,202.58206,0.6662794,951.468,520.5644,0.17615962
14,840.235,647.5601,0.22191277,950.4522,519.8804,0.63168436,949.32654,357.57712,0.87023497,937.788,202.5422,0.67547995,951.45374,520.60803,0.18452595
15,840.2211,647.4121,0.26443025,950.5892,519.91705,0.62831265,949.56635,357.37686,0.88546467,937.73975,202.58745,0.6722146,951.5942,520.6751,0.19245042
16,840.4518,646.6274,0.27412298,950.73254,519.90906,0.62021583,949.5823,357.33777,0.88071424,937.75287,202.52158,0.6643902,951.70154,520.7206,0.19730394
17,933.62476,653.9726,0.25333437,950.6447,520.0076,0.62854975,949.6538,357.54495,0.83464634,937.7637,202.50029,0.65256363,951.6413,520.7412,0.20050876
