timestamp,euler1,euler2
145721509857,"(0.76568603515625, 0.111083984375, 0.633544921875, -0.004638671875)","(0.0, 0.0, 0.0, 0.0)"
145721520560,"(0.7659912109375, 0.11053466796875, 0.63323974609375, -0.0045166015625)","(0.0, 0.0, 0.0, 0.0)"
145721530466,"(0.76605224609375, 0.1104736328125, 0.6331787109375, -0.00421142578125)","(0.0, 0.0, 0.0, 0.0)"
145721540357,"(0.7664794921875, 0.1103515625, 0.63275146484375, -0.0040283203125)","(0.0, 0.0, 0.0, 0.0)"
145721551304,"(0.76678466796875, 0.11029052734375, 0.63232421875, -0.004150390625)","(0.0, 0.0, 0.0, 0.0)"
145721563068,"(0.7664794921875, 0.1107177734375, 0.63262939453125, -0.00433349609375)","(1.0, -0.0009765625, -0.0006103515625, 0.0003662109375)"
145721573283,"(0.76641845703125, 0.1104736328125, 0.63275146484375, -0.004638671875)","(1.0078125, -0.00103759765625, -0.00067138671875, 0.0)"
145721580940,"(0.7742919921875, 0.1103515625, 0.6326904296875, -0.004638671875)","(1.0, -0.00103759765625, -0.00067138671875, 0.0)"
145721589472,"(0.77410888671875, 0.11102294921875, 0.63275146484375, -0.00445556640625)","(1.0078125, -0.00103759765625, -0.00103759765625, -0.0001220703125)"
145721598751,"(0.77398681640625, 0.11126708984375, 0.63287353515625, -0.00457763671875)","(1.0078125, -0.0006103515625, -0.00091552734375, -0.0003662109375)"
145721606849,"(0.774169921875, 0.11138916015625, 0.63262939453125, -0.0047607421875)","(1.0078125, -0.00042724609375, -0.000732421875, -0.0003662109375)"
145721615036,"(0.774169921875, 0.11138916015625, 0.63262939453125, -0.0047607421875)","(0.68609619140625, -0.1580810546875, 0.71759033203125, 0.000244140625)"
145721621166,"(0.7744140625, 0.11114501953125, 0.6324462890625, -0.00482177734375)","(0.68609619140625, -0.1580810546875, 0.71759033203125, 0.000244140625)"
145721629084,"(0.77447509765625, 0.11138916015625, 0.63226318359375, -0.00494384765625)","(0.68609619140625, -0.15802001953125, 0.71759033203125, 0.0)"
145721635526,"(0.77447509765625, 0.11138916015625, 0.63226318359375, -0.00494384765625)","(0.68585205078125, -0.1578369140625, 0.71783447265625, -0.00067138671875)"
145721642587,"(0.77471923828125, 0.11114501953125, 0.632080078125, -0.0050048828125)","(0.68585205078125, -0.1575927734375, 0.71795654296875, -0.0008544921875)"
145721650752,"(0.77490234375, 0.11114501953125, 0.6318359375, -0.0047607421875)","(0.68585205078125, -0.1575927734375, 0.71795654296875, -0.0008544921875)"
145721657606,"(0.77508544921875, 0.11126708984375, 0.631591796875, -0.00469970703125)","(0.68603515625, -0.15704345703125, 0.7178955078125, -0.00067138671875)"
145721664166,"(0.77508544921875, 0.11126708984375, 0.631591796875, -0.00469970703125)","(0.67822265625, -0.15704345703125, 0.7178955078125, -0.00067138671875)"
145721670814,"(0.77532958984375, 0.11083984375, 0.63140869140625, -0.00445556640625)","(0.68603515625, -0.1568603515625, 0.7178955078125, -0.000732421875)"
145721678711,"(0.77532958984375, 0.111083984375, 0.63134765625, -0.00408935546875)","(0.68634033203125, -0.15692138671875, 0.7176513671875, -0.00048828125)"
145721686850,"(0.77581787109375, 0.11090087890625, 0.6307373046875, -0.00390625)","(0.68646240234375, -0.15655517578125, 0.71759033203125, -0.000244140625)"
145721694146,"(0.76800537109375, 0.11090087890625, 0.6307373046875, -0.00390625)","(0.68634033203125, -0.15667724609375, 0.7176513671875, -6.103515625e-05)"
145721703324,"(0.768310546875, 0.1104736328125, 0.6304931640625, -0.00341796875)","(0.6864013671875, -0.156494140625, 0.7176513671875, 0.00042724609375)"
145721712015,"(0.7763671875, 0.11004638671875, 0.6302490234375, -0.00360107421875)","(0.6864013671875, -0.156494140625, 0.7176513671875, 0.00042724609375)"
