scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,880.5689,693.17175,0.8335854,860.78564,549.56274,0.9253888,850.4532,389.06448,0.779162,830.88965,260.44342,0.7332297,797.39825,118.27311,0.922953
1,880.7659,693.6964,0.8255332,860.91003,549.75903,0.9285844,850.46136,388.73117,0.7927115,830.7932,260.98837,0.7224127,797.2139,118.54027,0.90395755
2,880.4295,693.3324,0.84372026,860.37067,549.55115,0.9204968,849.8887,388.84116,0.8062981,830.5235,260.39413,0.6967113,797.0948,118.41747,0.88863176
3,880.2693,693.74786,0.8184787,860.10486,549.74664,0.902961,850.60535,389.02414,0.78190464,830.6161,260.4362,0.73191327,796.8644,118.61899,0.8833063
4,880.1709,693.4465,0.81555206,859.8262,549.96875,0.9180755,849.67114,388.9929,0.78859794,830.2264,260.38184,0.7322157,796.0753,119.39438,0.8443769
5,879.89197,692.4384,0.67891616,859.3843,549.11127,0.9008568,849.0155,388.85876,0.81219417,829.83044,260.21423,0.71704847,796.05975,118.425964,0.8992246
6,879.68286,692.81195,0.67123675,859.3618,549.5536,0.93040603,849.0647,388.84894,0.7930284,830.1188,260.53876,0.71474046,796.0115,119.02403,0.9079531
7,880.3594,693.1411,0.62255174,859.86536,549.8833,0.9252923,849.6451,389.15894,0.7962508,830.1643,260.8383,0.7377702,795.9587,119.302765,0.8996328
8,879.8828,693.2102,0.675541,859.80896,549.575,0.92361355,849.7057,388.90347,0.8089547,830.2035,260.6946,0.70411605,796.02484,119.08669,0.9044379
9,878.2626,694.9868,0.80068576,859.83496,549.7004,0.93356836,849.74817,388.9424,0.8000222,830.22736,260.57834,0.7145799,796.0961,118.92633,0.90318805
10,877.206,694.6912,0.7200761,859.5955,549.61346,0.91828287,850.2198,388.57883,0.7952536,830.5011,260.3219,0.71278346,796.1397,118.92272,0.91778564
11,875.8454,694.58215,0.6840627,859.6385,549.5847,0.9028055,850.1217,388.61542,0.8119343,830.50525,260.20102,0.7204525,796.7742,118.581535,0.9056914
12,875.80414,694.676,0.707664,859.6964,549.5505,0.942497,850.0865,388.58212,0.8150306,830.38385,260.70966,0.72100127,796.8224,118.67516,0.9469138
13,875.88873,694.29175,0.73744726,859.7282,549.6176,0.9306221,850.0733,387.79587,0.78885305,830.4771,260.47015,0.7232856,796.87195,118.562004,0.94110245
14,876.1359,694.46375,0.7352262,859.72107,549.63947,0.9280532,849.8469,388.53085,0.8039203,830.11566,260.0511,0.71364367,796.4206,118.59346,0.9189557
15,876.22943,694.4715,0.7033891,859.7987,549.8607,0.938816,849.6456,388.31058,0.8037771,830.2538,260.23325,0.71873236,796.50055,118.55237,0.9253037
16,876.2727,694.4578,0.7308718,859.8754,549.64746,0.97145516,849.6082,388.46246,0.8002237,830.1631,260.13577,0.7084064,796.4904,118.460556,0.90201765
17,876.4489,694.42535,0.73196864,860.35486,549.64716,0.9375769,849.86896,388.5983,0.81069106,830.4782,260.24716,0.7044975,796.4234,118.45748,0.9155196
