scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,896.359,712.5155,0.55083686,868.1341,571.6235,0.901688,846.8888,411.3065,0.9057445,825.4918,286.21796,0.6926046,790.16437,145.7755,0.94579476
1,896.3658,712.5102,0.55763555,868.12506,571.5816,0.9025654,846.85815,411.18976,0.9008072,825.763,286.2479,0.6852145,790.15173,145.66232,0.9521688
2,896.27344,712.61285,0.54937613,868.08545,571.5767,0.8844795,847.0163,411.12466,0.8937814,825.5262,286.2433,0.705516,790.2484,145.61935,0.9499989
3,896.20465,712.5928,0.5518086,868.05743,571.5881,0.9008797,847.0021,411.13437,0.8942693,825.58295,286.19626,0.7103376,790.2286,145.63234,0.9564293
4,896.1346,712.61456,0.5475284,868.088,571.5119,0.90387726,847.026,411.1372,0.89464027,825.5828,286.24658,0.70251596,790.2803,145.6918,0.9523596
5,896.0613,712.5822,0.5608116,868.0116,571.59644,0.9073375,847.0741,411.12335,0.87825966,825.5207,286.29626,0.6940738,790.2926,145.64433,0.9276298
6,896.12646,712.5924,0.55303806,867.9103,571.7128,0.9100102,847.1722,411.1319,0.87725925,825.57043,286.319,0.69409984,790.25604,145.65216,0.9350698
7,896.0762,712.60065,0.5529616,867.89825,571.54236,0.90820825,846.99365,411.06036,0.8787613,825.5674,286.30383,0.69161314,790.2666,145.69237,0.94351405
8,896.083,712.57935,0.5545338,867.94916,571.36926,0.9149425,846.76965,411.12973,0.86066246,825.54315,286.17792,0.69878674,790.32025,145.67877,0.9609649
9,895.90106,712.56714,0.53610784,867.83307,571.52277,0.8921617,847.02545,411.09442,0.881777,825.3627,286.01385,0.6913888,790.3707,145.68452,0.9809296
10,895.8803,712.5679,0.53237563,867.8394,571.41486,0.88370633,847.03595,411.17773,0.8828574,825.3154,285.96863,0.70249593,790.29926,145.66621,0.96488065
11,895.8652,712.57806,0.53972256,867.80707,571.4841,0.89423597,847.0158,411.07956,0.88340026,825.44006,286.0071,0.69302344,790.28845,145.68654,0.9682441
12,895.88104,712.47906,0.53462565,867.7697,571.4698,0.8878629,846.9188,411.11942,0.87035495,825.66187,286.22,0.67857844,790.3981,145.67355,0.97333586
13,895.89545,712.5243,0.5474436,867.7406,571.4272,0.8994373,847.1136,410.89835,0.8719911,825.2102,286.2265,0.70904726,790.3556,145.81067,0.97725207
14,895.8961,712.5119,0.5398307,867.69617,571.3448,0.89035004,846.8909,410.75504,0.86830217,825.23224,286.2296,0.69771063,790.31195,145.8646,0.9628979
15,895.9144,712.3322,0.5478692,867.8,571.5506,0.8887263,847.1295,411.00577,0.8721837,825.2894,285.99506,0.69501215,790.401,145.6208,0.9559331
16,895.88464,712.495,0.5440436,867.6936,571.54706,0.88287294,847.19775,410.96252,0.8770607,825.5083,286.30762,0.6769882,790.3929,145.98918,0.9788042
17,896.16,712.3926,0.58516103,867.8942,571.53827,0.8935307,847.32794,411.03186,0.86517864,825.41595,286.36514,0.6885686,790.54144,145.7663,0.96541315
