scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,833.5147,1034.5491,0.4259126,804.46136,819.24414,0.7715451,783.4087,656.8843,0.76251745,759.2367,530.20355,0.8970218,740.9597,386.94656,0.90884525
1,833.2884,1034.9731,0.36742535,804.44214,819.1138,0.77364075,783.36365,656.8496,0.7814357,759.10846,529.8618,0.8943962,741.357,387.03696,0.92518944
2,832.82965,1034.7982,0.33508968,804.565,819.2362,0.75963247,783.5174,656.69635,0.78647965,759.23096,529.82117,0.8942308,741.35156,386.92923,0.9129943
3,828.7437,959.62634,0.5466872,803.59247,817.7845,0.70964843,783.31854,657.154,0.82252634,759.2833,529.7524,0.88993347,741.5345,386.78113,0.927689
4,825.46295,957.9393,0.5342595,803.4481,817.3041,0.70321053,783.71344,656.8328,0.80591714,759.32104,529.6599,0.8857151,741.55554,386.78265,0.9298016
5,825.05054,956.69305,0.46350816,802.77344,815.57367,0.78831923,783.30133,656.1885,0.81602997,760.11273,530.231,0.87201554,741.67566,386.73242,0.92461115
6,826.93414,954.0541,0.6381967,802.9538,813.79944,0.84712005,782.66754,655.88434,0.8025099,759.0017,529.4559,0.8724639,741.6294,386.32745,0.92102057
7,828.47577,951.9178,0.83474,803.2976,811.53723,0.8906835,781.9051,655.4114,0.8052087,758.9875,530.17474,0.90641934,740.3213,386.6614,0.9355294
8,835.4656,945.1465,0.5961553,803.82,809.49005,0.9327877,781.3792,655.65314,0.7733422,757.6521,529.2073,0.9128832,740.1999,386.48932,0.933006
9,840.5741,941.25494,0.40774924,804.8931,808.5453,0.96407276,781.17145,655.7622,0.7726273,757.4684,529.3644,0.9259693,739.73224,386.97977,0.93889266
10,840.7286,940.6769,0.41911983,805.0726,807.9021,0.9362556,781.0353,655.9671,0.7344853,757.3612,529.4155,0.93461376,739.4288,386.82507,0.91608953
11,838.5855,940.7651,0.5289683,805.3853,807.4124,0.9207064,780.8144,655.9298,0.7802924,758.5985,529.93494,0.9059918,739.85114,386.5998,0.9331487
12,832.84845,944.42694,0.55317825,803.4667,808.6359,0.87985605,781.31055,655.8594,0.79196906,759.0197,529.9628,0.9025849,740.3652,386.44598,0.9593314
13,825.4902,948.09906,0.4601898,802.3474,810.3658,0.8412444,781.1817,656.0387,0.8123636,759.1912,530.0177,0.90412337,740.7936,386.61188,0.93033385
14,819.39307,956.1916,0.39300913,802.21106,814.15106,0.77816504,782.2178,656.1735,0.78101814,759.1881,530.02,0.8965735,740.89636,386.77225,0.9237533
15,820.2249,957.2738,0.31620353,802.2303,815.943,0.75242615,782.50146,656.3744,0.80361474,759.3366,530.0557,0.8994784,741.2199,386.4068,0.9392566
16,823.023,957.9778,0.39604712,802.57855,817.18744,0.7111584,782.5679,656.17334,0.802886,759.55975,530.04486,0.9081359,741.22565,386.33453,0.9461822
17,825.6526,958.6856,0.48459592,803.5457,817.81036,0.74018073,782.7653,655.969,0.8139656,759.4299,530.0406,0.8985131,741.1347,386.27835,0.9360648
