timestamp,euler1,euler2
151400806471,"(0.77813720703125, 0.08892822265625, 0.62176513671875, -0.0078125)","(0.0, 0.0, 0.0, 0.0)"
151400819117,"(0.77801513671875, 0.089111328125, 0.621826171875, -0.00811767578125)","(0.0, 0.0, 0.0, 0.0)"
151400829891,"(0.77777099609375, 0.089111328125, 0.6221923828125, -0.00823974609375)","(0.0, 0.0, 0.0, 0.0)"
151400841934,"(0.777587890625, 0.08941650390625, 0.62237548828125, -0.0081787109375)","(0.0, 0.0, 0.0, 0.0)"
151400853491,"(0.77667236328125, 0.0897216796875, 0.62335205078125, -0.00897216796875)","(0.0, 0.0, 0.0, 0.0)"
151400864561,"(0.7763671875, 0.09027099609375, 0.62371826171875, -0.0087890625)","(1.0, -0.0028076171875, 0.00067138671875, -0.0008544921875)"
151400874927,"(0.77642822265625, 0.090576171875, 0.62359619140625, -0.00848388671875)","(1.0, -0.00299072265625, 0.0006103515625, -0.0009765625)"
151400884520,"(0.7767333984375, 0.09051513671875, 0.62322998046875, -0.008544921875)","(1.0, -0.00299072265625, 0.0008544921875, -0.00128173828125)"
151400894697,"(0.77679443359375, 0.09051513671875, 0.6231689453125, -0.00872802734375)","(1.0, -0.00299072265625, 0.00079345703125, -0.00140380859375)"
151400905471,"(0.77679443359375, 0.0904541015625, 0.6231689453125, -0.00885009765625)","(1.0, -0.00299072265625, 0.00079345703125, -0.00140380859375)"
151400915341,"(0.77685546875, 0.09075927734375, 0.623046875, -0.00909423828125)","(0.65509033203125, -0.1109619140625, 0.747314453125, 0.0008544921875)"
151400922507,"(0.77685546875, 0.09075927734375, 0.623046875, -0.00909423828125)","(0.6551513671875, -0.11114501953125, 0.747314453125, 0.00103759765625)"
151400928081,"(0.7764892578125, 0.091064453125, 0.6234130859375, -0.00921630859375)","(0.6551513671875, -0.11114501953125, 0.747314453125, 0.00103759765625)"
151400935160,"(0.7762451171875, 0.09130859375, 0.6236572265625, -0.00927734375)","(0.65509033203125, -0.111328125, 0.747314453125, 0.00146484375)"
151400941775,"(0.7762451171875, 0.09130859375, 0.6236572265625, -0.00927734375)","(0.6551513671875, -0.111328125, 0.74725341796875, 0.00140380859375)"
151400948482,"(0.7762451171875, 0.091796875, 0.6236572265625, -0.0091552734375)","(0.6551513671875, -0.111328125, 0.74725341796875, 0.00140380859375)"
151400956406,"(0.7762451171875, 0.091552734375, 0.6236572265625, -0.00897216796875)","(0.65533447265625, -0.11138916015625, 0.7470703125, 0.00115966796875)"
151400963768,"(0.7762451171875, 0.091552734375, 0.6236572265625, -0.00897216796875)","(0.65557861328125, -0.1112060546875, 0.74688720703125, 0.0010986328125)"
151400969246,"(0.77630615234375, 0.09124755859375, 0.6236572265625, -0.00885009765625)","(0.65557861328125, -0.1112060546875, 0.74688720703125, 0.0010986328125)"
151400976384,"(0.77655029296875, 0.09136962890625, 0.62335205078125, -0.00872802734375)","(0.65582275390625, -0.11102294921875, 0.7467041015625, 0.0009765625)"
151400982706,"(0.77655029296875, 0.09136962890625, 0.62335205078125, -0.00872802734375)","(0.65570068359375, -0.11102294921875, 0.746826171875, 0.000732421875)"
151400989323,"(0.7767333984375, 0.09161376953125, 0.623046875, -0.0086669921875)","(0.65570068359375, -0.11102294921875, 0.746826171875, 0.000732421875)"
151400997334,"(0.77679443359375, 0.09149169921875, 0.62298583984375, -0.008056640625)","(0.656005859375, -0.11126708984375, 0.74652099609375, 0.00048828125)"
151401003033,"(0.77679443359375, 0.0911865234375, 0.62310791015625, -0.00738525390625)","(0.65643310546875, -0.11138916015625, 0.74609375, 0.000732421875)"
151401010594,"(0.77679443359375, 0.0911865234375, 0.62310791015625, -0.00738525390625)","(0.65643310546875, -0.11138916015625, 0.74609375, 0.000732421875)"
151401017811,"(0.77679443359375, 0.09130859375, 0.62310791015625, -0.00714111328125)","(0.6641845703125, -0.11138916015625, 0.74615478515625, 0.000732421875)"
151401027148,"(0.7769775390625, 0.09136962890625, 0.62286376953125, -0.007080078125)","(0.656494140625, -0.11138916015625, 0.74609375, 0.000732421875)"
151401037646,"(0.7769775390625, 0.09149169921875, 0.62286376953125, -0.0069580078125)","(0.65673828125, -0.111083984375, 0.74591064453125, 0.00103759765625)"
151401045523,"(0.777099609375, 0.09130859375, 0.6226806640625, -0.00689697265625)","(0.6566162109375, -0.11077880859375, 0.74603271484375, 0.00146484375)"
151401049902,"(0.777099609375, 0.09130859375, 0.6226806640625, -0.00689697265625)","(0.6644287109375, -0.11077880859375, 0.74603271484375, 0.00146484375)"
151401057705,"(0.777099609375, 0.09149169921875, 0.6226806640625, -0.00689697265625)","(0.66436767578125, -0.1109619140625, 0.74609375, 0.0013427734375)"
151401065066,"(0.7772216796875, 0.09197998046875, 0.6224365234375, -0.00701904296875)","(0.6563720703125, -0.1112060546875, 0.7462158203125, 0.0010986328125)"
151401071586,"(0.7772216796875, 0.09197998046875, 0.6224365234375, -0.00701904296875)","(0.6641845703125, -0.11114501953125, 0.7462158203125, 0.00079345703125)"
151401078742,"(0.77734375, 0.09246826171875, 0.6221923828125, -0.00714111328125)","(0.6641845703125, -0.11114501953125, 0.7462158203125, 0.00079345703125)"
