scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,848.1918,929.0082,0.5727485,821.64575,789.10266,0.84078777,802.23157,625.2471,0.78549033,782.51764,499.16083,0.8327469,756.1138,357.68658,0.9675258
1,850.94464,929.56696,0.5802683,822.80615,790.50134,0.8675051,802.77264,626.8945,0.8126655,782.78046,500.26352,0.8930916,756.16766,357.81726,0.9475164
2,854.9682,928.7059,0.43733257,823.86346,791.458,0.88340676,802.67865,627.1577,0.83795714,782.4532,500.32877,0.8574499,755.93225,358.30765,0.92479974
3,853.57495,929.82477,0.66734874,824.25323,791.4098,0.88473886,802.738,627.00226,0.8387559,783.11975,500.09344,0.897193,756.4912,358.2812,0.95050627
4,852.42676,930.00867,0.5506557,824.24646,791.4226,0.8829508,803.72974,627.09094,0.8477309,783.5005,500.2686,0.9043203,756.93585,358.46042,0.947237
5,851.0949,930.5233,0.60088295,824.4582,790.7905,0.8760354,803.4617,627.165,0.84765965,783.4716,500.31094,0.89877194,756.85065,358.4882,0.9360145
6,851.05975,930.8698,0.5752401,824.69104,791.121,0.9254267,803.2907,627.37756,0.8396485,783.50903,500.39404,0.8938146,756.8811,358.5669,0.9376721
7,850.9274,930.815,0.5779562,824.8069,792.27106,0.9397424,803.2069,627.9358,0.8411942,783.5324,500.83023,0.9099873,756.76025,358.85284,0.92320627
8,851.1951,931.054,0.5758334,824.8134,792.23474,0.94350374,803.59644,628.1676,0.84365934,783.5683,500.9824,0.8872831,756.814,358.81076,0.9412822
9,851.6525,931.1183,0.6175601,824.84875,792.50916,0.9336384,803.5473,628.6411,0.8369791,783.9932,501.60754,0.8439002,756.7204,359.03787,0.9343638
10,852.9323,930.7023,0.4700463,825.06366,792.8139,0.93275625,803.51935,629.29254,0.83467984,784.3535,501.63544,0.8566802,756.7744,359.2362,0.9093524
11,853.61115,930.9447,0.51931155,825.4703,793.271,0.8871962,803.56256,629.48724,0.83716214,784.61505,501.82327,0.8605573,756.72754,359.47067,0.92767876
12,854.20276,931.2579,0.3995683,825.86914,793.9379,0.9352108,803.53125,629.9072,0.8469961,784.1932,502.43054,0.85744756,756.84766,360.06897,0.9108851
13,853.8558,931.2999,0.37283516,826.0677,794.125,0.9320497,803.8613,629.8379,0.8593225,784.8523,502.61868,0.882746,757.23517,359.6326,0.9553776
14,853.77924,931.36743,0.41202968,825.8688,794.13574,0.9102885,804.0629,629.8117,0.86670786,785.1818,502.5981,0.8650872,757.79474,359.6808,0.9551043
15,853.75757,931.61456,0.45802987,825.8257,794.0684,0.9035168,804.3826,629.7821,0.84554935,785.296,502.6113,0.8842223,758.35333,359.53226,0.951805
16,853.6234,931.68164,0.4738039,825.77515,794.275,0.9070925,804.4642,629.7551,0.84432966,785.5289,502.68927,0.8799949,758.2319,359.39346,0.92882
17,853.77814,931.80774,0.4830207,825.81335,794.32947,0.8811472,804.45325,629.6352,0.84920335,785.9659,502.31314,0.9119227,759.0794,359.1819,0.8961706
