timestamp,euler1,euler2
151459123513,"(0.76055908203125, 0.099853515625, 0.6414794921875, 6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
151459134111,"(0.76055908203125, 0.09967041015625, 0.6416015625, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
151459144173,"(0.7603759765625, 0.0997314453125, 0.64178466796875, 0.0010986328125)","(0.0, 0.0, 0.0, 0.0)"
151459155195,"(0.7603759765625, 0.0999755859375, 0.64178466796875, 0.00103759765625)","(0.0, 0.0, 0.0, 0.0)"
151459166602,"(0.76080322265625, 0.09979248046875, 0.64129638671875, 0.001220703125)","(0.0078125, 0.0, 0.0, 0.0)"
151459175055,"(0.76116943359375, 0.09954833984375, 0.640869140625, 0.00146484375)","(0.0078125, 0.0, 0.0, 0.0)"
151459182470,"(0.76153564453125, 0.09930419921875, 0.64044189453125, 0.00152587890625)","(1.0078125, 0.00244140625, 0.00067138671875, -0.00384521484375)"
151459191094,"(0.76190185546875, 0.09906005859375, 0.64007568359375, 0.00177001953125)","(1.0078125, 0.0023193359375, 0.00048828125, -0.004638671875)"
151459200071,"(0.76190185546875, 0.09906005859375, 0.64007568359375, 0.00177001953125)","(1.0078125, 0.00189208984375, 0.00048828125, -0.00543212890625)"
151459210400,"(0.76116943359375, 0.09893798828125, 0.64093017578125, 0.00213623046875)","(1.0078125, 0.00115966796875, 0.0008544921875, -0.0064697265625)"
151459220398,"(0.76116943359375, 0.09893798828125, 0.64093017578125, 0.00213623046875)","(1.0078125, 0.0008544921875, 0.0015869140625, -0.007080078125)"
151459230236,"(0.76080322265625, 0.099365234375, 0.641357421875, 0.002197265625)","(1.0078125, 0.00042724609375, 0.001953125, -0.0074462890625)"
151459237211,"(0.76055908203125, 0.09954833984375, 0.6416015625, 0.0020751953125)","(0.99993896484375, 0.0001220703125, 0.001953125, -0.00787353515625)"
151459244538,"(0.7607421875, 0.0994873046875, 0.641357421875, 0.00225830078125)","(0.99993896484375, 0.0001220703125, 0.001953125, -0.00787353515625)"
151459253125,"(0.7606201171875, 0.099853515625, 0.6414794921875, 0.00250244140625)","(0.99993896484375, 0.0, 0.00238037109375, -0.00830078125)"
151459261256,"(0.7607421875, 0.10040283203125, 0.6412353515625, 0.002685546875)","(0.99993896484375, -0.00018310546875, 0.00286865234375, -0.0081787109375)"
151459267590,"(0.7607421875, 0.10040283203125, 0.6412353515625, 0.002685546875)","(0.99993896484375, 6.103515625e-05, 0.00311279296875, -0.0081787109375)"
151459274890,"(0.76080322265625, 0.10040283203125, 0.64117431640625, 0.002197265625)","(0.99993896484375, 6.103515625e-05, 0.00311279296875, -0.0081787109375)"
151459281361,"(0.76080322265625, 0.10040283203125, 0.64117431640625, 0.002197265625)","(0.6356201171875, -0.14276123046875, 0.7586669921875, -0.0059814453125)"
151459287159,"(0.76123046875, 0.10052490234375, 0.640625, 0.0023193359375)","(0.6356201171875, -0.14276123046875, 0.7586669921875, -0.0059814453125)"
151459293730,"(0.76165771484375, 0.1007080078125, 0.64013671875, 0.00213623046875)","(0.63592529296875, -0.142578125, 0.7584228515625, -0.00616455078125)"
151459299879,"(0.76165771484375, 0.1007080078125, 0.64013671875, 0.00213623046875)","(0.6358642578125, -0.14215087890625, 0.758544921875, -0.00665283203125)"
151459306899,"(0.761962890625, 0.1004638671875, 0.6397705078125, 0.00152587890625)","(0.6358642578125, -0.14215087890625, 0.758544921875, -0.00665283203125)"
151459314367,"(0.76220703125, 0.10009765625, 0.6395263671875, 0.001220703125)","(0.63580322265625, -0.14190673828125, 0.7586669921875, -0.00726318359375)"
151459319849,"(0.76220703125, 0.10009765625, 0.6395263671875, 0.001220703125)","(0.6357421875, -0.1419677734375, 0.75872802734375, -0.0074462890625)"
151459326754,"(0.76239013671875, 0.09979248046875, 0.639404296875, 0.00091552734375)","(0.6357421875, -0.1419677734375, 0.75872802734375, -0.0074462890625)"
151459334433,"(0.7623291015625, 0.0999755859375, 0.639404296875, 0.00079345703125)","(0.63592529296875, -0.14202880859375, 0.758544921875, -0.007568359375)"
151459341462,"(0.7623291015625, 0.0999755859375, 0.639404296875, 0.00079345703125)","(0.6361083984375, -0.1419677734375, 0.7584228515625, -0.00689697265625)"
151459346734,"(0.7623291015625, 0.10028076171875, 0.639404296875, 0.00067138671875)","(0.6361083984375, -0.1419677734375, 0.7584228515625, -0.00689697265625)"
151459354215,"(0.762451171875, 0.10015869140625, 0.63922119140625, 0.00079345703125)","(0.636474609375, -0.14190673828125, 0.75811767578125, -0.00665283203125)"
151459359373,"(0.762451171875, 0.10015869140625, 0.63922119140625, 0.00079345703125)","(0.63653564453125, -0.14208984375, 0.758056640625, -0.00689697265625)"
151459366941,"(0.7628173828125, 0.100341796875, 0.6387939453125, 0.00091552734375)","(0.63653564453125, -0.14208984375, 0.758056640625, -0.00689697265625)"
151459374575,"(0.7630615234375, 0.10089111328125, 0.63836669921875, 0.00103759765625)","(0.6365966796875, -0.14190673828125, 0.75799560546875, -0.00665283203125)"
151459380814,"(0.7630615234375, 0.10089111328125, 0.63836669921875, 0.00103759765625)","(0.6368408203125, -0.141845703125, 0.7578125, -0.00634765625)"
151459386784,"(0.76312255859375, 0.10125732421875, 0.63824462890625, 0.0013427734375)","(0.6368408203125, -0.141845703125, 0.7578125, -0.00634765625)"
151459393753,"(0.76300048828125, 0.10150146484375, 0.63836669921875, 0.0013427734375)","(0.63671875, -0.14202880859375, 0.75787353515625, -0.0067138671875)"
151459399387,"(0.76300048828125, 0.10150146484375, 0.63836669921875, 0.0013427734375)","(0.63641357421875, -0.14227294921875, 0.758056640625, -0.00726318359375)"
151459406942,"(0.762939453125, 0.10150146484375, 0.638427734375, 0.00115966796875)","(0.63641357421875, -0.14227294921875, 0.758056640625, -0.00726318359375)"
151459414565,"(0.762939453125, 0.10162353515625, 0.638427734375, 0.00067138671875)","(0.636474609375, -0.14239501953125, 0.75799560546875, -0.007568359375)"
151459420283,"(0.762939453125, 0.10162353515625, 0.638427734375, 0.00067138671875)","(0.63653564453125, -0.14263916015625, 0.75787353515625, -0.0079345703125)"
151459428125,"(0.7630615234375, 0.10198974609375, 0.63824462890625, 0.00067138671875)","(0.63653564453125, -0.14263916015625, 0.75787353515625, -0.0079345703125)"
151459435044,"(0.76318359375, 0.1019287109375, 0.63812255859375, 0.0008544921875)","(0.6363525390625, -0.14312744140625, 0.75799560546875, -0.00848388671875)"
151459441638,"(0.76318359375, 0.1019287109375, 0.63812255859375, 0.0008544921875)","(0.63671875, -0.14312744140625, 0.7576904296875, -0.00836181640625)"
151459448136,"(0.7628173828125, 0.10235595703125, 0.63848876953125, 0.00091552734375)","(0.63671875, -0.14312744140625, 0.7576904296875, -0.00836181640625)"
