scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,818.0892,912.7907,0.5345079,796.66614,771.3487,0.86607707,776.7261,610.0929,0.83979464,756.8231,489.7546,0.98161894,736.52625,348.49667,0.76965564
1,819.24805,913.1453,0.46389863,797.7018,772.34045,0.8822209,776.59827,611.5129,0.8861391,756.2817,490.1852,0.98855776,735.16174,349.2623,0.7724936
2,819.895,913.9913,0.485668,798.8551,773.5135,0.8936331,776.48566,612.3168,0.90551865,756.0334,491.2425,0.9789825,734.4054,349.6546,0.80278146
3,819.7481,913.31226,0.5312829,798.7053,772.9767,0.907963,776.83856,611.55817,0.89740324,756.29083,490.4542,0.98373353,735.04846,349.44373,0.79875296
4,818.9034,913.30176,0.54609656,798.20386,771.94165,0.8612148,777.99225,610.3488,0.8520917,757.4477,489.45172,0.9612835,736.669,348.49557,0.7493526
5,818.88153,913.23285,0.58527243,798.09174,771.7644,0.85937935,777.77045,610.52454,0.8631437,757.93506,489.33496,0.9563717,737.62994,347.9947,0.7077021
6,818.95404,913.17505,0.5153646,798.0182,771.44507,0.8797481,777.78735,610.51483,0.86346203,757.9512,489.32413,0.9568107,737.63434,348.3791,0.71962416
7,819.0642,913.32886,0.52895033,798.19855,771.8438,0.87149686,777.7943,610.4226,0.8630381,757.73785,489.4301,0.96805024,737.30896,348.29248,0.7230514
8,819.4912,913.15393,0.5856796,798.3375,772.1694,0.8610768,777.7741,610.5085,0.8698574,757.6165,489.61478,0.9960336,737.19495,348.5303,0.72088796
9,819.91364,912.8956,0.5541471,798.32623,772.1406,0.8557924,777.1787,610.46967,0.86634177,757.51697,489.62802,0.9804084,737.4601,348.53207,0.72481126
10,820.2147,912.62836,0.5140561,798.33276,772.14484,0.84847075,777.63885,610.60315,0.8726943,757.5168,489.56693,0.9830968,737.48096,348.5068,0.72406995
11,820.22925,912.65656,0.5641353,798.2426,771.75635,0.863008,777.2733,609.9909,0.85346663,758.02106,488.8554,0.96240747,738.1533,347.5786,0.72059
12,819.6296,912.55536,0.5271185,798.13513,771.3699,0.89141303,778.0651,609.98773,0.83340263,758.1184,488.57736,0.9705861,738.666,347.31485,0.74123544
13,819.5294,912.28284,0.539402,798.0657,771.40063,0.90165514,778.0778,609.97205,0.82487595,758.43616,488.50803,0.9685839,738.7253,347.42767,0.73098683
14,819.5798,912.268,0.56381154,797.93585,771.37445,0.89921796,778.0976,610.00806,0.81662273,758.4353,488.4067,0.9554836,738.7183,347.41122,0.7132183
15,819.943,912.01154,0.545692,797.8817,771.3758,0.8799271,778.1305,610.25726,0.8304529,758.17725,488.8641,0.9602768,738.1728,347.99802,0.73932165
16,819.9461,912.0203,0.5489868,797.81586,771.4179,0.9154993,778.05206,610.2158,0.83012927,758.0136,488.96564,0.94566447,737.9918,348.1206,0.70678645
17,819.9848,912.1348,0.54276997,797.756,771.4402,0.9189319,778.14984,610.3731,0.8502484,758.0182,489.0185,0.9481877,738.0847,347.9494,0.7270075
