scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,105.6977,1182.1398,0.42794108,1515.4435,445.26923,0.05659946,3.7334757,1183.7682,0.23129234,1397.1064,1189.124,0.097661234,354.24976,1187.39,0.06977401
1,105.95791,1181.6722,0.4217089,1515.3988,445.38037,0.08125309,5.0553923,1183.609,0.21263663,1396.2103,1188.9993,0.108987086,1389.5089,1182.5186,0.07914788
2,106.01757,1181.7303,0.45031166,1515.3402,445.35318,0.08001382,4.020864,1183.9603,0.23563325,1396.5377,1189.0221,0.11101839,1389.6923,1182.3768,0.07385639
3,105.71938,1181.9265,0.45975322,1515.2434,445.35992,0.0796211,3.6982622,1182.6459,0.21326831,1396.0394,1188.4672,0.113177516,1389.7845,1182.3549,0.07891633
4,105.965614,1181.5867,0.4229821,4.2296963,1189.1553,0.061719503,3.971633,1182.6819,0.21304704,1396.236,1188.7251,0.12464822,354.2966,1187.453,0.06873374
5,106.68038,1181.373,0.34785917,1389.1394,1187.2164,0.08989988,4.824404,1183.6592,0.2049497,1394.9352,1188.8364,0.1001355,1389.3837,1183.0878,0.09434735
6,106.94441,1181.399,0.3670463,1389.6282,1187.2909,0.079794355,3.539217,1183.6248,0.2343056,1395.6783,1188.8363,0.10477346,1389.5552,1182.8688,0.08243745
7,106.71189,1181.8356,0.47011274,1389.4833,1187.2891,0.06872537,3.076912,1183.7288,0.22858669,1395.6337,1188.9075,0.10396959,1389.4894,1182.8921,0.07105579
8,107.25649,1182.0988,0.50269985,1388.5065,1189.5974,0.08063274,3.4396906,1184.2937,0.22283284,1395.823,1189.237,0.11003474,1389.3596,1182.9056,0.06935553
9,106.432396,1181.2887,0.5927332,1389.3344,1187.3674,0.07591521,3.9100885,1183.7273,0.22306293,1396.1705,1188.4332,0.11046117,1565.6199,1180.7168,0.05975488
10,106.69606,1181.3644,0.6297462,1389.42,1187.1609,0.079186186,4.635957,1184.1647,0.19632003,104.504944,1177.1418,0.10510288,1389.6761,1182.7699,0.07133515
11,106.48257,1181.4464,0.65742886,1389.516,1187.1724,0.10217306,4.004355,1184.0454,0.19626585,1395.0573,1187.6438,0.10044997,1389.6382,1183.2394,0.09492203
12,107.2733,1181.0702,0.55898535,6.1071367,1184.0758,0.10046908,5.0639586,1183.4426,0.171054,105.36729,1177.2848,0.15198569,1389.677,1182.6622,0.060818065
13,107.73777,1180.9163,0.45547247,111.90366,1173.0072,0.07394147,4.1681366,1183.6333,0.21283038,105.9639,1177.496,0.16862008,5.8406224,1190.3878,0.05510736
14,107.685814,1180.5442,0.4241928,6.068975,1187.2352,0.09268377,4.732985,1183.0554,0.19629878,106.01427,1177.6528,0.19036025,11.762777,1191.3523,0.058251172
15,107.66686,1180.9453,0.47258693,112.00057,1172.8066,0.069763355,3.677291,1183.5961,0.21243098,105.832085,1177.3525,0.16014078,1156.3809,40.672707,0.04895263
