scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1012.58093,638.2493,0.60140234,896.3968,559.1904,0.7845085,865.34644,413.95312,0.78062445,827.45,302.50696,0.83896166,762.05505,175.31096,0.70150054
1,1012.49036,638.3732,0.57550097,896.35443,559.06244,0.8142427,865.3609,413.8407,0.78039545,827.5158,302.78165,0.85964847,762.0421,175.32982,0.6903144
2,1012.5365,638.27454,0.5626754,896.33636,559.17224,0.81750727,865.39905,413.8147,0.789923,827.5111,302.76358,0.8559262,762.0599,175.41147,0.714031
3,1012.49066,638.5015,0.59951437,896.4223,559.1875,0.81200194,865.3381,413.76083,0.78259367,827.30536,302.6145,0.85375965,761.9027,175.28178,0.71287835
4,1012.54,638.4439,0.60305846,896.4087,559.19653,0.8170726,865.32654,413.73526,0.783025,827.34753,302.5878,0.8602284,761.82263,175.2314,0.7128399
5,1012.5132,638.33356,0.5754749,896.2374,559.2399,0.8016489,864.9372,413.93823,0.76261103,827.3818,302.5168,0.85961676,761.9575,175.4114,0.729143
6,1012.4431,638.34326,0.5799428,896.4969,559.18274,0.80747694,864.8471,413.95728,0.7552152,827.33954,302.53116,0.8520681,761.8219,175.24669,0.7148277
7,1012.5089,638.4189,0.59530157,896.3902,559.23535,0.80106,864.9671,413.91843,0.77327347,827.32605,302.59543,0.8583063,761.84125,175.2527,0.70990014
8,1012.5931,638.52673,0.5928814,896.23914,559.30585,0.79241514,864.8204,413.84354,0.77065927,827.40045,302.4471,0.8704523,761.7817,175.334,0.72970617
9,1012.80365,638.1546,0.59291065,896.3001,559.2237,0.82130426,864.8412,413.69702,0.76790607,827.35223,302.5954,0.8478805,761.87134,175.13757,0.691244
10,1012.5678,638.3908,0.5838512,896.3126,559.2341,0.834271,864.86224,413.75446,0.76579547,827.4662,302.6287,0.8385783,761.82935,175.11282,0.69948584
11,1012.84564,638.15027,0.5940196,896.3359,559.2223,0.84161544,864.8993,413.81616,0.76916844,827.48035,302.6253,0.84919167,761.69135,175.12357,0.69776535
12,1012.817,638.229,0.60508627,896.39197,559.2791,0.8303196,865.02844,413.80704,0.7732007,827.43524,302.50677,0.8410997,761.59827,175.0704,0.69944525
13,1012.70856,638.3147,0.61608374,896.4267,559.2998,0.8151525,865.05457,413.79877,0.77258587,827.44385,302.59644,0.85164833,761.79126,175.36629,0.72456074
14,1012.58594,638.5234,0.6424706,896.4931,559.32465,0.8234415,865.0782,413.86798,0.7791034,827.4101,302.50635,0.8522351,761.84863,175.32828,0.7392111
15,1012.5427,638.5055,0.64140666,896.58923,559.3314,0.81634164,864.97424,413.7719,0.7809603,827.463,302.59222,0.87823445,761.8286,175.26016,0.73700225
16,1012.52374,638.4859,0.62123215,896.47845,559.3778,0.81611377,864.98175,413.821,0.7835243,827.49445,302.5611,0.86171335,761.78986,175.19392,0.7606254
17,1012.58997,638.4633,0.59847504,896.6188,559.3203,0.7937938,865.0836,413.94092,0.7775814,827.38104,302.5116,0.8330822,761.77545,174.93587,0.75003797
