scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,930.80066,764.132,0.47816646,899.27155,539.4626,0.81269425,872.2015,387.14194,0.7381359,836.5896,273.40845,0.9589544,801.0037,136.346,0.5729359
1,930.6504,763.7063,0.4654955,899.2806,539.5311,0.8112627,872.17725,387.00803,0.72186935,836.58295,273.4928,0.9730682,800.8691,136.29681,0.57982326
2,930.6763,763.21027,0.46238047,899.2571,539.5872,0.8168761,872.0078,386.94366,0.7132818,836.66455,273.5181,0.9758386,800.9827,136.33478,0.5778002
3,930.8564,763.6662,0.45011008,899.3794,539.6018,0.8122928,872.32556,386.70764,0.7134319,836.6262,273.70236,0.97848254,800.9922,136.07066,0.58074844
4,931.4325,764.93726,0.5006401,899.37085,539.4963,0.8232732,872.2737,386.87784,0.7146815,836.86884,273.88962,0.97681874,800.78015,136.50124,0.591896
5,931.6098,765.49677,0.48794326,899.3245,539.46423,0.78940594,872.4816,386.602,0.71856415,836.7506,273.5998,0.96625733,801.20966,136.13965,0.5566162
6,931.33374,764.7763,0.491848,899.4915,539.31976,0.79585004,872.5774,386.83542,0.7135,836.73224,273.59827,0.96907896,801.158,136.24428,0.5494843
7,931.564,765.15283,0.49378732,899.4379,539.3116,0.80575943,872.22125,386.7806,0.7059659,836.7728,273.43335,0.973438,801.1833,136.33817,0.5391471
8,931.21423,765.6515,0.50063556,899.483,539.1255,0.7847733,872.60284,386.75507,0.7057136,836.6686,273.1823,0.9670265,801.12946,136.14565,0.5467724
9,931.1902,764.87244,0.49106815,899.56946,539.40955,0.8032211,872.2941,386.54965,0.6934391,836.83417,273.48904,1.0,801.0959,136.16937,0.55827755
10,930.87146,764.285,0.49033424,899.6435,539.49786,0.7992321,872.3145,386.67493,0.69402087,836.7464,273.4122,1.0,800.9654,136.27255,0.5560573
11,930.9701,764.34735,0.5013054,899.59735,539.36115,0.79967797,872.2374,386.72195,0.6902328,836.82605,273.42722,1.0,800.7297,136.20554,0.55669093
12,931.0433,765.4012,0.48838678,899.6017,539.2855,0.8164005,872.2254,386.6978,0.68639153,836.87476,273.5621,0.99648875,801.1047,136.02077,0.55809367
13,930.9311,766.3497,0.49720138,899.7057,539.4472,0.81645894,872.3043,386.5385,0.70108885,836.7997,273.48984,0.99841124,801.2342,136.24043,0.5694719
14,931.18353,765.8349,0.49012247,899.67773,539.44196,0.8216521,872.357,386.6124,0.7044577,836.7412,273.60788,0.9949615,801.04333,136.36873,0.56647635
15,931.21655,765.26306,0.5003621,899.6519,539.362,0.81899875,872.4254,386.68582,0.7001399,836.7533,273.6157,0.98441595,801.1579,136.40692,0.55881494
16,930.72095,766.7348,0.4693834,899.55286,539.3217,0.8064939,872.48395,386.663,0.6982093,836.97974,273.60144,0.98050547,801.39496,136.40916,0.5700044
17,930.063,764.7613,0.46549302,899.63007,539.3728,0.8051766,872.4006,386.58878,0.7317298,837.11835,273.44293,0.9868492,801.3812,136.37573,0.56766397
