scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,938.651,681.5595,0.6796441,907.28094,536.793,0.8411018,873.3907,385.65347,0.73206,834.1224,272.86893,0.94246733,797.8321,134.50095,0.5815204
1,938.8211,681.6083,0.6737255,907.25916,536.8897,0.8634974,873.15155,385.54596,0.7248971,833.64105,272.4238,0.9583897,797.78235,134.50438,0.6013447
2,938.76355,681.6761,0.6772948,907.2909,536.9077,0.8648681,873.3125,385.64148,0.72989374,834.1424,273.10693,0.9579896,797.77893,134.3579,0.59184647
3,938.8706,681.7238,0.65737915,907.2869,536.84174,0.8558365,873.19025,385.5759,0.71340185,834.1666,273.15274,0.9630571,797.8319,134.40164,0.5928922
4,938.94257,681.72723,0.6550025,907.2057,536.9467,0.863679,873.21155,385.67667,0.73483217,833.7774,272.49924,0.9743542,797.71967,134.38483,0.58134377
5,938.89557,681.729,0.6634405,907.156,536.9977,0.88406026,872.79425,385.47977,0.72482616,833.5073,272.44498,0.9515298,797.53687,134.25667,0.5952284
6,938.834,681.74664,0.69252795,907.128,537.066,0.87575257,872.5925,385.33685,0.7136737,833.31146,272.47366,0.94024223,797.52026,134.50076,0.59118503
7,938.83966,681.76996,0.72122735,907.1283,537.0584,0.8812105,872.8749,385.39273,0.70881724,833.177,272.50537,0.9398006,797.5525,134.54283,0.5900324
8,938.8319,681.7847,0.7263876,907.0707,537.15204,0.87269586,873.3424,385.59616,0.6962709,833.8678,273.09583,0.95645684,797.5316,134.47348,0.59380007
9,938.94653,681.77386,0.6946284,907.075,537.1456,0.8651911,872.7655,385.55554,0.68990666,833.23517,272.38266,0.93248886,797.4782,134.33328,0.61334926
10,939.0999,681.775,0.68911797,907.1341,537.04663,0.85996413,872.50964,385.543,0.7038491,833.33466,272.39835,0.9463861,797.5458,134.39105,0.6182439
11,939.06366,681.6102,0.67447215,907.1921,537.08466,0.8528328,872.2838,385.79782,0.70323116,833.39453,272.4414,0.95007086,797.5614,134.35364,0.6135107
12,939.0858,681.5837,0.69581246,907.4422,537.2006,0.8370596,872.2298,385.83493,0.7025611,833.4561,272.44574,0.9455793,797.62506,134.4395,0.6145859
13,939.1244,681.84875,0.6993656,907.38605,536.9725,0.8422856,872.20776,385.84152,0.7074555,833.38544,272.45517,0.9575848,797.54956,134.36166,0.6008645
14,939.00543,681.84265,0.7212749,907.3047,536.95984,0.8369143,872.4882,385.73303,0.7077741,833.3045,272.44125,0.941833,797.6405,134.41281,0.6057496
15,939.00854,681.7805,0.70813745,907.2851,536.91595,0.83745974,872.67377,385.75906,0.71579057,833.38904,272.48846,0.9653813,797.5821,134.44232,0.5929595
16,939.0204,681.74115,0.70458573,907.27734,536.8967,0.8326894,872.7062,385.80103,0.6954747,833.3009,272.50772,0.9495271,797.57294,134.29239,0.5878235
17,939.08374,681.8028,0.7068201,907.2631,537.06714,0.843493,872.8191,385.77692,0.69888765,833.8255,273.04736,0.91870743,797.57745,134.39186,0.5857395
