scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,883.4467,871.464,0.67345047,869.78595,730.13586,0.76573414,855.096,567.36707,0.76680386,835.91034,443.0169,0.9471164,802.52655,297.80795,0.55817914
1,882.75995,871.1833,0.6375518,869.4828,729.712,0.7561537,856.151,567.3119,0.73941404,837.0544,442.51035,0.9672785,803.04395,297.82446,0.54671794
2,880.98596,871.8758,0.6497766,869.26904,729.45197,0.75718755,855.80524,566.993,0.753955,837.5743,442.4967,0.9759902,803.4416,297.8842,0.54954576
3,878.10474,869.9852,0.50864655,868.62463,728.451,0.8467184,855.8632,565.9437,0.8224161,838.2091,441.83026,0.9587273,803.8981,297.26602,0.5364554
4,870.4324,867.7922,0.4472954,868.1214,726.1859,0.76200664,855.6583,564.2181,0.77387244,838.7385,440.48105,0.91050786,804.85583,296.2739,0.5679049
5,867.6969,866.92255,0.57854813,866.9607,724.62317,0.69289833,855.7149,564.32806,0.7847227,838.41223,440.5316,0.90191907,804.90564,296.47363,0.5588011
6,867.715,866.706,0.56513506,866.9307,723.9227,0.74484515,855.58105,564.3651,0.781127,838.4301,440.47495,0.89063,804.8917,296.5376,0.5510234
7,867.64825,866.8528,0.5823529,866.74194,723.91736,0.7321339,855.6041,564.33624,0.7752439,838.3761,440.40384,0.89173025,804.9273,296.54,0.5517744
8,868.7965,867.06244,0.56020504,867.2611,724.79626,0.7103821,855.6555,564.81335,0.7728091,838.43463,441.51373,0.9223604,804.59906,297.59186,0.54160357
9,870.99585,867.08655,0.46540874,867.6279,725.20514,0.7183889,855.23517,565.32996,0.76940525,837.81824,441.70535,0.99550474,803.76184,297.3424,0.54462814
10,876.52246,870.09937,0.56847703,868.17914,726.37976,0.8144977,855.0119,565.90466,0.77841455,837.76746,442.23672,1.0,803.3234,297.49948,0.5432212
11,885.21063,870.45337,0.62488616,869.0908,728.78357,0.8278747,855.3748,567.3677,0.7284757,836.44653,442.5794,0.9705606,802.6167,297.39264,0.5385703
12,885.25885,870.2703,0.57783645,869.6734,729.6205,0.8131359,855.4209,567.06134,0.74899054,836.6645,442.30655,0.9641719,802.5817,297.4297,0.53370076
13,884.59485,870.39844,0.55436164,870.5008,729.7782,0.88805956,855.85205,566.7684,0.7559635,837.04895,442.18896,0.9808479,802.7625,297.4789,0.55240196
14,884.8155,870.4883,0.55121803,871.2537,730.42523,0.87583554,856.5,566.4825,0.7681949,837.43713,442.19388,0.97577375,803.05695,297.5162,0.54165953
15,884.8912,870.441,0.5464855,871.26917,730.45435,0.8856368,856.5093,566.47864,0.7572597,837.5155,442.1333,0.9794326,803.16376,297.35892,0.55601484
16,885.1746,870.5216,0.55514735,871.37024,730.4188,0.89123166,856.4674,566.46796,0.761698,837.7358,441.9865,0.9889456,803.3038,297.18152,0.55477726
17,885.0289,870.3136,0.53314745,871.41345,730.47363,0.9093929,856.23285,566.44037,0.7812029,837.4822,442.03452,0.993546,803.29114,297.1806,0.55474705
