scorer,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR5_11_04Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,855.69324,793.36914,0.6708258,832.488,648.7709,0.7991073,805.2436,494.8937,0.81168115,770.9996,381.73538,0.9806426,737.40784,242.59982,0.62383974
1,856.3118,791.348,0.6359564,832.4514,648.33844,0.7399551,805.1727,495.17023,0.8044666,771.1909,381.1291,0.95724726,737.6071,242.40428,0.63630074
2,856.87695,791.0408,0.63916856,832.74225,648.6246,0.7767986,805.5281,494.9654,0.77350014,771.1987,381.02115,0.9831901,737.55774,242.40376,0.63557297
3,857.5299,792.6064,0.6449534,833.1809,648.1956,0.76683724,805.47546,495.0026,0.8027732,771.01917,380.7915,0.9673638,737.7476,242.13927,0.6431437
4,858.496,792.7265,0.7028228,834.26,648.28394,0.78977245,805.61163,495.11383,0.81240594,771.0168,380.7208,0.96179885,737.61896,242.3026,0.61940295
5,858.51166,792.811,0.6975658,834.27155,648.3057,0.7800123,805.8349,495.60745,0.7773075,770.5613,381.04767,0.960294,736.782,243.18681,0.5775336
6,858.51654,792.7304,0.69937176,834.25757,648.2535,0.7843882,805.8437,495.62985,0.802547,770.0945,381.64807,0.95997024,735.76044,243.76584,0.62993926
7,858.5069,792.90015,0.72346467,834.35095,648.36115,0.7626916,806.2625,495.34116,0.8009662,770.2025,381.58032,0.9609895,735.5939,243.67271,0.64280653
8,858.55396,793.00525,0.722966,834.58636,648.6512,0.78985244,806.80414,495.76224,0.7805883,770.33545,381.9303,0.97599983,735.5023,243.66296,0.6407668
9,858.52734,793.3834,0.71290463,834.8553,649.0291,0.82759565,807.8805,495.3383,0.81314725,770.4732,382.3898,1.0,735.499,243.7018,0.63926274
10,858.5565,793.52893,0.7147134,834.8529,649.06757,0.8364526,807.88586,495.23843,0.82409203,770.55597,382.30106,0.9891016,735.4249,243.82344,0.6351121
11,858.4674,793.4165,0.7196806,834.7523,649.1373,0.8543714,807.9796,495.59772,0.79201233,770.978,382.18942,0.97308695,736.01434,243.64948,0.625408
12,855.6087,793.71826,0.68220335,834.8543,649.1469,0.8317387,808.8558,494.69455,0.77728873,772.5961,381.62018,0.9737042,736.8543,243.43921,0.6077196
13,854.55457,793.6828,0.72240543,834.526,649.15356,0.81615627,808.5499,494.2855,0.7779971,772.48444,381.617,0.9673074,737.1738,243.6698,0.60310686
14,853.80927,793.7087,0.7869953,834.3903,649.0757,0.804188,808.4912,494.38373,0.77868617,771.94556,381.87747,0.98727554,737.12537,243.46262,0.59768355
15,853.8101,793.7508,0.7898554,834.1623,649.0365,0.7936709,807.99335,494.52145,0.7579115,771.2303,382.33005,1.0,736.8211,243.80858,0.56351084
16,853.9639,793.7737,0.7914801,834.0742,649.13715,0.7792316,807.8491,494.56567,0.7629969,770.8914,382.33994,1.0,736.3052,243.82764,0.62618613
17,854.0656,793.73895,0.7885903,833.86755,649.12494,0.77305067,807.7072,494.49258,0.7615715,770.50085,382.3839,0.991744,736.0983,243.94768,0.6237842
