timestamp,euler1,euler2
160433321395,"(0.80023193359375, 0.08734130859375, 0.59326171875, 0.00091552734375)","(0.0, 0.0, 0.0, 0.0)"
160433332806,"(0.79986572265625, 0.08746337890625, 0.59375, 0.00030517578125)","(0.0, 0.0, 0.0, 0.0)"
160433342910,"(0.7998046875, 0.08740234375, 0.5938720703125, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
160433352697,"(0.7999267578125, 0.08746337890625, 0.59368896484375, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
160433364680,"(0.80029296875, 0.0870361328125, 0.59326171875, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
160433375131,"(0.8009033203125, 0.08599853515625, 0.592529296875, 0.00048828125)","(1.0, -0.0013427734375, 0.00030517578125, -0.00115966796875)"
160433384391,"(0.801025390625, 0.0860595703125, 0.5924072265625, 0.00091552734375)","(1.0, -0.00146484375, 0.00048828125, -0.00115966796875)"
160433393172,"(0.80120849609375, 0.0860595703125, 0.59210205078125, 0.001220703125)","(1.0, -0.00140380859375, 0.00054931640625, -0.001220703125)"
160433402563,"(0.80096435546875, 0.086669921875, 0.59234619140625, 0.00152587890625)","(1.0, -0.0009765625, 0.00067138671875, -0.00164794921875)"
160433413026,"(0.80108642578125, 0.08685302734375, 0.5921630859375, 0.00189208984375)","(1.0, -0.0006103515625, 0.00091552734375, -0.0020751953125)"
160433423031,"(0.801025390625, 0.08770751953125, 0.5921630859375, 0.00213623046875)","(1.0, -0.0006103515625, 0.00091552734375, -0.0020751953125)"
160433430631,"(0.80120849609375, 0.08740234375, 0.59197998046875, 0.00201416015625)","(1.0, -0.00042724609375, 0.00103759765625, -0.00225830078125)"
160433436308,"(0.80120849609375, 0.08740234375, 0.59197998046875, 0.00201416015625)","(0.60137939453125, -0.01751708984375, 0.79876708984375, -0.00128173828125)"
160433442295,"(0.80133056640625, 0.08709716796875, 0.591796875, 0.00177001953125)","(0.60137939453125, -0.01751708984375, 0.79876708984375, -0.00128173828125)"
160433448775,"(0.8013916015625, 0.0872802734375, 0.59173583984375, 0.00213623046875)","(0.60162353515625, -0.0174560546875, 0.798583984375, -0.0013427734375)"
160433454314,"(0.8013916015625, 0.0872802734375, 0.59173583984375, 0.00213623046875)","(0.60137939453125, -0.017333984375, 0.79876708984375, -0.00128173828125)"
160433462246,"(0.8018798828125, 0.08758544921875, 0.59100341796875, 0.00250244140625)","(0.60137939453125, -0.017333984375, 0.79876708984375, -0.00128173828125)"
160433467730,"(0.8018798828125, 0.08758544921875, 0.59100341796875, 0.00250244140625)","(0.60101318359375, -0.01727294921875, 0.799072265625, -0.001220703125)"
160433474436,"(0.8017578125, 0.0882568359375, 0.591064453125, 0.00244140625)","(0.60101318359375, -0.01727294921875, 0.799072265625, -0.001220703125)"
160433481202,"(0.80194091796875, 0.0880126953125, 0.59088134765625, 0.00244140625)","(0.60064697265625, -0.01751708984375, 0.79931640625, -0.00128173828125)"
160433488053,"(0.80194091796875, 0.0880126953125, 0.59088134765625, 0.00244140625)","(0.60040283203125, -0.017578125, 0.79949951171875, -0.0013427734375)"
160433493240,"(0.80224609375, 0.08795166015625, 0.59051513671875, 0.00262451171875)","(0.60040283203125, -0.017578125, 0.79949951171875, -0.0013427734375)"
160433500685,"(0.8021240234375, 0.08782958984375, 0.59063720703125, 0.0029296875)","(0.60009765625, -0.01788330078125, 0.7996826171875, -0.00146484375)"
160433506327,"(0.8021240234375, 0.08782958984375, 0.59063720703125, 0.0029296875)","(0.60003662109375, -0.0179443359375, 0.7998046875, -0.00146484375)"
160433513562,"(0.8017578125, 0.08819580078125, 0.591064453125, 0.00299072265625)","(0.60003662109375, -0.0179443359375, 0.7998046875, -0.00146484375)"
160433521278,"(0.8018798828125, 0.08782958984375, 0.59100341796875, 0.00238037109375)","(0.60009765625, -0.0179443359375, 0.79974365234375, -0.0018310546875)"
160433528900,"(0.8096923828125, 0.08782958984375, 0.59100341796875, 0.00238037109375)","(0.60797119140625, -0.01824951171875, 0.7996826171875, -0.0023193359375)"
160433535515,"(0.80963134765625, 0.08819580078125, 0.59100341796875, 0.00238037109375)","(0.60015869140625, -0.01824951171875, 0.7996826171875, -0.0023193359375)"
160433543144,"(0.80975341796875, 0.08843994140625, 0.5908203125, 0.00238037109375)","(0.60040283203125, -0.01837158203125, 0.79949951171875, -0.00238037109375)"
160433551747,"(0.80987548828125, 0.0885009765625, 0.59063720703125, 0.0020751953125)","(0.600341796875, -0.018798828125, 0.799560546875, -0.002685546875)"
160433559203,"(0.81011962890625, 0.08807373046875, 0.59033203125, 0.00238037109375)","(0.60809326171875, -0.018798828125, 0.799560546875, -0.00250244140625)"
160433566329,"(0.80230712890625, 0.08807373046875, 0.59033203125, 0.00238037109375)","(0.6080322265625, -0.01873779296875, 0.799560546875, -0.0023193359375)"
160433575458,"(0.81036376953125, 0.087890625, 0.590087890625, 0.0028076171875)","(0.6080322265625, -0.01873779296875, 0.799560546875, -0.0023193359375)"
160433584316,"(0.8104248046875, 0.08709716796875, 0.590087890625, 0.00286865234375)","(0.59991455078125, -0.018798828125, 0.7998046875, -0.002197265625)"
160433592279,"(0.8026123046875, 0.0872802734375, 0.590087890625, 0.0029296875)","(0.60772705078125, -0.01898193359375, 0.7998046875, -0.00201416015625)"
160433602058,"(0.81048583984375, 0.08709716796875, 0.59002685546875, 0.0028076171875)","(0.60797119140625, -0.01922607421875, 0.79962158203125, -0.0015869140625)"
160433609716,"(0.81060791015625, 0.0872802734375, 0.58984375, 0.003173828125)","(0.607666015625, -0.0196533203125, 0.79986572265625, -0.00177001953125)"
160433617460,"(0.80279541015625, 0.0872802734375, 0.58984375, 0.003173828125)","(0.6072998046875, -0.0201416015625, 0.80010986328125, -0.00189208984375)"
160433625401,"(0.810546875, 0.0875244140625, 0.58984375, 0.003173828125)","(0.6072998046875, -0.0201416015625, 0.80010986328125, -0.00189208984375)"
160433633352,"(0.81048583984375, 0.08758544921875, 0.58990478515625, 0.00274658203125)","(0.5994873046875, -0.02056884765625, 0.80010986328125, -0.00189208984375)"
160433641667,"(0.810302734375, 0.08734130859375, 0.5902099609375, 0.00274658203125)","(0.6068115234375, -0.02093505859375, 0.80047607421875, -0.0023193359375)"
160433649872,"(0.80999755859375, 0.08740234375, 0.59063720703125, 0.003173828125)","(0.6063232421875, -0.0208740234375, 0.80084228515625, -0.00262451171875)"
160433656424,"(0.80999755859375, 0.08740234375, 0.59063720703125, 0.003173828125)","(0.60626220703125, -0.0206298828125, 0.8009033203125, -0.0029296875)"
160433665093,"(0.80987548828125, 0.087646484375, 0.59075927734375, 0.00347900390625)","(0.60626220703125, -0.0206298828125, 0.8009033203125, -0.0029296875)"
160433672197,"(0.80950927734375, 0.08721923828125, 0.59130859375, 0.00341796875)","(0.6060791015625, -0.02056884765625, 0.801025390625, -0.00335693359375)"
160433678305,"(0.80950927734375, 0.08721923828125, 0.59130859375, 0.00341796875)","(0.6060791015625, -0.0201416015625, 0.801025390625, -0.00341796875)"
160433685396,"(0.80908203125, 0.08740234375, 0.5919189453125, 0.00323486328125)","(0.5982666015625, -0.0201416015625, 0.801025390625, -0.00341796875)"
160433692672,"(0.80877685546875, 0.08734130859375, 0.59228515625, 0.00311279296875)","(0.6058349609375, -0.019775390625, 0.80120849609375, -0.00384521484375)"
160433698793,"(0.80877685546875, 0.08734130859375, 0.59228515625, 0.00311279296875)","(0.6058349609375, -0.01959228515625, 0.80120849609375, -0.003662109375)"
160433706332,"(0.80859375, 0.0870361328125, 0.59259033203125, 0.003173828125)","(0.6058349609375, -0.01959228515625, 0.80120849609375, -0.003662109375)"
160433714944,"(0.80035400390625, 0.0872802734375, 0.59307861328125, 0.0030517578125)","(0.60546875, -0.019287109375, 0.801513671875, -0.00384521484375)"
160433722597,"(0.80755615234375, 0.08795166015625, 0.5938720703125, 0.00299072265625)","(0.60546875, -0.019287109375, 0.801513671875, -0.004150390625)"
160433729734,"(0.80755615234375, 0.08795166015625, 0.5938720703125, 0.00299072265625)","(0.60565185546875, -0.01898193359375, 0.8013916015625, -0.00408935546875)"
160433736091,"(0.80712890625, 0.08782958984375, 0.594482421875, 0.00238037109375)","(0.60565185546875, -0.01898193359375, 0.8013916015625, -0.00408935546875)"
