scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,809.1267,715.8348,0.91188043,790.37445,573.02435,0.82056415,786.62366,409.75464,0.8721494,774.162,271.76495,0.71596754,751.34314,78.697754,0.897882
1,809.38293,715.97797,0.9263296,790.33844,573.0901,0.82718134,786.60406,409.74088,0.85263395,774.1159,271.80115,0.70709735,751.3002,78.702545,0.8943085
2,809.7072,716.0768,0.9145358,790.31226,573.1171,0.83313525,786.44836,409.7219,0.84872574,774.16077,271.84753,0.70144916,751.40967,78.65927,0.9019565
3,809.6792,716.0668,0.909081,790.3178,573.11017,0.8335073,786.46423,409.73618,0.8522396,774.20044,271.84464,0.70110035,751.40955,78.66402,0.89888126
4,809.70886,716.07874,0.9192739,790.3208,573.1195,0.830512,786.449,409.7672,0.85380834,774.19366,271.82834,0.6969789,751.38904,78.721504,0.91008705
5,809.3337,716.029,0.9389961,790.2682,573.2347,0.8265365,786.46466,409.7776,0.84033746,774.2459,271.8681,0.68461436,751.37427,78.821686,0.91365105
6,809.3267,716.0154,0.93748945,790.28674,573.18835,0.81862885,786.4777,409.76456,0.8547977,774.2352,271.83826,0.68613106,751.31903,78.63327,0.90226203
7,809.0912,715.942,0.9310732,790.3217,573.2454,0.82093847,786.54504,409.77216,0.8581404,774.23517,271.85767,0.6845547,751.356,78.64137,0.90321517
8,808.9653,715.9622,0.9178399,790.3595,573.3021,0.8090023,786.4494,409.77252,0.84404004,774.2675,271.8894,0.674518,751.4149,78.69236,0.9033966
9,809.03674,715.9677,0.9201908,790.2945,573.2881,0.8248492,786.34265,409.80728,0.8370084,774.2693,271.8751,0.68419695,751.37866,78.68424,0.91276735
10,809.1053,715.9242,0.91592205,790.21814,573.2307,0.82153875,786.2396,409.89404,0.8385181,774.3237,271.91074,0.68916273,751.3877,78.697334,0.90761125
11,809.10443,715.89935,0.9253445,790.2375,573.24054,0.8365001,786.4111,409.82678,0.84232223,774.3071,271.8374,0.6882118,751.3781,78.70718,0.90675163
12,809.12317,715.892,0.9236664,790.09045,573.18915,0.8330967,786.6176,409.7722,0.85048497,774.33136,271.77005,0.68906415,751.3424,78.71726,0.90547997
13,809.1579,715.94244,0.9175574,790.1443,573.37476,0.83655894,786.58997,409.75784,0.8450713,774.29016,271.7804,0.68920517,751.31775,78.70249,0.91188663
14,809.15027,715.9229,0.93437845,790.2505,573.36163,0.8408775,786.6166,409.6717,0.83879805,774.35815,271.81992,0.693813,751.3499,78.73855,0.91005176
15,809.0868,715.89465,0.94871145,790.09326,573.51324,0.8536561,786.501,409.67807,0.83437306,774.2832,271.82388,0.69196784,751.46045,78.66249,0.9091703
16,809.1751,715.8721,0.92916286,790.2667,573.609,0.8434721,786.6346,409.80264,0.8407063,774.3695,272.0153,0.67414933,751.46735,78.736435,0.9029211
17,809.09827,715.88715,0.9375363,790.2451,573.3771,0.8479537,786.5177,409.9997,0.83809346,774.28094,271.7489,0.6920315,751.4204,78.69746,0.9043512
