timestamp,euler1,euler2
101736854469,"(0.786376953125, 0.12237548828125, 0.60552978515625, -0.0003662109375)","(0.0, 0.0, 0.0, 0.0)"
101736864929,"(0.78619384765625, 0.12249755859375, 0.605712890625, -0.00042724609375)","(0.0078125, 0.0, 0.0, 0.0)"
101736875374,"(0.79412841796875, 0.12225341796875, 0.60565185546875, -0.00048828125)","(0.0078125, 0.0, 0.0, 0.0)"
101736885723,"(0.78631591796875, 0.122314453125, 0.6055908203125, -0.00091552734375)","(0.0078125, 0.0, 0.0, 0.0)"
101736896232,"(0.794677734375, 0.12255859375, 0.6048583984375, -0.00103759765625)","(0.0078125, 0.0, 0.0, 0.0)"
101736904699,"(0.79486083984375, 0.12225341796875, 0.60467529296875, -0.0013427734375)","(0.0, 0.0, 0.0, 0.0)"
101736913718,"(0.7950439453125, 0.12261962890625, 0.6043701171875, -0.00091552734375)","(1.0, -0.00048828125, -0.00018310546875, 0.00018310546875)"
101736923306,"(0.794677734375, 0.12255859375, 0.60479736328125, -0.00103759765625)","(1.0, -0.00048828125, -0.000244140625, 0.0003662109375)"
101736932991,"(0.7945556640625, 0.12286376953125, 0.60491943359375, -0.0009765625)","(1.0, -0.0006103515625, -6.103515625e-05, 0.00018310546875)"
101736942491,"(0.79461669921875, 0.12347412109375, 0.60467529296875, -0.00067138671875)","(1.0078125, -0.00048828125, 0.00042724609375, -0.0001220703125)"
101736949894,"(0.78680419921875, 0.12347412109375, 0.60467529296875, -0.00067138671875)","(1.0078125, -0.0006103515625, 0.00030517578125, -0.0003662109375)"
101736959003,"(0.79437255859375, 0.12359619140625, 0.60504150390625, -0.000732421875)","(0.697021484375, -0.02020263671875, 0.72430419921875, 0.000244140625)"
101736966579,"(0.79443359375, 0.12322998046875, 0.60498046875, -0.00091552734375)","(0.69708251953125, -0.02056884765625, 0.72418212890625, 0.00030517578125)"
101736975063,"(0.79443359375, 0.1229248046875, 0.6051025390625, -0.00079345703125)","(0.68927001953125, -0.02056884765625, 0.72418212890625, 0.00030517578125)"
101736982242,"(0.79461669921875, 0.122802734375, 0.6048583984375, -0.0009765625)","(0.69708251953125, -0.0206298828125, 0.72418212890625, 0.0001220703125)"
101736989227,"(0.79461669921875, 0.122802734375, 0.6048583984375, -0.0009765625)","(0.69683837890625, -0.02081298828125, 0.72442626953125, -6.103515625e-05)"
101736997359,"(0.7869873046875, 0.1229248046875, 0.6046142578125, -0.00115966796875)","(0.69683837890625, -0.020751953125, 0.7244873046875, 6.103515625e-05)"
101737005915,"(0.7947998046875, 0.12261962890625, 0.6046142578125, -0.001220703125)","(0.69683837890625, -0.020751953125, 0.7244873046875, 6.103515625e-05)"
101737013125,"(0.794677734375, 0.122802734375, 0.60479736328125, -0.00079345703125)","(0.69659423828125, -0.02056884765625, 0.72467041015625, -0.0001220703125)"
101737020266,"(0.794677734375, 0.122802734375, 0.60479736328125, -0.00079345703125)","(0.69659423828125, -0.02056884765625, 0.72467041015625, -0.000244140625)"
101737026240,"(0.79443359375, 0.1229248046875, 0.6051025390625, -0.0008544921875)","(0.68878173828125, -0.02056884765625, 0.72467041015625, -0.000244140625)"
101737034200,"(0.79437255859375, 0.12310791015625, 0.6051025390625, -0.00079345703125)","(0.69659423828125, -0.020751953125, 0.72467041015625, -0.00048828125)"
101737041669,"(0.79437255859375, 0.12310791015625, 0.6051025390625, -0.00079345703125)","(0.6964111328125, -0.0208740234375, 0.724853515625, -0.00079345703125)"
101737048107,"(0.79412841796875, 0.12298583984375, 0.60546875, -0.00079345703125)","(0.69622802734375, -0.0208740234375, 0.72503662109375, -0.001220703125)"
101737056480,"(0.79376220703125, 0.12298583984375, 0.60589599609375, -0.0010986328125)","(0.69622802734375, -0.0208740234375, 0.72503662109375, -0.001220703125)"
101737064798,"(0.79425048828125, 0.122802734375, 0.60528564453125, -0.0010986328125)","(0.69622802734375, -0.021240234375, 0.72503662109375, -0.0015869140625)"
101737071679,"(0.79425048828125, 0.122802734375, 0.60528564453125, -0.0010986328125)","(0.69610595703125, -0.02130126953125, 0.72509765625, -0.001708984375)"
101737078933,"(0.79473876953125, 0.1226806640625, 0.604736328125, -0.00103759765625)","(0.69635009765625, -0.02142333984375, 0.724853515625, -0.0015869140625)"
101737087550,"(0.79486083984375, 0.123291015625, 0.60443115234375, -0.00067138671875)","(0.69635009765625, -0.02142333984375, 0.724853515625, -0.0015869140625)"
101737096045,"(0.7947998046875, 0.1234130859375, 0.6044921875, -0.00079345703125)","(0.68829345703125, -0.02130126953125, 0.72509765625, -0.00201416015625)"
101737104062,"(0.79486083984375, 0.1231689453125, 0.60443115234375, -0.00091552734375)","(0.688232421875, -0.02117919921875, 0.72515869140625, -0.002197265625)"
101737112233,"(0.79486083984375, 0.1231689453125, 0.60443115234375, -0.00091552734375)","(0.69598388671875, -0.021240234375, 0.7252197265625, -0.001953125)"
101737119489,"(0.79498291015625, 0.12353515625, 0.604248046875, -0.00054931640625)","(0.68817138671875, -0.021240234375, 0.7252197265625, -0.001953125)"
101737126580,"(0.79522705078125, 0.1234130859375, 0.60394287109375, -0.00048828125)","(0.6961669921875, -0.0213623046875, 0.72509765625, -0.0018310546875)"
101737135758,"(0.79522705078125, 0.1236572265625, 0.6038818359375, -0.00067138671875)","(0.6884765625, -0.02154541015625, 0.72491455078125, -0.001953125)"
101737143518,"(0.79534912109375, 0.12371826171875, 0.60369873046875, -0.0008544921875)","(0.69659423828125, -0.02178955078125, 0.72467041015625, -0.001708984375)"
101737149463,"(0.79534912109375, 0.12371826171875, 0.60369873046875, -0.0008544921875)","(0.6966552734375, -0.02178955078125, 0.72454833984375, -0.0018310546875)"
101737157850,"(0.79547119140625, 0.12371826171875, 0.60357666015625, -0.00115966796875)","(0.6966552734375, -0.02178955078125, 0.72454833984375, -0.0018310546875)"
101737165830,"(0.7955322265625, 0.12396240234375, 0.60345458984375, -0.00103759765625)","(0.6964111328125, -0.02191162109375, 0.72479248046875, -0.00244140625)"
101737172283,"(0.7877197265625, 0.12396240234375, 0.60345458984375, -0.00103759765625)","(0.68841552734375, -0.021728515625, 0.7249755859375, -0.002685546875)"
101737178455,"(0.78759765625, 0.12432861328125, 0.603515625, -0.001220703125)","(0.68841552734375, -0.021728515625, 0.7249755859375, -0.002685546875)"
101737186235,"(0.787841796875, 0.1241455078125, 0.60321044921875, -0.00152587890625)","(0.6883544921875, -0.02142333984375, 0.72503662109375, -0.00274658203125)"
101737192004,"(0.787841796875, 0.1241455078125, 0.60321044921875, -0.00152587890625)","(0.6883544921875, -0.0213623046875, 0.72503662109375, -0.002685546875)"
101737198680,"(0.78790283203125, 0.124267578125, 0.6031494140625, -0.00177001953125)","(0.6883544921875, -0.0213623046875, 0.72503662109375, -0.002685546875)"
101737206282,"(0.7879638671875, 0.12420654296875, 0.60308837890625, -0.00189208984375)","(0.68829345703125, -0.02154541015625, 0.72515869140625, -0.002685546875)"
101737211690,"(0.7879638671875, 0.12420654296875, 0.60308837890625, -0.00189208984375)","(0.68804931640625, -0.02197265625, 0.725341796875, -0.0030517578125)"
101737217786,"(0.78790283203125, 0.1240234375, 0.6031494140625, -0.0020751953125)","(0.68804931640625, -0.02197265625, 0.725341796875, -0.0030517578125)"
101737224202,"(0.78802490234375, 0.12420654296875, 0.60302734375, -0.002197265625)","(0.68804931640625, -0.02197265625, 0.72528076171875, -0.0028076171875)"
101737229798,"(0.78802490234375, 0.12420654296875, 0.60302734375, -0.002197265625)","(0.68804931640625, -0.02197265625, 0.72528076171875, -0.0028076171875)"
101737238195,"(0.78778076171875, 0.1241455078125, 0.603271484375, -0.00250244140625)","(0.687744140625, -0.02197265625, 0.7255859375, -0.00286865234375)"
101737246050,"(0.7879638671875, 0.1241455078125, 0.60308837890625, -0.0025634765625)","(0.687744140625, -0.02215576171875, 0.7255859375, -0.0032958984375)"
101737251760,"(0.7879638671875, 0.1241455078125, 0.60308837890625, -0.0025634765625)","(0.68768310546875, -0.0223388671875, 0.72564697265625, -0.0035400390625)"
101737258708,"(0.7880859375, 0.124267578125, 0.60284423828125, -0.00244140625)","(0.68768310546875, -0.0223388671875, 0.72564697265625, -0.0035400390625)"
101737264380,"(0.7880859375, 0.12451171875, 0.60284423828125, -0.00262451171875)","(0.68756103515625, -0.0224609375, 0.72576904296875, -0.00360107421875)"
101737270477,"(0.7880859375, 0.12451171875, 0.60284423828125, -0.00262451171875)","(0.69537353515625, -0.0224609375, 0.72576904296875, -0.00360107421875)"
101737277646,"(0.79620361328125, 0.12469482421875, 0.60235595703125, -0.00262451171875)","(0.6954345703125, -0.02252197265625, 0.7257080078125, -0.00347900390625)"
101737285762,"(0.7886962890625, 0.1246337890625, 0.60198974609375, -0.0025634765625)","(0.69561767578125, -0.022705078125, 0.72552490234375, -0.00341796875)"
101737293290,"(0.79681396484375, 0.124267578125, 0.6016845703125, -0.002197265625)","(0.69549560546875, -0.0228271484375, 0.72564697265625, -0.00347900390625)"
101737300360,"(0.78900146484375, 0.124267578125, 0.6016845703125, -0.002197265625)","(0.69537353515625, -0.02294921875, 0.72576904296875, -0.00372314453125)"
101737309446,"(0.78912353515625, 0.12408447265625, 0.6015625, -0.00213623046875)","(0.69537353515625, -0.02294921875, 0.72576904296875, -0.00372314453125)"
101737316445,"(0.78912353515625, 0.1239013671875, 0.6015625, -0.0020751953125)","(0.6873779296875, -0.02288818359375, 0.7259521484375, -0.0037841796875)"
101737322776,"(0.78912353515625, 0.1239013671875, 0.6015625, -0.0020751953125)","(0.68731689453125, -0.0228271484375, 0.72601318359375, -0.00347900390625)"
101737330671,"(0.78936767578125, 0.1234130859375, 0.60137939453125, -0.0020751953125)","(0.687255859375, -0.022705078125, 0.72607421875, -0.00360107421875)"
101737340787,"(0.78973388671875, 0.12353515625, 0.600830078125, -0.0018310546875)","(0.68731689453125, -0.0228271484375, 0.72601318359375, -0.0035400390625)"
101737350187,"(0.7896728515625, 0.12384033203125, 0.60089111328125, -0.00164794921875)","(0.68731689453125, -0.0228271484375, 0.72601318359375, -0.0035400390625)"
101737359966,"(0.78997802734375, 0.123779296875, 0.6004638671875, -0.0018310546875)","(0.68701171875, -0.0228271484375, 0.726318359375, -0.00372314453125)"
101737366558,"(0.7900390625, 0.12384033203125, 0.6004638671875, -0.00177001953125)","(0.686767578125, -0.02276611328125, 0.7265625, -0.00390625)"
101737373656,"(0.7900390625, 0.12384033203125, 0.6004638671875, -0.00177001953125)","(0.6865234375, -0.0225830078125, 0.72674560546875, -0.0042724609375)"
101737381604,"(0.789794921875, 0.1246337890625, 0.60052490234375, -0.00140380859375)","(0.6865234375, -0.0225830078125, 0.72674560546875, -0.0042724609375)"
101737389998,"(0.78961181640625, 0.1248779296875, 0.60076904296875, -0.00103759765625)","(0.6865234375, -0.02227783203125, 0.72674560546875, -0.00421142578125)"
101737399653,"(0.78961181640625, 0.12506103515625, 0.60076904296875, -0.0008544921875)","(0.68658447265625, -0.02252197265625, 0.7266845703125, -0.00433349609375)"
101737407606,"(0.78955078125, 0.12542724609375, 0.6007080078125, -0.0006103515625)","(0.68634033203125, -0.02276611328125, 0.7269287109375, -0.00445556640625)"
101737413685,"(0.78955078125, 0.12542724609375, 0.6007080078125, -0.0006103515625)","(0.68603515625, -0.02294921875, 0.7271728515625, -0.0047607421875)"
101737420442,"(0.78948974609375, 0.12542724609375, 0.600830078125, -0.000732421875)","(0.68603515625, -0.02294921875, 0.7271728515625, -0.0047607421875)"
101737428232,"(0.7894287109375, 0.12542724609375, 0.60089111328125, -0.000732421875)","(0.6861572265625, -0.02349853515625, 0.72705078125, -0.00469970703125)"
101737434220,"(0.7890625, 0.12548828125, 0.60137939453125, -0.00115966796875)","(0.686279296875, -0.0238037109375, 0.7269287109375, -0.0045166015625)"
101737441519,"(0.7890625, 0.12548828125, 0.60137939453125, -0.00115966796875)","(0.686279296875, -0.0238037109375, 0.7269287109375, -0.0045166015625)"
101737450841,"(0.79656982421875, 0.125732421875, 0.6016845703125, -0.00128173828125)","(0.6864013671875, -0.02410888671875, 0.726806640625, -0.00439453125)"
101737458734,"(0.7962646484375, 0.1258544921875, 0.60205078125, -0.001220703125)","(0.68603515625, -0.0242919921875, 0.7271728515625, -0.00457763671875)"
