scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,895.1736,676.5389,0.9553317,878.1707,534.2326,0.9343774,864.40063,373.94284,0.7697009,840.04706,247.08856,0.83593327,779.339,64.57896,0.92235315
1,895.1924,676.5238,0.96240115,878.18365,534.35486,0.91320795,864.4722,374.18256,0.7510898,840.00726,247.41527,0.83416855,779.1788,64.81363,0.8966708
2,895.1645,676.6476,0.9460936,878.19824,534.51575,0.9310117,864.7695,374.1892,0.74494344,840.1011,247.68816,0.81429636,779.35077,64.89736,0.90380013
3,895.17163,676.5216,0.9345145,878.199,534.39465,0.9311606,864.52075,373.92435,0.7338676,839.8667,247.17432,0.83154213,779.2715,64.89766,0.8846944
4,894.9864,676.4893,0.9323824,878.22504,534.8613,0.93049866,864.3522,374.2694,0.7527893,839.8886,247.5906,0.8212514,779.2558,64.99269,0.9303517
5,895.2497,676.3703,0.9258009,878.48505,534.5594,0.9340033,864.43195,374.3076,0.76605535,839.9853,247.36694,0.833598,779.28674,64.67424,0.9439942
6,895.23596,676.3801,0.92215836,878.5414,534.547,0.9380526,864.3461,374.329,0.7750803,839.91504,247.17197,0.8175643,779.27856,64.70785,0.95449656
7,895.1858,676.51984,0.9085399,878.4828,534.834,0.9311223,864.3435,374.24332,0.77103406,839.93823,247.7879,0.80744344,779.29584,64.77055,0.9435553
8,895.09564,676.3965,0.9267917,878.2998,534.5807,0.9421344,864.329,374.13663,0.7695617,839.95325,247.46587,0.8332637,779.1773,64.63602,0.94954664
9,895.2196,676.6076,0.9383354,878.31006,534.564,0.92325073,864.32007,374.0861,0.77002335,840.0034,247.58524,0.82905287,779.33777,64.65853,0.94184554
10,895.4676,676.7692,0.9490994,878.6083,535.1244,0.91754645,864.3303,374.2278,0.7736015,839.96216,247.56392,0.83098394,779.3576,65.13956,0.92724454
11,895.5469,676.7473,0.95494336,878.3412,534.9292,0.9128973,864.3056,374.37546,0.76931983,839.9913,247.59499,0.82275593,779.29395,64.64775,0.930408
12,895.61755,676.9902,0.9576284,878.33405,534.87616,0.8859195,864.3414,374.08224,0.77912647,840.0455,247.62346,0.81787276,779.29364,64.6389,0.94097763
13,895.63934,676.897,0.9683635,878.40283,534.9741,0.89901346,864.3515,374.08514,0.77106345,839.9444,247.68504,0.81990033,779.40155,64.60888,0.9184387
14,895.6939,676.83954,0.9534377,878.4441,535.02405,0.8901568,864.3682,374.0063,0.7742463,839.9708,247.7283,0.8147447,779.4286,64.70904,0.92395663
15,895.64526,676.76044,0.9504336,878.4009,534.99963,0.89486706,864.37415,374.0084,0.7803114,839.9306,247.63268,0.82919794,779.4172,64.79119,0.9202386
16,895.64655,676.65796,0.9421321,878.2378,534.9274,0.88977766,864.35364,374.04483,0.7695972,839.9805,247.58098,0.8471141,779.6398,64.81813,0.9451227
17,895.87506,676.79895,0.95652187,878.3758,534.9999,0.9175515,864.21436,374.24414,0.759587,840.00793,247.66443,0.82702976,779.4012,64.763885,0.92425364
