timestamp,euler1,euler2
110623266522,"(0.7972412109375, 0.1058349609375, 0.59423828125, -0.0078125)","(0.0, 0.0, 0.0, 0.0)"
110623277234,"(0.79718017578125, 0.105712890625, 0.5943603515625, -0.00811767578125)","(0.0, 0.0, 0.0, 0.0)"
110623288875,"(0.79705810546875, 0.10577392578125, 0.59454345703125, -0.00860595703125)","(0.0, 0.0, 0.0, 0.0)"
110623299541,"(0.79705810546875, 0.10565185546875, 0.59454345703125, -0.00872802734375)","(0.0, 0.0, 0.0, 0.0)"
110623311821,"(0.796630859375, 0.1065673828125, 0.59490966796875, -0.0084228515625)","(0.0, 0.0, 0.0, 0.0)"
110623323775,"(0.79638671875, 0.1072998046875, 0.5950927734375, -0.00860595703125)","(1.0, 0.0008544921875, 0.001220703125, -0.00018310546875)"
110623334444,"(0.79681396484375, 0.1072998046875, 0.5946044921875, -0.00872802734375)","(1.0, 0.0008544921875, 0.001220703125, -0.0003662109375)"
110623344826,"(0.79705810546875, 0.107666015625, 0.59417724609375, -0.008056640625)","(1.0, 0.0006103515625, 0.0009765625, -0.00054931640625)"
110623353988,"(0.796875, 0.1082763671875, 0.59429931640625, -0.0074462890625)","(1.0, 0.0003662109375, 0.0008544921875, -0.00054931640625)"
110623359990,"(0.796875, 0.1082763671875, 0.59429931640625, -0.0074462890625)","(1.0, 0.000244140625, 0.00079345703125, -0.00048828125)"
110623367432,"(0.7967529296875, 0.10870361328125, 0.5943603515625, -0.00750732421875)","(1.0, 0.000244140625, 0.00079345703125, -0.00048828125)"
110623374258,"(0.79681396484375, 0.1094970703125, 0.59417724609375, -0.00732421875)","(1.0, 0.000244140625, 0.0010986328125, -0.00048828125)"
110623380682,"(0.79681396484375, 0.1094970703125, 0.59417724609375, -0.00732421875)","(1.0, 0.000244140625, 0.0010986328125, -0.00048828125)"
110623386637,"(0.79656982421875, 0.10992431640625, 0.59442138671875, -0.00738525390625)","(0.72015380859375, -0.04571533203125, 0.6922607421875, -0.0010986328125)"
110623393704,"(0.79656982421875, 0.110107421875, 0.59442138671875, -0.00732421875)","(0.7198486328125, -0.04571533203125, 0.692626953125, -0.00146484375)"
110623400604,"(0.79656982421875, 0.110107421875, 0.59442138671875, -0.00732421875)","(0.72003173828125, -0.0458984375, 0.6923828125, -0.00140380859375)"
110623408273,"(0.79644775390625, 0.110107421875, 0.59454345703125, -0.0074462890625)","(0.72003173828125, -0.0458984375, 0.6923828125, -0.00140380859375)"
110623415972,"(0.7962646484375, 0.11004638671875, 0.59478759765625, -0.0072021484375)","(0.72021484375, -0.0457763671875, 0.69219970703125, -0.00128173828125)"
110623422940,"(0.7962646484375, 0.11004638671875, 0.59478759765625, -0.0072021484375)","(0.7203369140625, -0.0458984375, 0.69207763671875, -0.0013427734375)"
110623428471,"(0.79638671875, 0.11004638671875, 0.59466552734375, -0.00738525390625)","(0.7203369140625, -0.0458984375, 0.69207763671875, -0.0013427734375)"
110623435752,"(0.79608154296875, 0.1102294921875, 0.59503173828125, -0.00787353515625)","(0.7203369140625, -0.0457763671875, 0.69207763671875, -0.00140380859375)"
110623440981,"(0.79608154296875, 0.1102294921875, 0.59503173828125, -0.00787353515625)","(0.72015380859375, -0.04547119140625, 0.69232177734375, -0.001953125)"
110623448452,"(0.79571533203125, 0.11053466796875, 0.59539794921875, -0.00823974609375)","(0.72796630859375, -0.04547119140625, 0.69232177734375, -0.001953125)"
110623457018,"(0.79559326171875, 0.1109619140625, 0.59552001953125, -0.008544921875)","(0.72802734375, -0.0455322265625, 0.6922607421875, -0.001953125)"
110623463601,"(0.79559326171875, 0.1109619140625, 0.59552001953125, -0.008544921875)","(0.72796630859375, -0.0455322265625, 0.69232177734375, -0.001953125)"
