timestamp,euler1,euler2
110722246537,"(0.7872314453125, 0.0916748046875, 0.60980224609375, -0.00299072265625)","(0.0, 0.0, 0.0, 0.0)"
110722256987,"(0.78729248046875, 0.0919189453125, 0.609619140625, -0.0029296875)","(0.0, 0.0, 0.0, 0.0)"
110722267349,"(0.78729248046875, 0.092041015625, 0.60968017578125, -0.00311279296875)","(0.0, 0.0, 0.0, 0.0)"
110722276805,"(0.78717041015625, 0.09234619140625, 0.6097412109375, -0.00335693359375)","(0.0, 0.0, 0.0, 0.0)"
110722286897,"(0.78741455078125, 0.0921630859375, 0.6094970703125, -0.0035400390625)","(0.0, 0.0, 0.0, 0.0)"
110722297416,"(0.78778076171875, 0.09185791015625, 0.6090087890625, -0.00372314453125)","(1.0, 0.00018310546875, 0.00018310546875, -0.000732421875)"
110722307062,"(0.795654296875, 0.0916748046875, 0.60894775390625, -0.00396728515625)","(1.0078125, 0.00018310546875, 0.00018310546875, -0.000732421875)"
110722315611,"(0.79571533203125, 0.0916748046875, 0.60894775390625, -0.00396728515625)","(1.0078125, -0.000244140625, 0.0001220703125, -0.0006103515625)"
110722323503,"(0.79571533203125, 0.09185791015625, 0.60888671875, -0.00408935546875)","(1.0078125, -0.000244140625, 0.0001220703125, -0.0006103515625)"
110722331868,"(0.78790283203125, 0.09185791015625, 0.60888671875, -0.00408935546875)","(1.0078125, -6.103515625e-05, -6.103515625e-05, -0.00067138671875)"
110722340238,"(0.78802490234375, 0.0916748046875, 0.6087646484375, -0.004150390625)","(1.0078125, 0.0001220703125, 6.103515625e-05, -0.0008544921875)"
110722348865,"(0.7957763671875, 0.09136962890625, 0.60888671875, -0.00445556640625)","(1.0, 0.0001220703125, 6.103515625e-05, -0.0008544921875)"
110722356553,"(0.7958984375, 0.09088134765625, 0.60882568359375, -0.0045166015625)","(0.69720458984375, -0.03692626953125, 0.7159423828125, -0.0009765625)"
110722365631,"(0.796142578125, 0.09039306640625, 0.60858154296875, -0.00439453125)","(0.697021484375, -0.03692626953125, 0.716064453125, -0.0013427734375)"
110722373517,"(0.79644775390625, 0.09039306640625, 0.608154296875, -0.004150390625)","(0.697021484375, -0.03729248046875, 0.716064453125, -0.00164794921875)"
110722381733,"(0.78863525390625, 0.09039306640625, -1.391845703125, -0.004150390625)","(0.69720458984375, -0.0372314453125, 0.71588134765625, -0.0018310546875)"
110722389562,"(0.78863525390625, 0.09027099609375, 0.60821533203125, -0.004638671875)","(0.69757080078125, -0.03741455078125, 0.715576171875, -0.0018310546875)"
110722398266,"(0.79638671875, 0.090087890625, 0.6082763671875, -0.0048828125)","(0.69757080078125, -0.03741455078125, 0.715576171875, -0.0018310546875)"
110722406473,"(0.79638671875, 0.08953857421875, 0.6083984375, -0.005126953125)","(0.69757080078125, -0.03741455078125, 0.71551513671875, -0.00244140625)"
110722414421,"(0.79656982421875, 0.0899658203125, 0.60809326171875, -0.0047607421875)","(0.697265625, -0.037353515625, 0.7158203125, -0.00286865234375)"
110722421859,"(0.78875732421875, 0.0899658203125, 0.60809326171875, -0.0047607421875)","(0.69732666015625, -0.037109375, 0.71575927734375, -0.00262451171875)"
110722430087,"(0.78863525390625, 0.09027099609375, 0.608154296875, -0.0042724609375)","(0.69720458984375, -0.037109375, 0.71588134765625, -0.0029296875)"
110722439263,"(0.788818359375, 0.09063720703125, 0.60791015625, -0.0040283203125)","(0.69720458984375, -0.0372314453125, 0.71588134765625, -0.00311279296875)"
110722448009,"(0.79656982421875, 0.09100341796875, 0.60791015625, -0.00421142578125)","(0.69720458984375, -0.0372314453125, 0.71588134765625, -0.00311279296875)"
110722456105,"(0.79644775390625, 0.09100341796875, 0.60809326171875, -0.00433349609375)","(0.6971435546875, -0.03729248046875, 0.7159423828125, -0.003173828125)"
110722464147,"(0.79644775390625, 0.09100341796875, 0.60809326171875, -0.00433349609375)","(0.697021484375, -0.0369873046875, 0.716064453125, -0.003173828125)"
110722471715,"(0.7884521484375, 0.091064453125, 0.6082763671875, -0.0045166015625)","(0.69696044921875, -0.03662109375, 0.7161865234375, -0.003662109375)"
110722479550,"(0.7884521484375, 0.09124755859375, 0.6082763671875, -0.00457763671875)","(0.69696044921875, -0.03662109375, 0.7161865234375, -0.003662109375)"
110722488488,"(0.79620361328125, 0.0904541015625, 0.6085205078125, -0.0045166015625)","(0.69720458984375, -0.036376953125, 0.7159423828125, -0.00396728515625)"
110722497800,"(0.796142578125, 0.09027099609375, 0.6085205078125, -0.0045166015625)","(0.69757080078125, -0.03643798828125, 0.715576171875, -0.00384521484375)"
110722506198,"(0.79644775390625, 0.090576171875, 0.608154296875, -0.004638671875)","(0.69732666015625, -0.03643798828125, 0.7158203125, -0.004150390625)"
