scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,858.8123,698.507,0.8663177,843.5166,555.6996,0.97028804,826.9572,395.8931,0.7811048,804.38226,270.79456,0.7734402,754.63855,86.32584,0.9052489
1,858.7225,698.16986,0.8496871,843.49866,555.5115,0.91858065,826.85956,395.50275,0.79203135,804.32764,270.54288,0.79220647,754.61725,86.146904,0.87479585
2,858.7223,697.9392,0.8271484,843.43054,555.50964,0.93114525,826.9493,395.46725,0.7976176,804.33777,270.5329,0.7922687,754.622,86.18265,0.88337827
3,858.7168,698.21936,0.84012324,843.4221,555.62787,0.9419667,826.96234,395.63303,0.7873349,804.40283,270.73654,0.7908919,754.6153,86.196915,0.884691
4,858.8053,698.4921,0.84121865,843.4623,555.662,0.9602771,826.97595,395.54965,0.7897256,804.4423,270.78934,0.7928249,754.62305,86.19488,0.8727955
5,858.9318,698.42816,0.815444,843.31024,555.8333,0.9543867,827.0428,395.39413,0.7880132,804.36035,270.84875,0.78332347,754.65845,86.13713,0.86584455
6,858.99945,698.31335,0.78813475,843.2525,555.8488,0.95690936,827.09656,395.51862,0.79942185,804.2657,270.81332,0.77200943,754.5948,86.17255,0.8823943
7,859.0375,698.2972,0.759382,843.21497,555.92865,0.9434712,827.1104,395.52237,0.7977681,804.2651,270.81165,0.76990676,754.557,86.157166,0.87733054
8,859.0519,698.49695,0.7722347,843.2223,555.9098,0.93521506,827.34174,395.3896,0.80619985,804.243,270.7276,0.77496755,754.5384,86.21086,0.868415
9,859.02765,698.52057,0.7744459,843.2252,555.9628,0.9215687,827.3492,395.50342,0.7857973,804.37506,270.80157,0.7767194,754.4695,86.26585,0.89165574
10,858.99316,698.5284,0.78509504,843.2399,555.98065,0.9264527,827.3743,395.51202,0.7910651,804.4239,270.7923,0.78050935,754.44257,86.25294,0.90268314
11,859.0392,699.0403,0.85687554,843.23914,556.0844,0.942154,827.3749,395.5336,0.79414064,804.4741,270.8295,0.7910844,754.4161,86.29932,0.8943115
12,859.16034,699.21484,0.8564412,843.3022,556.111,0.955568,827.41644,395.66837,0.777566,804.45996,270.77496,0.7804377,754.4465,86.34107,0.89583707
13,859.2575,699.0599,0.8513722,843.2948,556.00995,0.9644785,827.4018,395.68344,0.77586466,804.386,270.79654,0.77728236,754.4615,86.322845,0.8948572
14,859.23456,699.015,0.84407645,843.25836,555.9849,0.985813,827.3902,395.7246,0.7692874,804.30273,270.80328,0.77814096,754.4588,86.34094,0.8905285
15,859.257,698.9769,0.8451041,843.2415,555.8479,0.9913691,827.378,395.59937,0.7904223,804.22473,270.84244,0.77493876,754.44037,86.37965,0.888565
16,859.24976,698.9885,0.85084677,843.176,555.8844,1.0,827.2111,395.447,0.7995063,804.16547,270.75394,0.7699839,754.31006,86.39419,0.8785538
17,859.28925,699.00446,0.85160995,843.26184,555.90564,1.0,827.2781,395.6361,0.8061082,804.1757,270.84055,0.7976748,754.3135,86.36445,0.8875628
