scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,828.253,948.6024,0.91807395,802.3886,809.90265,0.9091757,775.33453,649.78656,0.80634516,741.3543,523.0106,0.7261863,680.8243,334.6546,0.85308456
1,828.22833,948.8251,0.9205814,802.4914,809.938,0.92054415,775.3318,649.79517,0.80100065,741.4751,523.0996,0.7059416,680.9096,334.70398,0.85396826
2,828.2978,948.7774,0.91608703,802.59644,809.93677,0.9200085,775.33716,649.77765,0.7972034,741.47815,523.11017,0.70796,680.8577,334.78036,0.8604897
3,828.33527,948.7539,0.91715676,802.37335,810.0325,0.9394738,775.35205,649.75854,0.8021244,741.498,523.0917,0.70153826,680.8547,335.03613,0.86872154
4,828.49084,948.8542,0.9078201,802.2013,810.126,0.9526637,775.3069,649.70685,0.7793849,741.59,523.0158,0.7100095,680.7956,334.98196,0.90202904
5,828.3488,948.90607,0.9099462,802.1056,810.0563,0.96240973,775.5895,649.83057,0.8341385,741.488,523.3027,0.69243807,680.83136,334.9897,0.9152588
6,828.3018,948.9325,0.9150407,801.99054,810.0256,0.962313,775.7592,649.888,0.8234811,741.4997,523.4166,0.68821335,680.84247,335.06143,0.88644326
7,828.1602,948.8371,0.921134,802.04913,810.07465,0.984454,775.8028,649.9499,0.81586397,741.4686,523.50574,0.6730219,680.87305,334.97058,0.893867
8,828.0383,948.71906,0.91704994,802.0756,810.01825,0.9634501,775.7674,649.8953,0.8243775,741.5038,523.4797,0.68600875,681.0599,334.95193,0.89507264
9,828.1227,948.738,0.91540426,802.2502,810.1532,0.95852804,775.8589,649.9341,0.83480763,741.54614,523.79236,0.67027134,680.81635,335.21802,0.89043653
10,828.15045,948.8613,0.9143054,802.0921,810.15967,0.9640402,775.80817,649.9464,0.8334535,741.59344,523.2247,0.66956645,680.9274,334.84396,0.9090098
11,828.0404,948.772,0.91401094,802.1637,810.1321,0.97304475,775.7907,649.97614,0.82964003,741.6556,523.4484,0.6759896,680.9625,334.98813,0.90057105
12,828.134,948.64844,0.91778886,802.18335,810.2391,0.94287694,775.8464,649.9565,0.83657604,741.77985,523.6163,0.67001325,680.964,335.18796,0.89407545
13,827.93005,948.7023,0.90087634,802.2112,810.0015,0.9481347,775.74817,649.8834,0.84528863,741.8354,523.34796,0.6624579,681.1257,334.87088,0.8722048
14,827.9006,948.7568,0.89704525,802.1624,810.1345,0.95134324,775.80304,650.0608,0.8524417,741.9504,523.87476,0.65094626,681.0464,335.1941,0.90190136
15,827.9436,948.7341,0.8981697,802.16644,810.0837,0.9613741,775.8481,649.89374,0.83929867,741.63293,523.6299,0.6599899,681.0789,335.09128,0.8959048
16,827.92255,948.7595,0.8992046,802.19855,809.97656,0.95783156,775.8148,649.877,0.8457833,741.7055,523.3031,0.65492696,681.2071,334.829,0.8901613
17,827.8308,948.7605,0.9045727,802.1578,809.956,0.96574986,776.01556,650.05115,0.8502571,741.592,523.9692,0.62370193,681.15393,335.16696,0.8645249
