timestamp,euler1,euler2
111359551818,"(0.7696533203125, 0.052734375, 0.63623046875, -0.00213623046875)","(0.0, 0.0, 0.0, 0.0)"
111359564149,"(0.7698974609375, 0.05267333984375, 0.635986328125, -0.00250244140625)","(0.0, 0.0, 0.0, 0.0)"
111359574649,"(0.7701416015625, 0.0526123046875, 0.63568115234375, -0.00238037109375)","(0.0, 0.0, 0.0, 0.0)"
111359586582,"(0.7701416015625, 0.05242919921875, 0.63568115234375, -0.00244140625)","(0.0, 0.0, 0.0, 0.0)"
111359597477,"(0.769775390625, 0.0528564453125, 0.6361083984375, -0.00262451171875)","(0.0, 0.0, 0.0, 0.0)"
111359609143,"(0.769775390625, 0.0528564453125, 0.6361083984375, -0.002685546875)","(1.0, 0.0008544921875, 0.00146484375, -0.0003662109375)"
111359620498,"(0.7701416015625, 0.05303955078125, 0.63568115234375, -0.002197265625)","(1.0, 0.0008544921875, 0.00146484375, -0.00018310546875)"
111359631388,"(0.77032470703125, 0.052734375, 0.63543701171875, -0.00213623046875)","(1.0078125, 0.00128173828125, 0.0015869140625, -0.00030517578125)"
111359642994,"(0.77044677734375, 0.05267333984375, 0.63531494140625, -0.00225830078125)","(1.0, 0.00146484375, 0.00244140625, -0.0008544921875)"
111359651856,"(0.77069091796875, 0.05279541015625, 0.635009765625, -0.00262451171875)","(None, None, None, None)"
111359654085,"(0.77069091796875, 0.05279541015625, 0.635009765625, -0.00262451171875)","(1.0, 0.00146484375, 0.00244140625, -0.0008544921875)"
111359659734,"(0.770751953125, 0.05279541015625, 0.6348876953125, -0.0025634765625)","(0.65582275390625, -0.00506591796875, 0.7548828125, -0.00189208984375)"
111359663242,"(0.770751953125, 0.05279541015625, 0.6348876953125, -0.0025634765625)","(0.65582275390625, -0.00506591796875, 0.7548828125, -0.00189208984375)"
111359669085,"(0.7711181640625, 0.052734375, 0.634521484375, -0.00244140625)","(0.6556396484375, -0.005126953125, 0.75506591796875, -0.00238037109375)"
111359672711,"(0.7711181640625, 0.052734375, 0.634521484375, -0.00244140625)","(0.6556396484375, -0.005126953125, 0.75506591796875, -0.00238037109375)"
111359677008,"(0.7711181640625, 0.052734375, 0.634521484375, -0.00244140625)","(None, None, None, None)"
