scorer,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010,DLC_Resnet50_SOR6_11_07Nov10shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,795.2219,945.25275,0.9764296,772.56396,806.2437,0.89036524,757.83215,644.28766,0.8311183,735.82416,521.77374,0.73775166,678.21545,337.38815,0.8971506
1,795.353,945.4374,0.9637456,772.65546,806.3639,0.8574883,757.73065,644.2083,0.83508396,735.9044,521.9813,0.7384212,678.1904,337.445,0.87887454
2,795.451,945.6941,0.9452138,772.6735,806.38654,0.8698005,757.8278,644.48785,0.8213265,735.8662,521.85364,0.74500626,678.18036,337.4284,0.899427
3,795.5258,945.88495,0.938509,772.7668,806.6985,0.9045015,758.025,644.48627,0.8456643,735.9306,521.7533,0.74657935,678.21344,337.3935,0.88165903
4,795.66504,945.9629,0.93136686,772.732,806.70013,0.869535,757.9384,644.5244,0.8406606,735.90967,522.12415,0.75180155,678.17145,337.39572,0.8883126
5,795.6761,946.0367,0.9214162,772.77747,806.5954,0.8749916,757.93066,644.393,0.8433741,735.97314,522.01715,0.745738,678.1769,337.47888,0.8879142
6,795.6579,946.01843,0.91558,772.6992,806.57776,0.88321316,758.0335,644.4333,0.844988,735.95807,522.0698,0.74332476,678.2028,337.59827,0.9011768
7,795.6846,946.1515,0.91175115,772.6989,806.5279,0.8928007,758.01465,644.42236,0.8423955,735.9848,522.09247,0.7546276,678.265,337.61276,0.8975991
8,795.5858,945.96545,0.9182881,772.6615,806.5046,0.88576144,758.0053,644.4945,0.8507753,735.9537,522.1033,0.74945265,678.21014,337.63046,0.906092
9,795.6937,945.9396,0.9552732,772.7448,806.57086,0.8711049,757.98755,644.6795,0.85352236,736.008,521.9978,0.7476978,678.259,337.67096,0.90700763
10,795.90283,945.9544,0.9702259,772.7727,806.5826,0.87221736,757.9232,644.8366,0.8581171,736.00806,521.98834,0.7332272,678.27716,337.56586,0.9082353
11,795.9993,945.9306,0.9778752,772.76526,806.73615,0.8802482,757.7492,644.8557,0.85109353,735.85626,521.9683,0.7335296,678.10254,337.58124,0.89445597
12,795.97473,945.98883,0.9808801,772.8826,806.98975,0.88909763,757.6726,644.68475,0.85085267,735.6604,522.0695,0.7501328,678.0265,337.64517,0.8732253
13,796.0841,945.90924,0.99790585,772.94366,806.9318,0.8767539,757.6647,644.76904,0.8509514,735.49884,522.1161,0.75312257,678.00653,337.42865,0.86867696
14,796.1946,945.87396,1.0,772.98596,806.98706,0.8829104,757.6613,644.69745,0.8526423,735.3776,522.087,0.7517284,677.928,337.46826,0.8928357
15,796.37115,945.79236,1.0,772.9739,806.9594,0.8884308,757.7062,644.799,0.85862887,735.3586,522.1186,0.74592936,677.99854,337.4219,0.88770956
16,796.374,945.804,1.0,772.91833,806.95245,0.88084805,757.6965,644.66736,0.8485322,735.2763,522.0652,0.7506081,677.8815,337.416,0.8912676
17,796.41284,945.8521,1.0,772.9798,806.9176,0.891946,757.6706,644.7743,0.8564929,735.40784,522.109,0.7447849,677.934,337.36887,0.9020053
