timestamp,quat1,quat2
112226547594,"(0.98602294921875, 0.1090087890625, 0.1260986328125, -0.00311279296875)","(0.0, 0.0, 0.0, 0.0)"
112226559788,"(0.986083984375, 0.10888671875, 0.12579345703125, -0.00335693359375)","(0.0, 0.0, 0.0, 0.0)"
112226571655,"(0.986083984375, 0.1090087890625, 0.1256103515625, -0.00360107421875)","(0.0, 0.0, 0.0, 0.0)"
112226584033,"(0.986083984375, 0.10882568359375, 0.12554931640625, -0.0030517578125)","(0.0, 0.0, 0.0, 0.0)"
112226595161,"(0.98602294921875, 0.10906982421875, 0.1258544921875, -0.0029296875)","(0.0, 0.0, 0.0, 0.0)"
112226605266,"(0.98602294921875, 0.109130859375, 0.12591552734375, -0.00335693359375)","(1.0, 0.00140380859375, -0.0008544921875, 6.103515625e-05)"
112226616079,"(0.98602294921875, 0.10943603515625, 0.12567138671875, -0.00323486328125)","(1.0, 0.0010986328125, -0.001220703125, 0.000244140625)"
112226626031,"(0.99395751953125, 0.1092529296875, 0.12469482421875, -0.00390625)","(1.0078125, 0.00103759765625, -0.00164794921875, 0.000244140625)"
112226634704,"(0.99407958984375, 0.109130859375, 0.1240234375, -0.0045166015625)","(1.0078125, 0.0010986328125, -0.001708984375, 0.0003662109375)"
112226641690,"(0.99407958984375, 0.109130859375, 0.1240234375, -0.0045166015625)","(1.0078125, 0.00128173828125, -0.0023193359375, 0.00042724609375)"
112226649098,"(0.9940185546875, 0.10986328125, 0.123779296875, -0.00439453125)","(1.0078125, 0.00128173828125, -0.0023193359375, 0.00042724609375)"
112226656823,"(0.9940185546875, 0.11016845703125, 0.12359619140625, -0.00482177734375)","(0.94647216796875, 0.12078857421875, 0.29931640625, -0.00048828125)"
112226665070,"(0.9940185546875, 0.1104736328125, 0.1231689453125, -0.0047607421875)","(0.94647216796875, 0.12127685546875, 0.29925537109375, -0.0006103515625)"
112226671200,"(0.9862060546875, 0.1104736328125, 0.1231689453125, -0.0047607421875)","(0.94635009765625, 0.121826171875, 0.2991943359375, -0.0006103515625)"
112226678842,"(0.99407958984375, 0.1104736328125, 0.12286376953125, -0.00494384765625)","(0.94635009765625, 0.121826171875, 0.2991943359375, -0.0006103515625)"
112226687384,"(0.99407958984375, 0.11065673828125, 0.122314453125, -0.0050048828125)","(0.94647216796875, 0.12200927734375, 0.298828125, -0.00042724609375)"
112226693025,"(0.98626708984375, 0.11065673828125, 0.122314453125, -0.0050048828125)","(0.946533203125, 0.12237548828125, 0.298583984375, -0.000244140625)"
112226700375,"(0.99420166015625, 0.1107177734375, 0.12158203125, -0.0047607421875)","(0.946533203125, 0.12237548828125, 0.298583984375, -0.000244140625)"
112226707694,"(0.99432373046875, 0.11083984375, 0.12042236328125, -0.00482177734375)","(0.946533203125, 0.12298583984375, 0.29815673828125, 0.00030517578125)"
112226715118,"(0.9942626953125, 0.11114501953125, 0.1204833984375, -0.00518798828125)","(0.9466552734375, 0.12384033203125, 0.297607421875, 0.0008544921875)"
112226721446,"(0.9864501953125, 0.11114501953125, 0.1204833984375, -0.00518798828125)","(0.9466552734375, 0.1246337890625, 0.29705810546875, 0.0008544921875)"
112226729649,"(0.99432373046875, 0.1112060546875, 0.11981201171875, -0.0054931640625)","(0.9466552734375, 0.1246337890625, 0.29705810546875, 0.0008544921875)"
112226738274,"(0.99444580078125, 0.111083984375, 0.118896484375, -0.00506591796875)","(0.94696044921875, 0.12530517578125, 0.29595947265625, 0.00146484375)"
112226744592,"(0.99468994140625, 0.1109619140625, 0.117431640625, -0.0047607421875)","(0.94696044921875, 0.12603759765625, 0.295654296875, 0.00177001953125)"
112226751785,"(0.99468994140625, 0.1109619140625, 0.117431640625, -0.0047607421875)","(0.94696044921875, 0.12603759765625, 0.295654296875, 0.00177001953125)"
112226758408,"(0.98699951171875, 0.1107177734375, 0.11663818359375, -0.004638671875)","(0.94696044921875, 0.1268310546875, 0.29522705078125, 0.0025634765625)"
112226766789,"(0.99493408203125, 0.11053466796875, 0.1158447265625, -0.0045166015625)","(0.9471435546875, 0.1273193359375, 0.29443359375, 0.003662109375)"
112226773799,"(0.99493408203125, 0.11053466796875, 0.1158447265625, -0.0045166015625)","(0.9473876953125, 0.1280517578125, 0.293212890625, 0.0048828125)"
112226780548,"(0.99505615234375, 0.11053466796875, 0.1146240234375, -0.0048828125)","(0.94769287109375, 0.12890625, 0.29205322265625, 0.00567626953125)"
112226789334,"(0.9952392578125, 0.1104736328125, 0.11322021484375, -0.00457763671875)","(0.94769287109375, 0.12890625, 0.29205322265625, 0.00567626953125)"
112226798093,"(0.99530029296875, 0.11077880859375, 0.1119384765625, -0.0037841796875)","(0.9476318359375, 0.1300048828125, 0.29156494140625, 0.0062255859375)"
112226805888,"(0.9954833984375, 0.1103515625, 0.111083984375, -0.0030517578125)","(0.94781494140625, 0.13067626953125, 0.2906494140625, 0.00701904296875)"
112226812439,"(0.9954833984375, 0.1103515625, 0.111083984375, -0.0030517578125)","(0.94781494140625, 0.13153076171875, 0.29034423828125, 0.00775146484375)"
112226819565,"(0.99566650390625, 0.10943603515625, 0.1102294921875, -0.0029296875)","(0.94781494140625, 0.13153076171875, 0.29034423828125, 0.00775146484375)"
112226828322,"(0.9957275390625, 0.1092529296875, 0.10968017578125, -0.00286865234375)","(0.9478759765625, 0.1324462890625, 0.28973388671875, 0.00823974609375)"
112226836680,"(0.99591064453125, 0.10888671875, 0.10870361328125, -0.0029296875)","(0.94805908203125, 0.13299560546875, 0.288818359375, 0.00946044921875)"
112226843074,"(0.99591064453125, 0.10888671875, 0.10870361328125, -0.0029296875)","(0.947998046875, 0.1337890625, 0.28857421875, 0.01068115234375)"
112226851469,"(0.9959716796875, 0.1090087890625, 0.1077880859375, -0.0030517578125)","(0.947998046875, 0.1337890625, 0.28857421875, 0.01068115234375)"
112226858659,"(0.99615478515625, 0.1087646484375, 0.106689453125, -0.0029296875)","(0.9482421875, 0.13458251953125, 0.28729248046875, 0.01190185546875)"
112226866519,"(0.996337890625, 0.10821533203125, 0.10552978515625, -0.00311279296875)","(0.94854736328125, 0.13525390625, 0.28594970703125, 0.0133056640625)"
112226873021,"(0.988525390625, 0.10821533203125, 0.10552978515625, -0.00311279296875)","(0.94866943359375, 0.13604736328125, 0.28509521484375, 0.01446533203125)"
112226880919,"(0.99652099609375, 0.107666015625, 0.104248046875, -0.00299072265625)","(0.94879150390625, 0.13677978515625, 0.284423828125, 0.01519775390625)"
112226890566,"(0.9967041015625, 0.10693359375, 0.10302734375, -0.0028076171875)","(0.94879150390625, 0.13677978515625, 0.284423828125, 0.01519775390625)"
112226898150,"(0.99688720703125, 0.10638427734375, 0.10186767578125, -0.00250244140625)","(0.948974609375, 0.1373291015625, 0.283447265625, 0.0166015625)"
112226904245,"(0.99688720703125, 0.10638427734375, 0.10186767578125, -0.00250244140625)","(0.94903564453125, 0.138427734375, 0.2825927734375, 0.01776123046875)"
112226911454,"(0.9970703125, 0.1058349609375, 0.1009521484375, -0.00250244140625)","(0.94903564453125, 0.138427734375, 0.2825927734375, 0.01776123046875)"
112226919539,"(0.99713134765625, 0.1058349609375, 0.10015869140625, -0.0025634765625)","(0.94903564453125, 0.13885498046875, 0.28228759765625, 0.01898193359375)"
112226927012,"(0.9971923828125, 0.10577392578125, 0.09954833984375, -0.00250244140625)","(0.94915771484375, 0.13922119140625, 0.2816162109375, 0.0203857421875)"
112226933507,"(0.9893798828125, 0.10577392578125, 0.09954833984375, -0.00250244140625)","(0.94952392578125, 0.13995361328125, 0.27984619140625, 0.02166748046875)"
112226942006,"(0.99713134765625, 0.106201171875, 0.09954833984375, -0.00262451171875)","(0.94952392578125, 0.13995361328125, 0.27984619140625, 0.02166748046875)"
112226950658,"(0.99725341796875, 0.106201171875, 0.098876953125, -0.00238037109375)","(0.94976806640625, 0.1405029296875, 0.27880859375, 0.02264404296875)"
112226956626,"(0.997314453125, 0.1058349609375, 0.09820556640625, -0.00244140625)","(0.94976806640625, 0.140869140625, 0.27850341796875, 0.023193359375)"
112226963056,"(0.997314453125, 0.1058349609375, 0.09820556640625, -0.00244140625)","(0.94976806640625, 0.140869140625, 0.27850341796875, 0.023193359375)"
112226970318,"(0.997314453125, 0.10589599609375, 0.0986328125, -0.002685546875)","(0.94976806640625, 0.141357421875, 0.278076171875, 0.0240478515625)"
112226978669,"(0.997314453125, 0.10589599609375, 0.09857177734375, -0.002685546875)","(0.9498291015625, 0.14154052734375, 0.27777099609375, 0.02447509765625)"
112226985064,"(0.997314453125, 0.10589599609375, 0.09857177734375, -0.002685546875)","(0.9498291015625, 0.14190673828125, 0.277587890625, 0.02459716796875)"
112226993199,"(0.997314453125, 0.10601806640625, 0.0982666015625, -0.0028076171875)","(0.9498291015625, 0.14190673828125, 0.277587890625, 0.02459716796875)"
112227000830,"(0.997314453125, 0.106201171875, 0.09814453125, -0.00274658203125)","(0.94989013671875, 0.14251708984375, 0.27716064453125, 0.02484130859375)"
112227007169,"(0.997314453125, 0.10638427734375, 0.097900390625, -0.00213623046875)","(0.9498291015625, 0.142822265625, 0.2772216796875, 0.02484130859375)"
112227014282,"(0.997314453125, 0.10638427734375, 0.097900390625, -0.00213623046875)","(0.9498291015625, 0.142822265625, 0.2772216796875, 0.02484130859375)"
112227021204,"(0.997314453125, 0.106201171875, 0.097900390625, -0.00164794921875)","(0.9498291015625, 0.14239501953125, 0.27740478515625, 0.024658203125)"
112227029640,"(0.99725341796875, 0.1064453125, 0.09808349609375, -0.0015869140625)","(0.94989013671875, 0.142333984375, 0.27728271484375, 0.0244140625)"
112227037013,"(0.997314453125, 0.10638427734375, 0.097900390625, -0.00128173828125)","(0.9498291015625, 0.142333984375, 0.27740478515625, 0.02447509765625)"
112227043518,"(0.997314453125, 0.10638427734375, 0.097900390625, -0.00128173828125)","(0.9498291015625, 0.142333984375, 0.27740478515625, 0.02447509765625)"
112227051735,"(0.99725341796875, 0.1068115234375, 0.0980224609375, -0.0008544921875)","(0.94976806640625, 0.1422119140625, 0.2777099609375, 0.02435302734375)"
112227058272,"(0.99725341796875, 0.10662841796875, 0.0982666015625, -0.00079345703125)","(0.94970703125, 0.14208984375, 0.2779541015625, 0.02423095703125)"
112227064149,"(0.99725341796875, 0.10662841796875, 0.0982666015625, -0.00079345703125)","(0.94970703125, 0.14208984375, 0.2779541015625, 0.02423095703125)"
112227071715,"(0.99725341796875, 0.1064453125, 0.09808349609375, -0.00048828125)","(0.94976806640625, 0.141845703125, 0.27789306640625, 0.0238037109375)"
112227078491,"(0.99737548828125, 0.1060791015625, 0.097412109375, -0.00054931640625)","(0.94976806640625, 0.14208984375, 0.27783203125, 0.023193359375)"
112227085260,"(0.99737548828125, 0.1060791015625, 0.097412109375, -0.00054931640625)","(0.94970703125, 0.1422119140625, 0.27801513671875, 0.02313232421875)"
