Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.94,-101.0,515.0
70.0,-4.06,-100.0,515.0
70.0,-4.19,-100.0,515.0
70.0,-4.25,-100.0,515.0
70.0,-4.31,-100.0,515.0
70.0,-4.38,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-99.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,514.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
70.0,-4.44,-100.0,515.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-104.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-104.0,477.0
60.0,-17.0,-104.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-104.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,477.0
60.0,-17.0,-105.0,480.0
60.0,-16.12,-104.0,480.0
60.0,-16.19,-104.0,479.0
60.0,-16.19,-104.0,480.0
60.0,-16.19,-104.0,479.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,479.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,479.0
60.0,-16.25,-102.0,480.0
60.0,-16.25,-103.0,480.0
60.0,-16.25,-104.0,479.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,480.0
60.0,-16.25,-104.0,479.0
60.0,-16.25,-104.0,480.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,432.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-110.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-110.0,433.0
50.0,-31.06,-109.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-110.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-110.0,433.0
50.0,-31.06,-111.0,433.0
50.0,-31.06,-111.0,433.0
