Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.19,-122.0,517.0
70.0,-3.31,-122.0,516.0
70.0,-3.5,-121.0,516.0
70.0,-3.56,-121.0,516.0
70.0,-3.63,-120.0,516.0
70.0,-3.69,-119.0,516.0
70.0,-3.75,-120.0,516.0
70.0,-3.81,-119.0,516.0
70.0,-3.88,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
70.0,-3.94,-119.0,516.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-127.0,477.0
60.0,-16.5,-127.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-129.0,478.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-128.0,477.0
60.0,-16.5,-127.0,477.0
60.0,-16.5,-129.0,477.0
60.0,-16.5,-126.0,477.0
60.0,-16.5,-127.0,477.0
60.0,-16.5,-127.0,477.0
60.0,-16.5,-128.0,478.0
60.0,-16.5,-127.0,477.0
