Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.38,-117.0,516.0
70.0,-3.5,-116.0,516.0
70.0,-3.56,-116.0,516.0
70.0,-3.63,-116.0,516.0
70.0,-3.69,-116.0,516.0
70.0,-3.75,-116.0,516.0
70.0,-3.81,-116.0,516.0
70.0,-3.88,-116.0,516.0
70.0,-3.88,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-114.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-115.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-115.0,516.0
70.0,-3.94,-116.0,516.0
70.0,-3.94,-116.0,516.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-125.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-125.0,477.0
60.0,-16.69,-126.0,478.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-125.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-126.0,477.0
60.0,-16.69,-125.0,477.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-139.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-139.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,434.0
50.0,-30.31,-140.0,432.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
50.0,-30.31,-140.0,433.0
