Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.31,-176.0,516.0
70.0,-3.5,-175.0,516.0
70.0,-3.56,-175.0,516.0
70.0,-3.63,-175.0,517.0
70.0,-3.69,-174.0,516.0
70.0,-3.75,-175.0,516.0
70.0,-3.81,-175.0,516.0
70.0,-3.88,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,517.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-174.0,517.0
70.0,-3.94,-175.0,517.0
70.0,-3.94,-175.0,516.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,517.0
70.0,-3.94,-174.0,517.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,517.0
70.0,-3.94,-174.0,516.0
70.0,-3.94,-174.0,516.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,476.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,477.0
60.0,-16.75,-182.0,481.0
60.0,-15.81,-181.0,477.0
60.0,-16.56,-181.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
60.0,-16.62,-182.0,477.0
60.0,-16.62,-182.0,478.0
50.0,-31.0,-194.0,433.0
50.0,-31.0,-194.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-194.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-194.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-194.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,432.0
50.0,-31.0,-193.0,433.0
50.0,-31.0,-193.0,433.0
