Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.63,-79.0,515.0
70.0,-3.75,-79.0,516.0
70.0,-3.81,-79.0,515.0
70.0,-3.88,-79.0,516.0
70.0,-3.94,-79.0,516.0
70.0,-4.0,-79.0,515.0
70.0,-4.06,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,515.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
70.0,-4.13,-79.0,516.0
60.0,-16.44,-85.0,477.0
60.0,-16.44,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
60.0,-16.5,-85.0,477.0
