Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.44,-103.0,517.0
70.0,-3.56,-103.0,516.0
70.0,-3.63,-103.0,516.0
70.0,-3.69,-103.0,516.0
70.0,-3.81,-103.0,516.0
70.0,-3.81,-103.0,516.0
70.0,-3.88,-103.0,516.0
70.0,-3.94,-103.0,516.0
70.0,-4.0,-103.0,516.0
70.0,-4.06,-103.0,516.0
70.0,-4.06,-103.0,516.0
70.0,-4.13,-103.0,516.0
70.0,-4.13,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-102.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-102.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-102.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
70.0,-4.19,-103.0,516.0
60.0,-16.62,-108.0,477.0
60.0,-16.62,-108.0,478.0
60.0,-16.62,-108.0,477.0
60.0,-16.62,-108.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,478.0
60.0,-16.62,-107.0,477.0
60.0,-16.62,-107.0,477.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-112.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-111.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-112.0,433.0
50.0,-31.0,-111.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-112.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-112.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,432.0
50.0,-31.0,-113.0,433.0
50.0,-31.0,-113.0,432.0
