Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.94,-105.0,515.0
70.0,-4.06,-105.0,515.0
70.0,-4.13,-105.0,515.0
70.0,-4.19,-105.0,515.0
70.0,-4.25,-105.0,515.0
70.0,-4.31,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
70.0,-4.38,-105.0,515.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-111.0,477.0
60.0,-16.94,-111.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-111.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,476.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,478.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,476.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
60.0,-16.94,-110.0,477.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
50.0,-31.06,-118.0,433.0
