Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.19,-221.0,516.0
70.0,-3.31,-221.0,517.0
70.0,-3.44,-221.0,516.0
70.0,-3.5,-220.0,516.0
70.0,-3.63,-220.0,516.0
70.0,-3.63,-220.0,517.0
70.0,-3.69,-220.0,517.0
70.0,-3.75,-220.0,516.0
70.0,-3.81,-219.0,517.0
70.0,-3.88,-220.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,517.0
70.0,-3.88,-219.0,517.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-217.0,517.0
70.0,-3.88,-219.0,517.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-219.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-214.0,516.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-215.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-214.0,516.0
70.0,-3.88,-218.0,516.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-218.0,517.0
70.0,-3.88,-214.0,516.0
60.0,-16.56,-232.0,478.0
60.0,-16.56,-230.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-232.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-232.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-229.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-228.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-230.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,477.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
60.0,-16.56,-231.0,478.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-253.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-254.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-253.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-256.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-253.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
50.0,-30.81,-255.0,433.0
