Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.44,-245.0,516.0
70.0,-3.56,-246.0,516.0
70.0,-3.63,-246.0,516.0
70.0,-3.69,-246.0,516.0
70.0,-3.75,-246.0,516.0
70.0,-3.81,-246.0,516.0
70.0,-3.88,-246.0,516.0
70.0,-3.94,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
70.0,-4.0,-246.0,516.0
60.0,-16.25,-259.0,478.0
60.0,-16.31,-259.0,478.0
60.0,-16.31,-259.0,477.0
60.0,-16.37,-259.0,477.0
60.0,-16.44,-259.0,477.0
60.0,-16.44,-259.0,477.0
60.0,-16.44,-259.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-259.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,478.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
60.0,-16.44,-258.0,477.0
50.0,-30.69,-274.0,433.0
50.0,-30.69,-274.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-274.0,432.0
50.0,-30.69,-274.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,433.0
50.0,-30.69,-273.0,432.0
50.0,-30.69,-273.0,432.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,386.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,386.0
40.0,-45.44,-290.0,386.0
40.0,-45.44,-290.0,386.0
40.0,-45.44,-290.0,385.0
40.0,-45.44,-290.0,386.0
40.0,-45.44,-290.0,385.0
