Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100,100,100,100
70,-3.69,-20,515
70,-3.81,-20,515
70,-3.94,-20,515
70,-4,-20,515
70,-4.06,-20,515
70,-4.13,-20,515
70,-4.19,-20,515
70,-4.25,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,514
70,-4.31,-20,515
70,-4.31,-20,514
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,515
70,-4.31,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,517
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
70,-3.94,-20,516
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,476
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,476
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,476
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
60,-16.94,-21,477
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,433
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,433
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
50,-30.25,-22,432
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-22,385
40,-45.06,-22,385
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-23,384
40,-45.06,-23,384
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-23,384
40,-45.06,-22,385
40,-45.06,-23,385
40,-45.06,-23,384
40,-45.06,-23,384
40,-45.06,-22,384
40,-45.06,-22,384
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-22,384
40,-45.06,-22,384
40,-45.06,-22,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-22,384
40,-45.06,-22,385
40,-45.06,-22,385
40,-45.06,-23,385
40,-45.06,-23,385
40,-45.06,-22,385
40,-45.06,-23,384
40,-45.06,-23,385
40,-45.06,-22,384
40,-45.06,-22,384
30,-59.94,-23,336
30,-59.94,-23,336
30,-59.94,-23,336
30,-59.94,-23,336
30,-59.94,-23,336
30,-59.94,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-24,337
30,-59.75,-23,336
30,-59.75,-23,337
30,-59.75,-23,338
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,336
30,-59.75,-23,336
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
30,-59.75,-23,337
20,-73.62,-24,290
20,-73.62,-24,290
20,-73.56,-24,290
20,-73.56,-24,289
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,290
20,-73.5,-24,289
10,-86.56,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,243
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,243
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.5,-25,244
10,-86.44,-25,244
10,-86.44,-25,244
10,-86.37,-25,244
10,-86.37,-25,244
10,-86.37,-25,243
10,-86.31,-25,244
10,-86.31,-25,243
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,243
10,-86.31,-25,244
10,-86.31,-25,243
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,243
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,244
10,-86.31,-25,249
10,-85.31,-25,245
10,-85.94,-25,244
10,-85.94,-25,245
10,-85.94,-25,244
10,-85.94,-25,245
10,-85.94,-25,245
10,-85.94,-25,244
10,-85.87,-25,244
10,-85.87,-25,245
10,-85.87,-25,245
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,287
20,-73.37,-24,287
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,287
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
20,-73.37,-24,288
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,332
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.81,-23,333
30,-59.63,-23,333
30,-59.63,-23,333
30,-59.63,-23,333
30,-59.63,-23,333
30,-59.63,-23,333
30,-59.63,-23,333
30,-59.63,-23,332
30,-59.63,-23,333
40,-45.31,-22,380
40,-45.38,-22,380
40,-45.44,-22,380
40,-45.44,-22,380
40,-45.5,-22,381
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,381
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
40,-45.5,-22,381
40,-45.5,-22,380
50,-31.5,-22,426
50,-31.56,-22,427
50,-31.56,-22,426
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,427
50,-31.62,-22,426
50,-31.62,-22,426
50,-31.56,-22,426
50,-31.56,-22,427
50,-31.56,-22,426
50,-31.56,-22,427
50,-31.56,-22,427
50,-31.56,-22,427
50,-31.56,-22,426
50,-31.56,-22,426
50,-31.56,-22,427
50,-31.56,-22,426
50,-31.56,-22,427
60,-17.44,-21,472
60,-17.5,-21,472
60,-17.5,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.56,-21,472
60,-17.5,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,473
60,-17.44,-21,472
60,-17.44,-21,473
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,472
60,-17.44,-21,473
70,-3.94,-20,515
70,-3.94,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,514
70,-4,-20,515
70,-4,-20,514
70,-4,-20,514
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-4,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
70,-3.88,-20,515
60,-16.62,-21,476
60,-16.62,-21,477
60,-16.62,-21,476
60,-16.62,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,476
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,476
60,-16.56,-21,477
60,-16.56,-21,476
60,-16.56,-21,476
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,433
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,433
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,433
50,-30.69,-22,433
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,433
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,433
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
50,-30.69,-22,432
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,385
40,-45.44,-22,384
40,-45.44,-22,385
40,-45.44,-23,385
40,-45.44,-22,385
30,-60.13,-23,336
30,-60.06,-23,336
30,-60,-23,336
30,-60,-23,337
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,337
30,-60,-23,337
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,337
30,-60,-23,336
30,-60,-23,337
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,337
30,-60,-23,336
30,-60,-23,337
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
30,-60,-23,336
20,-73.81,-24,289
20,-73.81,-24,289
20,-73.75,-24,289
20,-73.75,-24,289
20,-73.69,-24,290
20,-73.69,-24,289
20,-73.69,-24,290
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,290
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
20,-73.69,-24,289
10,-86.62,-25,244
10,-86.62,-25,244
10,-86.56,-25,244
10,-86.56,-25,244
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,244
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,244
10,-86.56,-25,244
10,-86.56,-25,244
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,244
10,-86.56,-25,244
10,-86.56,-25,243
10,-86.56,-25,244
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,243
10,-86.56,-25,244
10,-86.56,-25,243
