Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.75,-1571.0,516.0
70.0,-3.81,-1572.0,515.0
70.0,-3.88,-1573.0,516.0
70.0,-3.88,-1574.0,516.0
70.0,-3.94,-1575.0,516.0
70.0,-3.94,-1576.0,516.0
70.0,-4.0,-1576.0,515.0
70.0,-4.0,-1577.0,516.0
70.0,-4.0,-1577.0,515.0
70.0,-4.0,-1578.0,516.0
70.0,-4.0,-1578.0,516.0
70.0,-4.0,-1578.0,516.0
70.0,-4.0,-1579.0,516.0
70.0,-4.0,-1579.0,516.0
70.0,-4.0,-1579.0,516.0
70.0,-4.0,-1580.0,516.0
70.0,-4.0,-1580.0,516.0
70.0,-4.0,-1580.0,516.0
70.0,-4.0,-1580.0,516.0
70.0,-4.0,-1580.0,516.0
70.0,-4.0,-1581.0,516.0
70.0,-4.0,-1581.0,516.0
70.0,-4.0,-1581.0,516.0
70.0,-4.0,-1581.0,516.0
70.0,-4.0,-1581.0,516.0
70.0,-4.0,-1582.0,516.0
70.0,-4.0,-1582.0,516.0
70.0,-4.0,-1582.0,515.0
70.0,-4.0,-1582.0,516.0
70.0,-4.0,-1582.0,516.0
70.0,-4.0,-1582.0,515.0
70.0,-4.0,-1582.0,515.0
70.0,-4.0,-1582.0,516.0
70.0,-4.0,-1583.0,516.0
70.0,-4.0,-1583.0,516.0
70.0,-4.0,-1583.0,516.0
70.0,-4.0,-1583.0,516.0
70.0,-4.0,-1583.0,516.0
70.0,-4.0,-1583.0,515.0
60.0,-16.62,-1709.0,478.0
60.0,-16.62,-1709.0,478.0
60.0,-16.62,-1709.0,478.0
60.0,-16.62,-1708.0,478.0
60.0,-16.62,-1708.0,478.0
60.0,-16.62,-1708.0,478.0
60.0,-16.62,-1708.0,478.0
60.0,-16.62,-1708.0,477.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,477.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1707.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,477.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1706.0,477.0
60.0,-16.62,-1706.0,478.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,477.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,477.0
60.0,-16.62,-1705.0,477.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,477.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,478.0
60.0,-16.62,-1705.0,478.0
