Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-3.56,1672.0,515.0
70.0,-3.63,1625.0,516.0
70.0,-3.75,1569.0,515.0
70.0,-3.81,1547.0,516.0
70.0,-3.88,1508.0,515.0
70.0,-3.88,1482.0,515.0
70.0,-3.94,1468.0,516.0
70.0,-4.0,1447.0,515.0
70.0,-4.0,1436.0,516.0
70.0,-4.0,1412.0,515.0
70.0,-4.0,1400.0,515.0
70.0,-4.0,1386.0,515.0
70.0,-4.0,1384.0,515.0
70.0,-4.0,1370.0,515.0
70.0,-4.0,1360.0,515.0
70.0,-4.0,1347.0,516.0
70.0,-4.0,1328.0,515.0
70.0,-4.0,1329.0,515.0
70.0,-4.0,1318.0,516.0
70.0,-4.0,1311.0,515.0
70.0,-4.0,1301.0,516.0
70.0,-4.0,1299.0,515.0
70.0,-4.0,1302.0,515.0
70.0,-4.0,1291.0,515.0
70.0,-4.0,1282.0,516.0
70.0,-4.0,1282.0,516.0
70.0,-4.0,1279.0,515.0
70.0,-4.0,1266.0,515.0
70.0,-4.0,1271.0,515.0
70.0,-4.0,1266.0,516.0
70.0,-4.0,1268.0,516.0
70.0,-4.0,1250.0,515.0
70.0,-4.0,1253.0,515.0
70.0,-4.0,1253.0,515.0
70.0,-4.0,1248.0,515.0
70.0,-4.0,1243.0,515.0
60.0,-16.37,4177.0,478.0
60.0,-16.37,4167.0,478.0
60.0,-16.37,4151.0,478.0
60.0,-16.37,4142.0,478.0
60.0,-16.37,4130.0,478.0
60.0,-16.37,4128.0,478.0
60.0,-16.37,4129.0,478.0
60.0,-16.37,4119.0,478.0
60.0,-16.37,4110.0,478.0
60.0,-16.37,4109.0,478.0
60.0,-16.37,4108.0,478.0
60.0,-16.37,4110.0,478.0
60.0,-16.37,4105.0,478.0
60.0,-16.37,4106.0,478.0
60.0,-16.37,4103.0,478.0
60.0,-16.37,4107.0,478.0
60.0,-16.37,4101.0,478.0
60.0,-16.37,4111.0,478.0
60.0,-16.37,4098.0,478.0
60.0,-16.37,4103.0,478.0
60.0,-16.37,4105.0,478.0
60.0,-16.37,4111.0,478.0
60.0,-16.37,4104.0,478.0
60.0,-16.37,4105.0,478.0
60.0,-16.37,4101.0,478.0
60.0,-16.37,4095.0,478.0
60.0,-16.37,4103.0,478.0
60.0,-16.37,4107.0,477.0
60.0,-16.37,4105.0,478.0
60.0,-16.37,4098.0,478.0
60.0,-16.37,4102.0,477.0
60.0,-16.37,4104.0,478.0
60.0,-16.37,4107.0,478.0
60.0,-16.37,4107.0,478.0
60.0,-16.37,4114.0,478.0
60.0,-16.37,4118.0,478.0
60.0,-16.37,4112.0,478.0
60.0,-16.37,4116.0,478.0
60.0,-16.37,4110.0,478.0
60.0,-16.37,4107.0,478.0
60.0,-16.37,4108.0,478.0
60.0,-16.37,4112.0,477.0
60.0,-16.37,4113.0,478.0
60.0,-16.37,4113.0,478.0
60.0,-16.37,4117.0,478.0
60.0,-16.37,4116.0,478.0
60.0,-16.37,4117.0,478.0
60.0,-16.37,4123.0,478.0
60.0,-16.37,4112.0,477.0
60.0,-16.37,4119.0,477.0
50.0,-30.69,8143.0,433.0
50.0,-30.69,8128.0,433.0
50.0,-30.69,8129.0,433.0
50.0,-30.69,8128.0,433.0
50.0,-30.69,8125.0,433.0
50.0,-30.69,8121.0,433.0
50.0,-30.69,8126.0,433.0
50.0,-30.69,8125.0,433.0
50.0,-30.69,8125.0,433.0
50.0,-30.69,8123.0,433.0
50.0,-30.69,8125.0,433.0
50.0,-30.69,8129.0,433.0
50.0,-30.69,8128.0,433.0
50.0,-30.69,8127.0,433.0
50.0,-30.69,8129.0,433.0
50.0,-30.69,8129.0,433.0
