Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-2.69,-14265.0,516.0
70.0,-2.81,-14247.0,516.0
70.0,-2.94,-14256.0,516.0
70.0,-3.0,-14252.0,516.0
70.0,-3.13,-14244.0,516.0
70.0,-3.13,-14240.0,516.0
70.0,-3.19,-14235.0,517.0
70.0,-3.25,-14233.0,516.0
70.0,-3.31,-14237.0,516.0
70.0,-3.38,-14234.0,516.0
70.0,-3.38,-14231.0,516.0
70.0,-3.38,-14233.0,516.0
70.0,-3.38,-14229.0,516.0
70.0,-3.38,-14232.0,516.0
70.0,-3.38,-14234.0,516.0
70.0,-3.38,-14243.0,516.0
70.0,-3.38,-14238.0,517.0
70.0,-3.38,-14239.0,516.0
70.0,-3.38,-14229.0,516.0
70.0,-3.38,-14232.0,516.0
70.0,-3.38,-14219.0,516.0
70.0,-3.38,-14221.0,516.0
70.0,-3.38,-14219.0,516.0
70.0,-3.38,-14222.0,516.0
70.0,-3.38,-14225.0,516.0
70.0,-3.38,-14227.0,516.0
70.0,-3.38,-14223.0,516.0
70.0,-3.38,-14222.0,516.0
70.0,-3.38,-14225.0,516.0
70.0,-3.38,-14223.0,516.0
70.0,-3.38,-14228.0,516.0
70.0,-3.38,-14223.0,516.0
70.0,-3.38,-14211.0,517.0
70.0,-3.38,-14214.0,516.0
70.0,-3.38,-14216.0,516.0
70.0,-3.38,-14213.0,517.0
70.0,-3.38,-14221.0,517.0
70.0,-3.38,-14213.0,516.0
70.0,-3.38,-14216.0,517.0
70.0,-3.38,-14213.0,516.0
70.0,-3.38,-14224.0,516.0
70.0,-3.38,-14220.0,516.0
70.0,-3.38,-14217.0,516.0
70.0,-3.38,-14218.0,516.0
70.0,-3.38,-14216.0,516.0
70.0,-3.38,-14215.0,517.0
70.0,-3.38,-14218.0,516.0
60.0,-16.0,-11740.0,478.0
60.0,-16.0,-11750.0,477.0
60.0,-16.0,-11757.0,477.0
60.0,-16.0,-11756.0,478.0
60.0,-16.0,-11765.0,477.0
60.0,-16.0,-11771.0,478.0
60.0,-16.0,-11772.0,478.0
60.0,-16.0,-11773.0,478.0
60.0,-16.0,-11772.0,478.0
60.0,-16.0,-11774.0,478.0
60.0,-16.0,-11778.0,478.0
60.0,-16.0,-11777.0,478.0
60.0,-16.0,-11784.0,478.0
60.0,-16.0,-11777.0,478.0
60.0,-16.0,-11772.0,477.0
60.0,-16.0,-11773.0,478.0
60.0,-16.0,-11772.0,478.0
60.0,-16.0,-11775.0,478.0
60.0,-16.0,-11779.0,478.0
60.0,-16.0,-11779.0,478.0
60.0,-16.0,-11787.0,478.0
60.0,-16.0,-11791.0,478.0
60.0,-16.0,-11785.0,478.0
60.0,-16.0,-11778.0,478.0
60.0,-16.0,-11777.0,478.0
60.0,-16.0,-11780.0,478.0
60.0,-16.0,-11779.0,478.0
60.0,-16.0,-11778.0,478.0
60.0,-16.0,-11787.0,478.0
60.0,-16.0,-11778.0,478.0
60.0,-16.0,-11785.0,478.0
60.0,-16.0,-11786.0,478.0
60.0,-16.0,-11786.0,478.0
60.0,-16.0,-11791.0,478.0
60.0,-16.0,-11794.0,478.0
60.0,-16.0,-11790.0,478.0
60.0,-16.0,-11793.0,478.0
60.0,-16.0,-11781.0,478.0
60.0,-16.0,-11776.0,478.0
60.0,-16.0,-11784.0,478.0
60.0,-16.0,-11795.0,478.0
60.0,-16.0,-11789.0,478.0
60.0,-16.0,-11786.0,478.0
60.0,-16.0,-11792.0,478.0
60.0,-16.0,-11796.0,478.0
60.0,-16.0,-11793.0,478.0
60.0,-16.0,-11796.0,478.0
60.0,-16.0,-11798.0,478.0
60.0,-16.0,-11805.0,478.0
60.0,-16.0,-11804.0,478.0
50.0,-30.25,-8692.0,433.0
50.0,-30.25,-8701.0,433.0
50.0,-30.25,-8703.0,433.0
50.0,-30.25,-8706.0,433.0
50.0,-30.25,-8717.0,433.0
50.0,-30.25,-8714.0,433.0
50.0,-30.25,-8715.0,433.0
50.0,-30.25,-8723.0,433.0
50.0,-30.25,-8722.0,433.0
50.0,-30.25,-8725.0,433.0
50.0,-30.25,-8721.0,433.0
50.0,-30.25,-8729.0,433.0
50.0,-30.25,-8726.0,433.0
50.0,-30.25,-8725.0,433.0
50.0,-30.25,-8733.0,433.0
50.0,-30.25,-8726.0,433.0
50.0,-30.25,-8730.0,433.0
50.0,-30.25,-8729.0,433.0
50.0,-30.25,-8729.0,433.0
50.0,-30.25,-8728.0,433.0
50.0,-30.25,-8732.0,433.0
50.0,-30.25,-8728.0,433.0
50.0,-30.25,-8726.0,433.0
50.0,-30.25,-8728.0,433.0
50.0,-30.25,-8727.0,433.0
50.0,-30.25,-8740.0,433.0
50.0,-30.25,-8735.0,434.0
