Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-2.5,-8062.0,515.0
70.0,-2.75,-8074.0,515.0
70.0,-2.88,-8079.0,515.0
70.0,-3.0,-8083.0,515.0
70.0,-3.06,-8082.0,515.0
70.0,-3.13,-8080.0,515.0
70.0,-3.25,-8080.0,516.0
70.0,-3.31,-8096.0,515.0
70.0,-3.38,-8096.0,515.0
70.0,-3.44,-8087.0,516.0
70.0,-3.5,-8091.0,515.0
70.0,-3.5,-8092.0,515.0
70.0,-3.56,-8102.0,515.0
70.0,-3.63,-8105.0,516.0
70.0,-3.63,-8100.0,516.0
70.0,-3.63,-8103.0,516.0
70.0,-3.63,-8096.0,515.0
70.0,-3.63,-8099.0,515.0
70.0,-3.63,-8092.0,515.0
70.0,-3.63,-8098.0,515.0
70.0,-3.63,-8097.0,516.0
70.0,-3.63,-8101.0,515.0
70.0,-3.63,-8100.0,515.0
70.0,-3.63,-8109.0,516.0
70.0,-3.63,-8097.0,516.0
70.0,-3.63,-8099.0,516.0
70.0,-3.63,-8096.0,515.0
70.0,-3.63,-8096.0,515.0
70.0,-3.63,-8101.0,515.0
70.0,-3.63,-8093.0,516.0
70.0,-3.63,-8106.0,516.0
70.0,-3.63,-8099.0,515.0
70.0,-3.63,-8103.0,516.0
70.0,-3.63,-8104.0,515.0
70.0,-3.63,-8108.0,516.0
70.0,-3.63,-8103.0,515.0
70.0,-3.63,-8097.0,516.0
70.0,-3.63,-8096.0,516.0
70.0,-3.63,-8098.0,516.0
70.0,-3.63,-8099.0,515.0
70.0,-3.63,-8101.0,516.0
70.0,-3.63,-8098.0,515.0
70.0,-3.63,-8109.0,515.0
70.0,-3.63,-8106.0,515.0
70.0,-3.63,-8093.0,516.0
70.0,-3.63,-8100.0,515.0
70.0,-3.63,-8106.0,516.0
60.0,-16.25,-5677.0,478.0
60.0,-16.25,-5686.0,477.0
60.0,-16.25,-5695.0,478.0
60.0,-16.25,-5679.0,477.0
60.0,-16.25,-5696.0,478.0
60.0,-16.25,-5689.0,477.0
60.0,-16.25,-5697.0,477.0
60.0,-16.25,-5701.0,477.0
60.0,-16.25,-5711.0,477.0
60.0,-16.25,-5710.0,478.0
60.0,-16.25,-5708.0,477.0
60.0,-16.25,-5710.0,478.0
60.0,-16.25,-5709.0,478.0
60.0,-16.25,-5718.0,477.0
60.0,-16.25,-5718.0,477.0
60.0,-16.25,-5715.0,477.0
60.0,-16.25,-5713.0,477.0
60.0,-16.25,-5715.0,478.0
60.0,-16.25,-5716.0,477.0
60.0,-16.25,-5710.0,477.0
60.0,-16.25,-5714.0,477.0
60.0,-16.25,-5716.0,477.0
60.0,-16.25,-5720.0,477.0
60.0,-16.25,-5720.0,477.0
60.0,-16.25,-5718.0,477.0
60.0,-16.25,-5716.0,477.0
60.0,-16.25,-5718.0,477.0
60.0,-16.25,-5724.0,478.0
60.0,-16.25,-5725.0,477.0
60.0,-16.25,-5721.0,477.0
60.0,-16.25,-5724.0,477.0
60.0,-16.25,-5727.0,477.0
60.0,-16.25,-5727.0,477.0
60.0,-16.25,-5727.0,478.0
60.0,-16.25,-5734.0,477.0
60.0,-16.25,-5732.0,478.0
60.0,-16.25,-5726.0,478.0
60.0,-16.25,-5725.0,477.0
60.0,-16.25,-5722.0,477.0
60.0,-16.25,-5735.0,477.0
60.0,-16.25,-5737.0,477.0
60.0,-16.25,-5735.0,477.0
60.0,-16.25,-5738.0,477.0
60.0,-16.25,-5731.0,478.0
60.0,-16.25,-5730.0,477.0
60.0,-16.25,-5723.0,477.0
60.0,-16.25,-5723.0,477.0
60.0,-16.25,-5728.0,477.0
60.0,-16.25,-5736.0,478.0
60.0,-16.25,-5730.0,477.0
50.0,-30.37,-2085.0,433.0
50.0,-30.37,-2083.0,433.0
50.0,-30.44,-2087.0,433.0
50.0,-30.44,-2085.0,433.0
50.0,-30.44,-2086.0,433.0
50.0,-30.44,-2087.0,433.0
50.0,-30.44,-2086.0,433.0
50.0,-30.44,-2088.0,433.0
50.0,-30.44,-2096.0,433.0
50.0,-30.44,-2091.0,433.0
50.0,-30.44,-2086.0,433.0
50.0,-30.44,-2087.0,433.0
50.0,-30.44,-2086.0,433.0
50.0,-30.44,-2083.0,433.0
50.0,-30.44,-2095.0,433.0
50.0,-30.44,-2085.0,433.0
50.0,-30.44,-2087.0,433.0
50.0,-30.44,-2088.0,433.0
50.0,-30.44,-2090.0,433.0
50.0,-30.44,-2089.0,433.0
50.0,-30.44,-2087.0,433.0
50.0,-30.44,-2091.0,433.0
50.0,-30.44,-2088.0,433.0
50.0,-30.44,-2085.0,433.0
50.0,-30.44,-2086.0,433.0
50.0,-30.44,-2091.0,433.0
50.0,-30.44,-2097.0,433.0
