Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-2.25,-10073.0,516.0
70.0,-2.38,-10071.0,516.0
70.0,-2.44,-10080.0,516.0
70.0,-2.56,-10089.0,516.0
70.0,-2.63,-10097.0,516.0
70.0,-2.69,-10100.0,516.0
70.0,-2.75,-10104.0,515.0
70.0,-2.81,-10100.0,516.0
70.0,-2.88,-10100.0,516.0
70.0,-2.88,-10103.0,516.0
70.0,-2.88,-10104.0,516.0
70.0,-2.88,-10105.0,516.0
70.0,-2.88,-10104.0,515.0
70.0,-2.88,-10111.0,516.0
70.0,-2.88,-10112.0,515.0
70.0,-2.88,-10108.0,516.0
70.0,-2.88,-10116.0,516.0
70.0,-2.88,-10111.0,516.0
70.0,-2.88,-10116.0,517.0
70.0,-2.88,-10122.0,516.0
70.0,-2.88,-10120.0,516.0
70.0,-2.88,-10118.0,516.0
70.0,-2.88,-10124.0,516.0
70.0,-2.88,-10127.0,516.0
70.0,-2.88,-10126.0,516.0
70.0,-2.88,-10125.0,516.0
70.0,-2.88,-10116.0,516.0
70.0,-2.88,-10125.0,516.0
70.0,-2.88,-10123.0,516.0
70.0,-2.88,-10124.0,516.0
70.0,-2.88,-10128.0,516.0
70.0,-2.88,-10132.0,516.0
70.0,-2.88,-10138.0,516.0
70.0,-2.88,-10128.0,516.0
70.0,-2.88,-10140.0,516.0
70.0,-2.88,-10140.0,516.0
70.0,-2.88,-10137.0,516.0
70.0,-2.88,-10142.0,516.0
70.0,-2.88,-10145.0,516.0
60.0,-15.44,-8792.0,478.0
60.0,-15.44,-8792.0,478.0
60.0,-15.44,-8798.0,478.0
60.0,-15.44,-8800.0,478.0
60.0,-15.44,-8799.0,478.0
60.0,-15.44,-8800.0,478.0
60.0,-15.44,-8805.0,478.0
60.0,-15.44,-8804.0,477.0
60.0,-15.44,-8812.0,477.0
60.0,-15.44,-8814.0,478.0
60.0,-15.44,-8811.0,478.0
60.0,-15.44,-8813.0,478.0
60.0,-15.44,-8813.0,478.0
60.0,-15.44,-8819.0,478.0
60.0,-15.44,-8820.0,478.0
60.0,-15.44,-8812.0,478.0
60.0,-15.44,-8815.0,477.0
60.0,-15.44,-8822.0,478.0
60.0,-15.44,-8821.0,478.0
60.0,-15.44,-8827.0,478.0
60.0,-15.44,-8826.0,478.0
60.0,-15.44,-8824.0,478.0
60.0,-15.44,-8819.0,478.0
60.0,-15.44,-8830.0,477.0
60.0,-15.44,-8825.0,478.0
60.0,-15.44,-8823.0,478.0
60.0,-15.44,-8837.0,478.0
60.0,-15.44,-8831.0,477.0
60.0,-15.44,-8835.0,478.0
60.0,-15.44,-8833.0,478.0
60.0,-15.44,-8833.0,478.0
60.0,-15.44,-8833.0,477.0
60.0,-15.44,-8844.0,478.0
60.0,-15.44,-8842.0,478.0
60.0,-15.44,-8840.0,478.0
60.0,-15.44,-8838.0,477.0
60.0,-15.44,-8838.0,477.0
60.0,-15.44,-8844.0,477.0
60.0,-15.44,-8852.0,478.0
60.0,-15.44,-8854.0,478.0
60.0,-15.44,-8848.0,478.0
60.0,-15.44,-8850.0,478.0
60.0,-15.44,-8848.0,478.0
60.0,-15.44,-8853.0,478.0
60.0,-15.44,-8852.0,478.0
60.0,-15.44,-8854.0,478.0
60.0,-15.44,-8857.0,478.0
60.0,-15.44,-8854.0,477.0
60.0,-15.44,-8852.0,478.0
60.0,-15.44,-8849.0,478.0
50.0,-29.69,-6714.0,433.0
50.0,-29.69,-6727.0,433.0
50.0,-29.69,-6731.0,433.0
50.0,-29.69,-6734.0,434.0
50.0,-29.69,-6741.0,433.0
50.0,-29.69,-6749.0,433.0
50.0,-29.69,-6745.0,433.0
50.0,-29.69,-6750.0,433.0
50.0,-29.69,-6752.0,433.0
50.0,-29.69,-6758.0,434.0
50.0,-29.69,-6758.0,433.0
50.0,-29.69,-6757.0,433.0
50.0,-29.69,-6765.0,433.0
50.0,-29.69,-6776.0,434.0
50.0,-29.69,-6769.0,433.0
50.0,-29.69,-6772.0,433.0
50.0,-29.69,-6780.0,434.0
50.0,-29.69,-6777.0,433.0
50.0,-29.69,-6777.0,433.0
50.0,-29.69,-6777.0,434.0
50.0,-29.69,-6776.0,433.0
50.0,-29.69,-6780.0,433.0
50.0,-29.69,-6788.0,433.0
50.0,-29.69,-6784.0,434.0
50.0,-29.69,-6790.0,433.0
50.0,-29.69,-6789.0,433.0
50.0,-29.69,-6788.0,433.0
50.0,-29.69,-6802.0,433.0
50.0,-29.69,-6795.0,433.0
50.0,-29.69,-6799.0,434.0
50.0,-29.69,-6802.0,433.0
50.0,-29.69,-6803.0,433.0
50.0,-29.69,-6810.0,434.0
50.0,-29.69,-6814.0,434.0
50.0,-29.69,-6810.0,434.0
50.0,-29.69,-6811.0,433.0
50.0,-29.69,-6817.0,433.0
50.0,-29.69,-6811.0,433.0
50.0,-29.69,-6817.0,433.0
50.0,-29.69,-6806.0,433.0
50.0,-29.69,-6821.0,434.0
50.0,-29.69,-6824.0,433.0
50.0,-29.69,-6823.0,434.0
50.0,-29.69,-6821.0,434.0
50.0,-29.69,-6827.0,433.0
50.0,-29.69,-6826.0,433.0
50.0,-29.69,-6822.0,433.0
50.0,-29.69,-6820.0,433.0
50.0,-29.69,-6834.0,433.0
50.0,-29.69,-6838.0,433.0
40.0,-44.63,-4152.0,385.0
40.0,-44.63,-4167.0,385.0
40.0,-44.56,-4169.0,385.0
40.0,-44.56,-4174.0,385.0
40.0,-44.56,-4183.0,385.0
40.0,-44.56,-4189.0,385.0
40.0,-44.56,-4191.0,386.0
40.0,-44.56,-4193.0,385.0
40.0,-44.56,-4188.0,385.0
40.0,-44.56,-4195.0,385.0
40.0,-44.56,-4202.0,385.0
40.0,-44.56,-4195.0,385.0
40.0,-44.56,-4214.0,387.0
40.0,-44.0,-4314.0,387.0
40.0,-44.0,-4312.0,387.0
40.0,-44.0,-4328.0,387.0
40.0,-44.0,-4321.0,387.0
40.0,-44.0,-4322.0,387.0
40.0,-44.0,-4324.0,387.0
40.0,-44.0,-4336.0,387.0
40.0,-44.0,-4328.0,387.0
40.0,-44.0,-4335.0,387.0
40.0,-44.0,-4341.0,387.0
40.0,-44.0,-4336.0,387.0
40.0,-44.0,-4340.0,387.0
40.0,-44.0,-4335.0,387.0
40.0,-44.0,-4343.0,387.0
40.0,-44.0,-4350.0,387.0
40.0,-44.0,-4343.0,387.0
40.0,-44.0,-4346.0,387.0
40.0,-44.0,-4346.0,387.0
40.0,-44.0,-4349.0,387.0
40.0,-44.0,-4347.0,387.0
40.0,-44.0,-4359.0,387.0
40.0,-44.0,-4362.0,387.0
40.0,-44.0,-4359.0,387.0
40.0,-44.0,-4365.0,387.0
40.0,-44.0,-4365.0,387.0
40.0,-44.0,-4367.0,387.0
40.0,-44.0,-4369.0,387.0
40.0,-44.0,-4374.0,387.0
40.0,-44.0,-4379.0,387.0
40.0,-44.0,-4376.0,387.0
40.0,-44.0,-4384.0,387.0
40.0,-44.0,-4372.0,387.0
40.0,-44.0,-4386.0,387.0
40.0,-44.0,-4384.0,387.0
40.0,-44.0,-4379.0,387.0
40.0,-44.0,-4380.0,387.0
40.0,-44.0,-4380.0,387.0
30.0,-59.0,-1476.0,337.0
30.0,-58.94,-1484.0,337.0
30.0,-58.88,-1488.0,337.0
30.0,-58.88,-1486.0,337.0
30.0,-58.81,-1488.0,336.0
30.0,-58.81,-1508.0,337.0
30.0,-58.81,-1499.0,337.0
30.0,-58.81,-1512.0,337.0
30.0,-58.81,-1509.0,337.0
30.0,-58.81,-1509.0,337.0
30.0,-58.81,-1510.0,337.0
30.0,-58.81,-1517.0,337.0
30.0,-58.81,-1510.0,337.0
30.0,-58.81,-1515.0,337.0
30.0,-58.81,-1520.0,337.0
30.0,-58.81,-1526.0,337.0
30.0,-58.81,-1527.0,337.0
30.0,-58.81,-1534.0,337.0
30.0,-58.81,-1537.0,337.0
30.0,-58.81,-1542.0,337.0
30.0,-58.81,-1536.0,337.0
30.0,-58.81,-1539.0,337.0
30.0,-58.81,-1538.0,337.0
30.0,-58.81,-1536.0,337.0
30.0,-58.81,-1538.0,337.0
30.0,-58.81,-1549.0,337.0
30.0,-58.81,-1551.0,337.0
30.0,-58.81,-1551.0,337.0
30.0,-58.81,-1553.0,337.0
30.0,-58.81,-1555.0,337.0
30.0,-58.81,-1562.0,336.0
30.0,-58.81,-1562.0,337.0
30.0,-58.81,-1571.0,337.0
30.0,-58.81,-1561.0,337.0
30.0,-58.81,-1573.0,337.0
30.0,-58.81,-1568.0,337.0
30.0,-58.81,-1567.0,337.0
30.0,-58.81,-1570.0,337.0
30.0,-58.81,-1573.0,337.0
30.0,-58.81,-1574.0,337.0
30.0,-58.81,-1579.0,337.0
30.0,-58.81,-1577.0,337.0
30.0,-58.81,-1576.0,337.0
30.0,-58.81,-1576.0,337.0
30.0,-58.81,-1580.0,337.0
30.0,-58.81,-1582.0,337.0
30.0,-58.81,-1580.0,337.0
30.0,-58.81,-1580.0,338.0
30.0,-58.81,-1578.0,338.0
30.0,-58.81,-1577.0,337.0
20.0,-72.69,1393.0,290.0
20.0,-72.62,1397.0,290.0
20.0,-72.62,1395.0,289.0
20.0,-72.56,1392.0,290.0
20.0,-72.56,1389.0,289.0
20.0,-72.56,1381.0,289.0
20.0,-72.56,1386.0,290.0
20.0,-72.56,1381.0,290.0
20.0,-72.56,1371.0,290.0
20.0,-72.56,1383.0,290.0
20.0,-72.56,1379.0,289.0
20.0,-72.56,1378.0,290.0
20.0,-72.56,1376.0,290.0
20.0,-72.56,1367.0,290.0
20.0,-72.56,1360.0,290.0
20.0,-72.56,1372.0,290.0
20.0,-72.56,1362.0,290.0
20.0,-72.56,1354.0,290.0
20.0,-72.56,1357.0,290.0
20.0,-72.56,1359.0,290.0
20.0,-72.56,1362.0,290.0
20.0,-72.56,1356.0,290.0
20.0,-72.56,1341.0,289.0
20.0,-72.56,1353.0,290.0
20.0,-72.56,1344.0,289.0
20.0,-72.56,1342.0,290.0
20.0,-72.56,1342.0,290.0
20.0,-72.56,1341.0,290.0
20.0,-72.56,1342.0,290.0
20.0,-72.56,1341.0,290.0
20.0,-72.56,1345.0,290.0
20.0,-72.56,1336.0,290.0
20.0,-72.56,1341.0,290.0
20.0,-72.56,1338.0,290.0
20.0,-72.56,1336.0,289.0
20.0,-72.56,1328.0,290.0
20.0,-72.56,1328.0,290.0
20.0,-72.56,1330.0,290.0
20.0,-72.56,1319.0,290.0
20.0,-72.56,1324.0,289.0
20.0,-72.56,1310.0,290.0
20.0,-72.56,1311.0,289.0
20.0,-72.56,1311.0,289.0
20.0,-72.56,1316.0,290.0
20.0,-72.56,1313.0,290.0
20.0,-72.56,1302.0,290.0
20.0,-72.56,1301.0,290.0
20.0,-72.56,1298.0,290.0
20.0,-72.56,1304.0,290.0
20.0,-72.56,1304.0,290.0
10.0,-84.87,4401.0,245.0
10.0,-84.81,4405.0,245.0
10.0,-84.75,4413.0,246.0
10.0,-84.75,4405.0,245.0
10.0,-84.69,4412.0,245.0
10.0,-84.69,4402.0,245.0
10.0,-84.69,4393.0,245.0
10.0,-84.69,4401.0,245.0
10.0,-84.69,4396.0,245.0
10.0,-84.69,4391.0,245.0
10.0,-84.69,4388.0,245.0
10.0,-84.69,4380.0,245.0
10.0,-84.69,4384.0,245.0
10.0,-84.69,4384.0,246.0
10.0,-84.69,4381.0,246.0
10.0,-84.69,4383.0,245.0
10.0,-84.69,4380.0,245.0
10.0,-84.69,4375.0,245.0
10.0,-84.69,4370.0,245.0
10.0,-84.69,4364.0,245.0
10.0,-84.69,4375.0,246.0
10.0,-84.69,4365.0,246.0
10.0,-84.69,4370.0,245.0
10.0,-84.69,4359.0,245.0
10.0,-84.69,4355.0,246.0
10.0,-84.69,4365.0,245.0
10.0,-84.69,4360.0,245.0
10.0,-84.69,4356.0,245.0
10.0,-84.69,4358.0,246.0
10.0,-84.69,4353.0,245.0
10.0,-84.69,4354.0,245.0
10.0,-84.69,4363.0,245.0
10.0,-84.69,4359.0,245.0
10.0,-84.69,4347.0,245.0
10.0,-84.69,4350.0,245.0
10.0,-84.69,4347.0,245.0
10.0,-84.69,4352.0,245.0
10.0,-84.69,4354.0,245.0
10.0,-84.69,4351.0,245.0
10.0,-84.69,4352.0,245.0
10.0,-84.69,4342.0,245.0
10.0,-84.69,4343.0,245.0
10.0,-84.69,4355.0,245.0
10.0,-84.69,4346.0,245.0
10.0,-84.69,4343.0,245.0
10.0,-84.69,4342.0,245.0
10.0,-84.69,4340.0,245.0
10.0,-84.69,4331.0,245.0
10.0,-84.69,4330.0,245.0
10.0,-84.69,4336.0,245.0
20.0,-72.31,1179.0,289.0
20.0,-72.31,1176.0,289.0
20.0,-72.31,1166.0,289.0
20.0,-72.31,1167.0,289.0
20.0,-72.31,1172.0,289.0
20.0,-72.31,1173.0,289.0
20.0,-72.31,1169.0,289.0
20.0,-72.31,1165.0,288.0
20.0,-72.31,1169.0,288.0
20.0,-72.31,1162.0,289.0
20.0,-72.31,1151.0,289.0
20.0,-72.31,1164.0,288.0
20.0,-72.31,1158.0,289.0
20.0,-72.31,1155.0,289.0
20.0,-72.31,1161.0,289.0
20.0,-72.31,1163.0,289.0
20.0,-72.31,1159.0,289.0
20.0,-72.31,1157.0,289.0
20.0,-72.31,1159.0,289.0
20.0,-72.31,1153.0,289.0
20.0,-72.31,1154.0,289.0
20.0,-72.31,1156.0,289.0
20.0,-72.31,1152.0,289.0
20.0,-72.31,1154.0,289.0
20.0,-72.31,1155.0,289.0
20.0,-72.31,1143.0,289.0
20.0,-72.31,1149.0,289.0
20.0,-72.31,1144.0,289.0
20.0,-72.31,1150.0,289.0
20.0,-72.31,1151.0,289.0
20.0,-72.31,1146.0,289.0
20.0,-72.31,1150.0,289.0
20.0,-72.31,1150.0,289.0
20.0,-72.31,1155.0,289.0
20.0,-72.31,1153.0,289.0
20.0,-72.31,1163.0,289.0
20.0,-72.31,1155.0,289.0
