Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-2.38,-9258.0,516.0
70.0,-2.5,-9261.0,516.0
70.0,-2.63,-9271.0,516.0
70.0,-2.69,-9281.0,516.0
70.0,-2.75,-9283.0,516.0
70.0,-2.88,-9280.0,515.0
70.0,-2.88,-9280.0,516.0
70.0,-2.94,-9284.0,516.0
70.0,-3.0,-9284.0,515.0
70.0,-3.06,-9288.0,516.0
70.0,-3.13,-9288.0,516.0
70.0,-3.19,-9284.0,515.0
70.0,-3.19,-9286.0,516.0
70.0,-3.19,-9294.0,516.0
70.0,-3.19,-9289.0,516.0
70.0,-3.19,-9285.0,516.0
70.0,-3.19,-9290.0,516.0
70.0,-3.19,-9288.0,516.0
70.0,-3.19,-9280.0,516.0
70.0,-3.19,-9280.0,516.0
70.0,-3.19,-9275.0,516.0
70.0,-3.19,-9283.0,516.0
70.0,-3.19,-9282.0,516.0
70.0,-3.19,-9284.0,516.0
70.0,-3.19,-9283.0,516.0
70.0,-3.19,-9276.0,516.0
70.0,-3.19,-9279.0,516.0
70.0,-3.19,-9283.0,516.0
70.0,-3.19,-9278.0,515.0
70.0,-3.19,-9281.0,516.0
70.0,-3.19,-9277.0,516.0
70.0,-3.19,-9270.0,516.0
70.0,-3.19,-9270.0,516.0
70.0,-3.19,-9271.0,516.0
70.0,-3.19,-9275.0,516.0
70.0,-3.19,-9269.0,516.0
70.0,-3.19,-9277.0,516.0
70.0,-3.19,-9276.0,516.0
70.0,-3.19,-9276.0,516.0
70.0,-3.19,-9272.0,516.0
70.0,-3.19,-9258.0,516.0
70.0,-3.19,-9266.0,515.0
70.0,-3.19,-9274.0,516.0
70.0,-3.19,-9266.0,516.0
70.0,-3.06,-9277.0,516.0
70.0,-3.13,-9278.0,516.0
70.0,-3.13,-9280.0,516.0
60.0,-15.88,-7403.0,477.0
60.0,-15.88,-7403.0,478.0
60.0,-15.88,-7412.0,478.0
60.0,-15.88,-7421.0,478.0
60.0,-15.88,-7423.0,478.0
60.0,-15.88,-7423.0,478.0
60.0,-15.88,-7427.0,478.0
60.0,-15.88,-7436.0,478.0
60.0,-15.88,-7434.0,478.0
60.0,-15.88,-7441.0,478.0
60.0,-15.88,-7441.0,478.0
60.0,-15.88,-7435.0,478.0
60.0,-15.88,-7439.0,478.0
60.0,-15.88,-7437.0,478.0
60.0,-15.88,-7445.0,478.0
60.0,-15.88,-7451.0,478.0
60.0,-15.88,-7450.0,478.0
60.0,-15.88,-7449.0,477.0
60.0,-15.88,-7451.0,478.0
60.0,-15.88,-7454.0,478.0
60.0,-15.88,-7453.0,478.0
60.0,-15.88,-7452.0,478.0
60.0,-15.88,-7463.0,477.0
60.0,-15.88,-7460.0,478.0
60.0,-15.88,-7455.0,478.0
60.0,-15.88,-7459.0,478.0
60.0,-15.88,-7474.0,478.0
60.0,-15.88,-7474.0,478.0
60.0,-15.88,-7477.0,477.0
60.0,-15.88,-7474.0,478.0
60.0,-15.88,-7470.0,478.0
60.0,-15.88,-7474.0,478.0
60.0,-15.88,-7458.0,478.0
60.0,-15.88,-7466.0,478.0
60.0,-15.88,-7471.0,478.0
60.0,-15.88,-7478.0,478.0
60.0,-15.88,-7479.0,478.0
60.0,-15.88,-7478.0,478.0
60.0,-15.88,-7477.0,478.0
60.0,-15.88,-7487.0,478.0
60.0,-15.88,-7483.0,478.0
60.0,-15.88,-7483.0,478.0
60.0,-15.88,-7484.0,478.0
60.0,-15.88,-7487.0,478.0
60.0,-15.88,-7482.0,478.0
60.0,-15.88,-7481.0,478.0
60.0,-15.88,-7490.0,478.0
60.0,-15.88,-7495.0,478.0
60.0,-15.88,-7496.0,478.0
60.0,-15.88,-7488.0,478.0
50.0,-30.19,-5102.0,434.0
50.0,-30.19,-5103.0,433.0
50.0,-30.19,-5110.0,433.0
50.0,-30.19,-5121.0,433.0
50.0,-30.19,-5123.0,433.0
50.0,-30.19,-5118.0,433.0
50.0,-30.19,-5127.0,434.0
50.0,-30.19,-5134.0,433.0
50.0,-30.19,-5149.0,433.0
50.0,-30.19,-5150.0,434.0
50.0,-30.19,-5152.0,433.0
50.0,-30.19,-5148.0,433.0
50.0,-30.19,-5150.0,433.0
50.0,-30.19,-5149.0,433.0
50.0,-30.19,-5157.0,433.0
50.0,-30.19,-5167.0,433.0
50.0,-30.19,-5169.0,434.0
50.0,-30.12,-5176.0,433.0
50.0,-30.12,-5173.0,433.0
50.0,-30.12,-5174.0,434.0
50.0,-30.12,-5178.0,434.0
50.0,-30.12,-5168.0,433.0
50.0,-30.12,-5172.0,433.0
50.0,-30.12,-5171.0,434.0
50.0,-30.12,-5178.0,433.0
50.0,-30.12,-5177.0,434.0
50.0,-30.12,-5182.0,433.0
