Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.19,-4554.0,515.0
70.0,-3.31,-4591.0,514.0
70.0,-3.44,-4619.0,515.0
70.0,-3.56,-4647.0,515.0
70.0,-3.63,-4654.0,515.0
70.0,-3.69,-4659.0,515.0
70.0,-3.75,-4668.0,515.0
70.0,-3.81,-4669.0,515.0
70.0,-3.81,-4679.0,515.0
70.0,-3.81,-4684.0,515.0
70.0,-3.81,-4685.0,515.0
70.0,-3.81,-4691.0,515.0
70.0,-3.81,-4694.0,515.0
70.0,-3.81,-4683.0,514.0
70.0,-3.81,-4682.0,515.0
70.0,-3.81,-4686.0,515.0
70.0,-3.81,-4687.0,515.0
70.0,-3.81,-4687.0,515.0
70.0,-3.81,-4690.0,515.0
70.0,-3.81,-4689.0,515.0
70.0,-3.81,-4692.0,515.0
70.0,-3.81,-4696.0,515.0
70.0,-3.81,-4697.0,515.0
70.0,-3.81,-4696.0,515.0
70.0,-3.81,-4698.0,515.0
70.0,-3.81,-4706.0,515.0
70.0,-3.81,-4696.0,515.0
70.0,-3.81,-4698.0,515.0
70.0,-3.81,-4696.0,515.0
70.0,-3.81,-4694.0,515.0
70.0,-3.81,-4696.0,515.0
70.0,-3.81,-4690.0,515.0
70.0,-3.81,-4692.0,515.0
70.0,-3.81,-4689.0,515.0
70.0,-3.81,-4694.0,515.0
70.0,-3.81,-4690.0,515.0
60.0,-16.19,-1502.0,478.0
60.0,-16.19,-1513.0,478.0
60.0,-16.19,-1536.0,478.0
60.0,-16.19,-1547.0,478.0
60.0,-16.19,-1550.0,478.0
60.0,-16.19,-1554.0,478.0
60.0,-16.19,-1562.0,478.0
60.0,-16.19,-1574.0,478.0
60.0,-16.19,-1567.0,478.0
60.0,-16.19,-1564.0,478.0
60.0,-16.19,-1566.0,478.0
60.0,-16.19,-1567.0,478.0
60.0,-16.19,-1565.0,478.0
60.0,-16.19,-1574.0,477.0
60.0,-16.19,-1571.0,478.0
60.0,-16.19,-1581.0,478.0
60.0,-16.19,-1581.0,478.0
60.0,-16.19,-1588.0,477.0
60.0,-16.19,-1587.0,477.0
60.0,-16.19,-1586.0,478.0
60.0,-16.19,-1587.0,478.0
60.0,-16.19,-1584.0,478.0
60.0,-16.19,-1588.0,478.0
60.0,-16.19,-1581.0,478.0
60.0,-16.19,-1583.0,477.0
60.0,-16.19,-1591.0,478.0
60.0,-16.19,-1585.0,478.0
60.0,-16.19,-1596.0,478.0
60.0,-16.19,-1591.0,478.0
60.0,-16.19,-1594.0,478.0
60.0,-16.19,-1585.0,478.0
60.0,-16.19,-1593.0,478.0
60.0,-16.19,-1584.0,478.0
60.0,-16.19,-1596.0,477.0
60.0,-16.19,-1584.0,477.0
60.0,-16.19,-1580.0,478.0
60.0,-16.19,-1595.0,478.0
60.0,-16.19,-1596.0,478.0
60.0,-16.19,-1602.0,478.0
60.0,-16.19,-1589.0,478.0
60.0,-16.19,-1594.0,477.0
60.0,-16.19,-1591.0,478.0
60.0,-16.19,-1587.0,478.0
60.0,-16.19,-1580.0,478.0
60.0,-16.19,-1589.0,478.0
60.0,-16.19,-1595.0,478.0
60.0,-16.19,-1595.0,478.0
60.0,-16.19,-1589.0,478.0
60.0,-16.19,-1590.0,478.0
60.0,-16.19,-1591.0,478.0
50.0,-30.5,2376.0,433.0
50.0,-30.5,2368.0,433.0
50.0,-30.5,2364.0,433.0
50.0,-30.5,2358.0,433.0
50.0,-30.5,2353.0,433.0
50.0,-30.5,2351.0,433.0
50.0,-30.5,2343.0,433.0
50.0,-30.5,2329.0,433.0
50.0,-30.5,2327.0,433.0
50.0,-30.5,2321.0,433.0
50.0,-30.5,2322.0,433.0
50.0,-30.5,2322.0,433.0
50.0,-30.5,2313.0,433.0
50.0,-30.5,2316.0,433.0
50.0,-30.5,2316.0,433.0
50.0,-30.5,2316.0,433.0
50.0,-30.5,2308.0,433.0
50.0,-30.5,2311.0,433.0
50.0,-30.5,2309.0,433.0
50.0,-30.5,2306.0,433.0
50.0,-30.5,2305.0,433.0
50.0,-30.5,2307.0,433.0
50.0,-30.5,2310.0,433.0
50.0,-30.5,2310.0,433.0
50.0,-30.5,2309.0,433.0
50.0,-30.5,2305.0,433.0
50.0,-30.5,2306.0,433.0
50.0,-30.5,2304.0,433.0
50.0,-30.5,2306.0,433.0
50.0,-30.5,2295.0,433.0
50.0,-30.5,2294.0,433.0
50.0,-30.5,2291.0,433.0
50.0,-30.5,2304.0,433.0
50.0,-30.5,2313.0,433.0
50.0,-30.5,2308.0,433.0
50.0,-30.5,2308.0,433.0
50.0,-30.5,2306.0,433.0
50.0,-30.5,2307.0,433.0
50.0,-30.5,2313.0,433.0
50.0,-30.5,2300.0,433.0
