Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100,100,100,100
100,100,100,100
70,-3.44,-12858,517
70,-3.44,-12859,516
70,-3.44,-12858,517
70,-3.44,-12856,517
70,-3.44,-12857,516
70,-3.44,-12855,517
70,-3.44,-12859,517
70,-3.44,-12859,517
70,-3.44,-12861,517
70,-3.44,-12857,516
70,-3.44,-12856,517
70,-3.44,-12857,517
70,-3.44,-12856,516
70,-3.44,-12856,517
70,-3.44,-12857,517
70,-3.44,-12857,516
70,-3.44,-12856,516
70,-3.44,-12858,517
70,-3.44,-12856,517
70,-3.44,-12857,516
70,-3.44,-12858,516
70,-3.44,-12857,516
70,-3.44,-12856,517
70,-3.44,-12855,517
70,-3.44,-12856,517
70,-3.44,-12857,517
70,-3.44,-12856,516
70,-3.44,-12856,516
70,-3.44,-12858,516
70,-3.44,-12856,517
70,-3.44,-12858,517
70,-3.44,-12857,517
70,-3.44,-12858,516
70,-3.44,-12857,517
70,-3.44,-12856,516
70,-3.44,-12856,516
70,-3.44,-12855,516
70,-3.44,-12856,517
70,-3.44,-12854,517
70,-3.44,-12856,516
70,-3.44,-12856,517
70,-3.44,-12855,517
70,-3.44,-12856,516
70,-3.44,-12855,516
70,-3.44,-12856,517
70,-3.44,-12855,517
70,-3.44,-12856,517
60,-3.44,-12854,517
60,-3.44,-12854,517
60,-3.44,-12856,517
60,-3.44,-12854,517
60,-3.44,-12853,517
60,-3.44,-12855,516
60,-3.44,-12854,517
60,-3.44,-12853,517
60,-3.44,-12855,517
60,-3.44,-12855,516
60,-3.44,-12853,517
60,-3.44,-12853,516
60,-3.44,-12854,517
60,-3.44,-12856,517
60,-3.44,-12853,517
60,-3.44,-12854,517
60,-3.44,-12854,517
60,-3.44,-12854,517
60,-3.44,-12853,516
60,-3.44,-12855,517
60,-3.44,-12854,517
60,-3.44,-12853,517
60,-3.44,-12852,517
60,-3.44,-12854,517
60,-3.44,-12853,516
60,-3.44,-12855,517
60,-3.44,-12852,516
60,-3.44,-12854,516
60,-3.44,-12852,516
60,-3.44,-12855,517
60,-3.44,-12853,518
60,-3.44,-12855,516
60,-3.44,-12854,517
60,-3.44,-12855,517
60,-3.44,-12853,517
60,-3.44,-12854,516
60,-3.44,-12856,517
60,-3.44,-12853,516
60,-3.44,-12853,516
60,-3.44,-12854,517
60,-3.44,-12856,516
60,-3.44,-12854,517
60,-3.44,-12855,517
60,-3.44,-12854,517
60,-3.44,-12853,517
60,-3.44,-12851,517
60,-3.44,-12854,516
60,-3.44,-12855,516
60,-3.44,-12854,516
60,-3.44,-12855,516
50,-3.44,-12852,517
50,-3.44,-12853,516
50,-3.44,-12853,517
50,-3.44,-12854,517
50,-3.44,-12853,516
50,-3.44,-12853,516
50,-3.44,-12854,517
50,-3.44,-12853,517
50,-3.44,-12853,516
50,-3.44,-12852,517
50,-3.44,-12854,517
50,-3.44,-12852,516
50,-3.44,-12853,517
50,-3.44,-12855,517
50,-3.44,-12852,516
50,-3.44,-12852,517
50,-3.44,-12853,517
50,-3.44,-12852,517
50,-3.44,-12851,517
50,-3.44,-12853,517
50,-3.44,-12853,517
50,-3.44,-12852,517
50,-3.44,-12852,516
50,-3.44,-12851,516
50,-3.44,-12852,517
50,-3.44,-12853,516
50,-3.44,-12851,517
50,-3.44,-12851,516
50,-3.44,-12851,517
50,-3.44,-12852,516
50,-3.44,-12852,517
50,-3.44,-12853,516
50,-3.44,-12852,517
50,-3.44,-12852,517
50,-3.44,-12851,517
50,-3.44,-12853,517
50,-3.44,-12853,517
50,-3.44,-12852,517
50,-3.44,-12854,517
50,-3.44,-12852,516
50,-3.44,-12850,516
50,-3.44,-12852,517
50,-3.44,-12851,516
50,-3.44,-12850,516
50,-3.44,-12852,516
50,-3.44,-12851,517
