Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,0.5,-30236.0,526.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,526.0
70.0,0.5,-30236.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,526.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30235.0,525.0
70.0,0.5,-30236.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,526.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,526.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30235.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,524.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,526.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
60.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30235.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,526.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30233.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30233.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
50.0,0.5,-30234.0,525.0
